Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.826081275939941,10.02625846862793
Sibilant Plural,blazes,protector,17.093263626098633,10.121743202209473
Regular Singular,spark,protector,11.992850303649902,13.19305419921875
Regular Plural,sparks,protector,13.156732559204102,13.177237510681152
Sibilant Singular,breeze,protector,10.733296394348145,11.191045761108398
Sibilant Plural,breezes,protector,14.335768938064575,11.505690574645996
Regular Singular,storm,protector,8.842004776000977,10.92277717590332
Regular Plural,storms,protector,15.269050598144531,10.024459838867188
Sibilant Singular,tax,receivers,13.604148864746094,13.713680267333984
Sibilant Plural,taxes,receivers,11.849020004272461,17.295700073242188
Regular Singular,toll,receivers,17.510112762451172,13.312743186950684
Regular Plural,tolls,receivers,22.753860473632812,14.721107482910156
Sibilant Singular,sex,disparities,10.820441246032715,16.729243278503418
Sibilant Plural,sexes,disparities,16.501955032348633,23.13535976409912
Regular Singular,gender,disparities,11.202376365661621,14.752439498901367
Regular Plural,genders,disparities,20.919368743896484,22.31159210205078
Sibilant Singular,vase,maker,9.130884170532227,6.356624603271484
Sibilant Plural,vases,maker,21.085280418395996,12.770256042480469
Regular Singular,pot,maker,5.811412811279297,7.219740390777588
Regular Plural,pots,maker,12.669708251953125,7.436880111694336
Sibilant Singular,hoax,victims,16.45237636566162,7.861384391784668
Sibilant Plural,hoaxes,victims,17.48614811897278,11.600336074829102
Regular Singular,joke,victims,15.613777160644531,6.552118301391602
Regular Plural,jokes,victims,13.357377052307129,8.78355884552002
Sibilant Singular,phase,classifier,13.913166999816895,18.642648220062256
Sibilant Plural,phases,classifier,12.175440788269043,18.48284101486206
Regular Singular,step,classifier,12.815155982971191,18.836676597595215
Regular Plural,steps,classifier,12.783310890197754,14.871095657348633
Sibilant Singular,hose,installer,10.827619552612305,14.043610572814941
Sibilant Plural,hoses,installer,7.626713871955872,14.59628677368164
Regular Singular,pipe,installer,12.161584854125977,14.250758171081543
Regular Plural,pipes,installer,13.517239570617676,21.083534717559814
Sibilant Singular,fox,chaser,8.17772102355957,21.603524208068848
Sibilant Plural,foxes,chaser,11.737798690795898,16.284464359283447
Regular Singular,wolf,chaser,7.531312942504883,18.216214179992676
Regular Plural,wolves,chaser,10.750785827636719,18.468342304229736
Sibilant Singular,mix,winner,9.228958129882812,11.931985855102539
Sibilant Plural,mixes,winner,12.992170572280884,13.86612319946289
Regular Singular,blend,winner,12.877585411071777,12.567281723022461
Regular Plural,blends,winner,15.468345165252686,13.538881301879883
Sibilant Singular,nose,rashes,8.368573188781738,10.768988609313965
Sibilant Plural,noses,rashes,13.754403114318848,12.99799919128418
Regular Singular,thigh,rashes,16.929279327392578,9.50517463684082
Regular Plural,thighs,rashes,19.046085357666016,14.510239601135254
Sibilant Singular,cause,evaluators,12.264594078063965,24.44761085510254
Sibilant Plural,causes,evaluators,13.504133224487305,28.928194046020508
Regular Singular,loss,evaluators,7.834476470947266,17.634111881256104
Regular Plural,losses,evaluators,9.536927223205566,18.623339653015137
Sibilant Singular,gaze,detector,12.627257347106934,10.3829984664917
Sibilant Plural,gazes,detector,16.379809379577637,9.50123405456543
Regular Singular,stare,detector,13.786864280700684,6.580574989318848
Regular Plural,stares,detector,13.861499786376953,8.994601249694824
Sibilant Singular,clause,finder,15.002273559570312,9.723590850830078
Sibilant Plural,clauses,finder,17.775923490524292,8.261744499206543
Regular Singular,article,finder,9.131900787353516,9.369548797607422
Regular Plural,articles,finder,12.303126335144043,9.206850051879883
Sibilant Singular,maze,decoder,13.642054557800293,19.615551948547363
Sibilant Plural,mazes,decoder,9.380419671535492,25.482251167297363
Regular Singular,web,decoder,13.490562438964844,20.932854652404785
Regular Plural,webs,decoder,14.397588729858398,20.953245162963867
Sibilant Singular,quiz,expert,14.146668434143066,8.30385971069336
Sibilant Plural,quizzes,expert,18.01491117477417,13.503362655639648
Regular Singular,puzzle,expert,12.796854019165039,11.837355613708496
Regular Plural,puzzles,expert,13.409449577331543,10.20630931854248
Sibilant Singular,fax,man,12.361082077026367,2.098663330078125
Sibilant Plural,faxes,man,17.271987915039062,4.117761611938477
Regular Singular,copy,man,11.340324401855469,6.302440643310547
Regular Plural,copies,man,13.356979370117188,5.932156562805176
Sibilant Singular,size,device,13.430044174194336,8.931436538696289
Sibilant Plural,sizes,device,15.296093940734863,5.960369110107422
Regular Singular,shape,device,12.293620109558105,9.529603958129883
Regular Plural,shapes,device,11.900134086608887,8.545454978942871
Sibilant Singular,praise,getter,10.61268424987793,18.82956027984619
Sibilant Plural,praises,getter,10.120673179626465,20.79921054840088
Regular Singular,compliment,getter,15.018865585327148,17.91382884979248
Regular Plural,compliments,getter,14.13258171081543,23.164228439331055
Sibilant Singular,prize,recipient,12.08434772491455,10.959507942199707
Sibilant Plural,prizes,recipient,11.762426376342773,13.257648468017578
Regular Singular,award,recipient,12.198665618896484,9.078763008117676
Regular Plural,awards,recipient,15.73620319366455,11.23405647277832
Sibilant Singular,box,lifters,13.187956809997559,18.86238193511963
Sibilant Plural,boxes,lifters,12.878334045410156,20.149160861968994
Regular Singular,pack,lifters,12.52782917022705,14.596514701843262
Regular Plural,packs,lifters,13.680558204650879,18.355042457580566
Sibilant Singular,rose,gardeners,9.512690544128418,5.370047450065613
Sibilant Plural,roses,gardeners,8.01712703704834,13.190662145614624
Regular Singular,flower,gardeners,7.854950428009033,4.570030450820923
Regular Plural,flowers,gardeners,6.593792915344238,12.89019250869751
Sibilant Singular,bruise,healer,11.324007034301758,14.049800872802734
Sibilant Plural,bruises,healer,16.337411880493164,19.847044467926025
Regular Singular,sore,healer,12.454242706298828,12.299287796020508
Regular Plural,sores,healer,12.400618433952332,28.00581169128418
Sibilant Singular,rise,addict,11.512642860412598,14.859990119934082
Sibilant Plural,rises,addict,13.996927261352539,11.923100471496582
Regular Singular,drop,addict,6.5671586990356445,16.58820343017578
Regular Plural,drops,addict,12.043890953063965,16.306276321411133
