Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,12.79927682876587,11.314381122589111
Sibilant Plural,blazes,protector,7.964216828346252,13.373525619506836
Regular Singular,spark,protector,12.200665473937988,7.842337608337402
Regular Plural,sparks,protector,16.412755012512207,11.729814529418945
Sibilant Singular,breeze,protector,9.077966690063477,15.494430541992188
Sibilant Plural,breezes,protector,12.823577404022217,15.96972942352295
Regular Singular,storm,protector,6.317745685577393,12.759683609008789
Regular Plural,storms,protector,14.22612190246582,16.872271060943604
Sibilant Singular,tax,receivers,10.443680763244629,10.020994186401367
Sibilant Plural,taxes,receivers,9.896647453308105,17.408554077148438
Regular Singular,toll,receivers,19.414188385009766,14.749279975891113
Regular Plural,tolls,receivers,21.405378103256226,14.636220932006836
Sibilant Singular,sex,disparities,8.243292808532715,16.633612394332886
Sibilant Plural,sexes,disparities,13.79085922241211,18.236186027526855
Regular Singular,gender,disparities,9.11614441871643,13.724623441696167
Regular Plural,genders,disparities,13.38940417766571,16.83943486213684
Sibilant Singular,vase,maker,11.364964962005615,7.686539649963379
Sibilant Plural,vases,maker,16.92781686782837,6.92168664932251
Regular Singular,pot,maker,11.608377456665039,5.5744524002075195
Regular Plural,pots,maker,12.920989990234375,5.132061004638672
Sibilant Singular,hoax,victims,18.61718463897705,8.125960350036621
Sibilant Plural,hoaxes,victims,18.846379280090332,9.33642292022705
Regular Singular,joke,victims,11.966585159301758,5.590140342712402
Regular Plural,jokes,victims,11.52871322631836,8.838927268981934
Sibilant Singular,phase,classifier,12.395586013793945,18.25694751739502
Sibilant Plural,phases,classifier,5.428593873977661,22.054858684539795
Regular Singular,step,classifier,13.37572956085205,21.635398864746094
Regular Plural,steps,classifier,18.664533615112305,22.69682216644287
Sibilant Singular,hose,installer,10.357751846313477,9.746095180511475
Sibilant Plural,hoses,installer,13.207014560699463,13.501998901367188
Regular Singular,pipe,installer,11.709365844726562,10.498063087463379
Regular Plural,pipes,installer,13.021904945373535,10.15729570388794
Sibilant Singular,fox,chaser,6.203566551208496,14.225349426269531
Sibilant Plural,foxes,chaser,12.695844650268555,16.12926483154297
Regular Singular,wolf,chaser,5.48934268951416,12.37435245513916
Regular Plural,wolves,chaser,8.154077529907227,13.120014190673828
Sibilant Singular,mix,winner,7.876620292663574,15.264508247375488
Sibilant Plural,mixes,winner,11.42976450920105,14.704168319702148
Regular Singular,blend,winner,12.808006525039673,15.994465827941895
Regular Plural,blends,winner,17.670601844787598,13.064884185791016
Sibilant Singular,nose,rashes,11.821599960327148,6.7716569900512695
Sibilant Plural,noses,rashes,14.069435119628906,13.57041072845459
Regular Singular,thigh,rashes,14.3380126953125,6.525481224060059
Regular Plural,thighs,rashes,11.513520240783691,10.644259452819824
Sibilant Singular,cause,evaluators,9.979409217834473,23.066967964172363
Sibilant Plural,causes,evaluators,13.696866989135742,22.37220859527588
Regular Singular,loss,evaluators,11.28690242767334,18.281622886657715
Regular Plural,losses,evaluators,10.684507727622986,22.469277381896973
Sibilant Singular,gaze,detector,13.345407485961914,4.031139373779297
Sibilant Plural,gazes,detector,21.632360458374023,8.33943796157837
Regular Singular,stare,detector,16.158964157104492,5.02385139465332
Regular Plural,stares,detector,9.337186336517334,7.354039192199707
Sibilant Singular,clause,finder,12.613588809967041,10.528986930847168
Sibilant Plural,clauses,finder,16.28499126434326,10.171439170837402
Regular Singular,article,finder,11.094005584716797,11.920018196105957
Regular Plural,articles,finder,12.903641700744629,13.637125968933105
Sibilant Singular,maze,decoder,9.463696956634521,14.330093383789062
Sibilant Plural,mazes,decoder,5.587819337844849,14.53244400024414
Regular Singular,web,decoder,9.695630073547363,11.597710609436035
Regular Plural,webs,decoder,19.40027618408203,12.519301414489746
Sibilant Singular,quiz,expert,16.965686798095703,6.51276969909668
Sibilant Plural,quizzes,expert,19.820881843566895,7.462615013122559
Regular Singular,puzzle,expert,9.125386238098145,6.834837436676025
