Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,19.609750986099243,22.99404001235962
Sibilant Plural,blazes,protector,22.46983790397644,25.141583681106567
Regular Singular,spark,protector,18.1971492767334,22.854551553726196
Regular Plural,sparks,protector,20.355570554733276,24.49629259109497
Sibilant Singular,breeze,protector,19.80498433113098,23.663405179977417
Sibilant Plural,breezes,protector,22.210773706436157,24.892942667007446
Regular Singular,storm,protector,12.296459197998047,29.381566524505615
Regular Plural,storms,protector,16.79444169998169,23.096176624298096
Sibilant Singular,tax,receivers,8.645687103271484,17.855501413345337
Sibilant Plural,taxes,receivers,9.731751441955566,14.544784784317017
Regular Singular,toll,receivers,11.756945848464966,18.807857513427734
Regular Plural,tolls,receivers,17.821134328842163,14.872865676879883
Sibilant Singular,sex,disparities,10.541186332702637,34.56018352508545
Sibilant Plural,sexes,disparities,17.75581431388855,31.41167116165161
Regular Singular,gender,disparities,14.96541428565979,30.414940357208252
Regular Plural,genders,disparities,18.2635715007782,34.80052590370178
Sibilant Singular,vase,maker,10.756874084472656,14.67228364944458
Sibilant Plural,vases,maker,14.082066535949707,15.292270421981812
Regular Singular,pot,maker,8.09325885772705,17.272679567337036
Regular Plural,pots,maker,12.242355823516846,13.621172428131104
Sibilant Singular,hoax,victims,16.821712017059326,27.741422176361084
Sibilant Plural,hoaxes,victims,21.536631107330322,25.16727089881897
Regular Singular,joke,victims,15.65895414352417,26.35149121284485
Regular Plural,jokes,victims,17.64003086090088,26.194663286209106
Sibilant Singular,phase,classifier,18.10459566116333,32.89900827407837
Sibilant Plural,phases,classifier,19.074592113494873,35.81225371360779
Regular Singular,step,classifier,12.678483009338379,38.59535813331604
Regular Plural,steps,classifier,17.09205436706543,32.211923360824585
Sibilant Singular,hose,installer,11.73401165008545,19.24457287788391
Sibilant Plural,hoses,installer,14.27489972114563,20.695674657821655
Regular Singular,pipe,installer,18.200134754180908,19.513437271118164
Regular Plural,pipes,installer,20.149291515350342,20.302610158920288
Sibilant Singular,fox,chaser,7.793006420135498,10.977126121520996
Sibilant Plural,foxes,chaser,11.261358737945557,12.22904634475708
Regular Singular,wolf,chaser,3.954742670059204,11.674481391906738
Regular Plural,wolves,chaser,7.530634164810181,12.361973285675049
Sibilant Singular,mix,winner,4.957407236099243,17.8329975605011
Sibilant Plural,mixes,winner,7.271136045455933,14.98660683631897
Regular Singular,blend,winner,12.51429033279419,17.4111647605896
Regular Plural,blends,winner,16.886229038238525,16.156564950942993
Sibilant Singular,nose,rashes,15.11106252670288,18.75077223777771
Sibilant Plural,noses,rashes,17.277509450912476,23.367305040359497
Regular Singular,thigh,rashes,18.39365553855896,20.00132656097412
Regular Plural,thighs,rashes,24.303728342056274,20.27285623550415
Sibilant Singular,cause,evaluators,12.842132806777954,35.91364908218384
Sibilant Plural,causes,evaluators,18.347254514694214,29.362393140792847
Regular Singular,loss,evaluators,9.251269578933716,38.29513764381409
