Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,15.274637699127197,15.083238124847412
Sibilant Plural,blazes,protector,15.445272445678711,17.600548267364502
Regular Singular,spark,protector,14.21842074394226,14.4225332736969
Regular Plural,sparks,protector,13.90422534942627,15.283411026000977
Sibilant Singular,breeze,protector,14.293612480163574,16.20737934112549
Sibilant Plural,breezes,protector,15.69207763671875,17.69645881652832
Regular Singular,storm,protector,12.557260274887085,13.30324673652649
Regular Plural,storms,protector,14.162362813949585,17.650280952453613
Sibilant Singular,tax,receivers,11.693907260894775,8.653810739517212
Sibilant Plural,taxes,receivers,13.38027548789978,12.854100704193115
Regular Singular,toll,receivers,15.310879707336426,11.866236686706543
Regular Plural,tolls,receivers,17.785542249679565,13.261876344680786
Sibilant Singular,sex,disparities,11.31279182434082,17.062005043029785
Sibilant Plural,sexes,disparities,16.268808126449585,17.2837917804718
Regular Singular,gender,disparities,14.307285785675049,15.812250852584839
Regular Plural,genders,disparities,17.680674076080322,17.818090438842773
Sibilant Singular,vase,maker,15.820121049880981,10.313048601150513
Sibilant Plural,vases,maker,16.20750403404236,13.61765193939209
Regular Singular,pot,maker,13.278193473815918,10.875278234481812
Regular Plural,pots,maker,15.025028944015503,13.384639263153076
Sibilant Singular,hoax,victims,17.811450242996216,11.595152378082275
Sibilant Plural,hoaxes,victims,19.241660356521606,12.897254943847656
Regular Singular,joke,victims,13.355690479278564,13.216787338256836
Regular Plural,jokes,victims,14.091251373291016,14.773417949676514
Sibilant Singular,phase,classifier,12.909995555877686,21.23063373565674
Sibilant Plural,phases,classifier,15.603973865509033,18.94033432006836
Regular Singular,step,classifier,10.031241655349731,25.423170566558838
Regular Plural,steps,classifier,13.486143827438354,19.730902671813965
Sibilant Singular,hose,installer,13.797016382217407,15.430603742599487
Sibilant Plural,hoses,installer,18.094582319259644,20.914799213409424
Regular Singular,pipe,installer,13.031164169311523,12.717979431152344
Regular Plural,pipes,installer,13.909192562103271,17.827759504318237
Sibilant Singular,fox,chaser,11.455046653747559,12.702268600463867
Sibilant Plural,foxes,chaser,14.612010955810547,14.57953429222107
Regular Singular,wolf,chaser,16.030306816101074,9.7322678565979
Regular Plural,wolves,chaser,16.9729905128479,14.306133270263672
Sibilant Singular,mix,winner,13.455061912536621,14.623830795288086
Sibilant Plural,mixes,winner,17.020010948181152,15.48748230934143
Regular Singular,blend,winner,14.4290292263031,12.211642265319824
Regular Plural,blends,winner,16.012717247009277,14.174851417541504
