Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,14.10737657546997,13.258970260620117
Sibilant Plural,blazes,protector,16.547688722610474,12.097162246704102
Regular Singular,spark,protector,14.336910247802734,16.9166202545166
Regular Plural,sparks,protector,16.580629587173462,12.853273868560791
Sibilant Singular,breeze,protector,14.642566680908203,13.605892658233643
Sibilant Plural,breezes,protector,17.478615045547485,11.87902307510376
Regular Singular,storm,protector,15.165064334869385,12.190011739730835
Regular Plural,storms,protector,17.443668127059937,12.705430030822754
Sibilant Singular,tax,receivers,11.691287517547607,13.259276866912842
Sibilant Plural,taxes,receivers,15.917217493057251,10.85591459274292
Regular Singular,toll,receivers,11.379579067230225,19.034159421920776
Regular Plural,tolls,receivers,17.87739133834839,12.998835325241089
Sibilant Singular,sex,disparities,11.235819101333618,20.1489679813385
Sibilant Plural,sexes,disparities,20.278975248336792,21.608744144439697
Regular Singular,gender,disparities,12.736953020095825,20.11257266998291
Regular Plural,genders,disparities,16.259942531585693,22.30419373512268
Sibilant Singular,vase,maker,15.306615352630615,7.8592939376831055
Sibilant Plural,vases,maker,17.741400241851807,10.674154996871948
Regular Singular,pot,maker,13.73608946800232,9.450890064239502
Regular Plural,pots,maker,15.546678304672241,9.51509976387024
Sibilant Singular,hoax,victims,12.8069589138031,13.165783405303955
Sibilant Plural,hoaxes,victims,15.482094764709473,11.618376731872559
Regular Singular,joke,victims,10.311997413635254,14.129112005233765
Regular Plural,jokes,victims,13.224240779876709,11.371265888214111
Sibilant Singular,phase,classifier,13.807542562484741,0.0
Sibilant Plural,phases,classifier,17.19896626472473,0.0
Regular Singular,step,classifier,12.302067995071411,0.0
Regular Plural,steps,classifier,13.304640531539917,0.0
Sibilant Singular,hose,installer,10.843286275863647,21.39784288406372
Sibilant Plural,hoses,installer,14.655181646347046,16.996649742126465
Regular Singular,pipe,installer,13.396522760391235,17.639201641082764
Regular Plural,pipes,installer,14.479676008224487,17.067407608032227
Sibilant Singular,fox,chaser,13.476930141448975,11.194467544555664
Sibilant Plural,foxes,chaser,16.127349853515625,12.770912885665894
Regular Singular,wolf,chaser,11.347848892211914,11.195416927337646
Regular Plural,wolves,chaser,14.23072862625122,13.610929012298584
Sibilant Singular,mix,winner,10.876973152160645,13.580244541168213
Sibilant Plural,mixes,winner,17.211196899414062,12.70707082748413
Regular Singular,blend,winner,13.51924753189087,11.931652784347534
Regular Plural,blends,winner,16.828032732009888,12.767746448516846
Sibilant Singular,nose,rashes,13.807782173156738,15.603486776351929
Sibilant Plural,noses,rashes,16.900042057037354,15.061478614807129
Regular Singular,thigh,rashes,17.12112283706665,15.94436264038086
Regular Plural,thighs,rashes,19.749510049819946,16.59944176673889
Sibilant Singular,cause,evaluators,9.142555713653564,0.0
Sibilant Plural,causes,evaluators,12.021380424499512,0.0
Regular Singular,loss,evaluators,12.251431941986084,0.0
Regular Plural,losses,evaluators,18.380690813064575,0.0
Sibilant Singular,gaze,detector,14.079974174499512,13.68787693977356
Sibilant Plural,gazes,detector,18.755977392196655,16.156453132629395
Regular Singular,stare,detector,13.57903504371643,18.73871660232544
Regular Plural,stares,detector,14.372206926345825,16.74204111099243
Sibilant Singular,clause,finder,13.49460506439209,9.335536003112793
Sibilant Plural,clauses,finder,16.29509949684143,11.24347710609436
Regular Singular,article,finder,10.622047424316406,11.340478897094727
Regular Plural,articles,finder,12.666253805160522,9.44306492805481
Sibilant Singular,maze,decoder,14.959154605865479,18.582590103149414
Sibilant Plural,mazes,decoder,17.481149196624756,19.445173740386963
Regular Singular,web,decoder,12.756402015686035,24.261536359786987
Regular Plural,webs,decoder,18.393025398254395,18.076843738555908
Sibilant Singular,quiz,expert,17.12793731689453,12.937549591064453
Sibilant Plural,quizzes,expert,22.879830837249756,10.544541120529175
Regular Singular,puzzle,expert,12.939545631408691,12.604469776153564
Regular Plural,puzzles,expert,15.55607008934021,11.012012720108032
Sibilant Singular,fax,man,16.329746961593628,5.88175106048584
Sibilant Plural,faxes,man,18.802284479141235,7.667385578155518
Regular Singular,copy,man,9.641021013259888,9.59266471862793
Regular Plural,copies,man,11.57682466506958,9.413200855255127
Sibilant Singular,size,device,9.277458906173706,11.247254371643066
Sibilant Plural,sizes,device,12.75126338005066,11.971206188201904
Regular Singular,shape,device,11.112365484237671,9.173696041107178
Regular Plural,shapes,device,11.993125915527344,11.549887657165527
Sibilant Singular,praise,getter,12.972522735595703,15.29674482345581
Sibilant Plural,praises,getter,17.45557165145874,14.735520839691162
