Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,16.999431133270264,13.814212560653687
Sibilant Plural,blazes,protector,18.19558835029602,15.895462036132812
Regular Singular,spark,protector,17.22777509689331,13.558912754058838
Regular Plural,sparks,protector,19.089840412139893,15.896200180053711
Sibilant Singular,breeze,protector,21.956568717956543,14.385669469833374
Sibilant Plural,breezes,protector,25.610886573791504,15.908776760101318
Regular Singular,storm,protector,14.17102575302124,13.874419450759888
Regular Plural,storms,protector,16.68932819366455,17.252724170684814
Sibilant Singular,tax,receivers,18.479910850524902,12.944353342056274
Sibilant Plural,taxes,receivers,23.033769607543945,14.210681200027466
Regular Singular,toll,receivers,17.691413402557373,13.86510944366455
Regular Plural,tolls,receivers,19.7222318649292,14.094818830490112
Sibilant Singular,sex,disparities,12.799949645996094,20.660719394683838
Sibilant Plural,sexes,disparities,20.788402557373047,21.073638916015625
Regular Singular,gender,disparities,15.245805740356445,20.677303791046143
Regular Plural,genders,disparities,16.68246030807495,22.662190914154053
Sibilant Singular,vase,maker,17.823829174041748,14.08352279663086
Sibilant Plural,vases,maker,18.822607040405273,14.015942573547363
Regular Singular,pot,maker,11.96095085144043,13.132017135620117
Regular Plural,pots,maker,17.164077758789062,13.25936222076416
Sibilant Singular,hoax,victims,20.29688262939453,10.88555908203125
Sibilant Plural,hoaxes,victims,23.35346508026123,11.877772331237793
Regular Singular,joke,victims,19.50872802734375,12.075197219848633
Regular Plural,jokes,victims,20.8436918258667,11.068022727966309
Sibilant Singular,phase,classifier,17.55059576034546,19.87000274658203
Sibilant Plural,phases,classifier,18.94308066368103,18.836297750473022
Regular Singular,step,classifier,12.858409881591797,20.852893829345703
Regular Plural,steps,classifier,13.306157112121582,20.432442665100098
Sibilant Singular,hose,installer,18.11576271057129,17.965502738952637
Sibilant Plural,hoses,installer,19.192593574523926,19.185568809509277
Regular Singular,pipe,installer,16.003949642181396,16.983954429626465
Regular Plural,pipes,installer,15.839162826538086,18.505517959594727
Sibilant Singular,fox,chaser,17.876943588256836,16.992462396621704
Sibilant Plural,foxes,chaser,21.5887393951416,18.35594892501831
Regular Singular,wolf,chaser,16.499133110046387,15.43019962310791
Regular Plural,wolves,chaser,17.72159504890442,17.143822193145752
Sibilant Singular,mix,winner,19.032018661499023,10.635625839233398
Sibilant Plural,mixes,winner,22.4403715133667,12.309976577758789
Regular Singular,blend,winner,16.438061714172363,10.851558685302734
Regular Plural,blends,winner,18.554616928100586,12.583719253540039
Sibilant Singular,nose,rashes,16.509594917297363,17.95911693572998
Sibilant Plural,noses,rashes,19.439099311828613,19.3947172164917
Regular Singular,thigh,rashes,19.40354824066162,15.376717567443848
Regular Plural,thighs,rashes,20.60590362548828,18.129552841186523
Sibilant Singular,cause,evaluators,10.555089950561523,20.232282638549805
Sibilant Plural,causes,evaluators,20.30058765411377,18.1939697265625
Regular Singular,loss,evaluators,16.62272071838379,17.282258987426758
Regular Plural,losses,evaluators,20.12790298461914,18.184890270233154
Sibilant Singular,gaze,detector,19.323440551757812,11.423048973083496
Sibilant Plural,gazes,detector,19.73043179512024,14.548940896987915
Regular Singular,stare,detector,17.85605812072754,12.413356304168701
Regular Plural,stares,detector,20.139713287353516,13.151107788085938
Sibilant Singular,clause,finder,16.782264709472656,16.663625717163086
Sibilant Plural,clauses,finder,24.420517444610596,18.14887809753418
Regular Singular,article,finder,20.31957721710205,16.762660026550293
Regular Plural,articles,finder,19.318763732910156,18.393814086914062
Sibilant Singular,maze,decoder,20.39482593536377,14.808466911315918
Sibilant Plural,mazes,decoder,23.731682300567627,16.9363272190094
Regular Singular,web,decoder,15.00335693359375,13.672090291976929
Regular Plural,webs,decoder,19.9664363861084,16.19031810760498
Sibilant Singular,quiz,expert,18.04658555984497,12.342326164245605
Sibilant Plural,quizzes,expert,25.533349990844727,13.919797897338867
Regular Singular,puzzle,expert,19.63153314590454,11.825519561767578
Regular Plural,puzzles,expert,21.25289011001587,14.009166717529297
Sibilant Singular,fax,man,16.500067234039307,8.04069709777832
Sibilant Plural,faxes,man,18.754724502563477,10.134269714355469
Regular Singular,copy,man,18.298604726791382,8.483205795288086
Regular Plural,copies,man,20.688447952270508,9.808099746704102
Sibilant Singular,size,device,15.50680923461914,9.544916152954102
Sibilant Plural,sizes,device,16.777908325195312,11.943821907043457
Regular Singular,shape,device,15.952559471130371,10.995471000671387
Regular Plural,shapes,device,19.039417266845703,12.248156547546387
Sibilant Singular,praise,getter,18.235271692276,18.633102416992188
Sibilant Plural,praises,getter,21.18765354156494,19.30413007736206
Regular Singular,compliment,getter,18.847673892974854,18.30268096923828
Regular Plural,compliments,getter,18.91944694519043,19.803606033325195
Sibilant Singular,prize,recipient,17.2875394821167,14.92882776260376
Sibilant Plural,prizes,recipient,19.49105739593506,14.817161798477173
Regular Singular,award,recipient,19.985944747924805,13.326734781265259
Regular Plural,awards,recipient,20.613710403442383,14.360017657279968
Sibilant Singular,box,lifters,12.743593215942383,21.24719524383545
Sibilant Plural,boxes,lifters,15.62145709991455,22.808846473693848
Regular Singular,pack,lifters,12.096521377563477,21.566999435424805
Regular Plural,packs,lifters,18.34193229675293,23.082717895507812
Sibilant Singular,rose,gardeners,13.53938102722168,14.357213020324707
Sibilant Plural,roses,gardeners,16.695565700531006,16.484060764312744
Regular Singular,flower,gardeners,12.202129364013672,12.35137414932251
Regular Plural,flowers,gardeners,15.017332077026367,16.77394676208496
Sibilant Singular,bruise,healer,25.798245429992676,18.97724199295044
Sibilant Plural,bruises,healer,27.90935707092285,18.52816104888916
Regular Singular,sore,healer,18.034183502197266,19.806315898895264
Regular Plural,sores,healer,18.380240440368652,18.48460578918457
Sibilant Singular,rise,addict,11.913703918457031,15.668275833129883
Sibilant Plural,rises,addict,18.643729209899902,14.258463859558105
Regular Singular,drop,addict,14.30166244506836,15.0626540184021
Regular Plural,drops,addict,14.253453493118286,14.72630500793457
