Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.142337083816528,15.216891527175903
Sibilant Plural,blazes,protector,20.551039218902588,14.789812088012695
Regular Singular,spark,protector,13.923882484436035,14.965140581130981
Regular Plural,sparks,protector,13.746003866195679,15.55904245376587
Sibilant Singular,breeze,protector,13.042943954467773,17.391445636749268
Sibilant Plural,breezes,protector,21.368030548095703,15.7700514793396
Regular Singular,storm,protector,11.215677261352539,17.515743255615234
Regular Plural,storms,protector,13.827183961868286,17.251578330993652
Sibilant Singular,tax,receivers,11.462270736694336,15.193146705627441
Sibilant Plural,taxes,receivers,13.40572738647461,17.529353141784668
Regular Singular,toll,receivers,14.189153671264648,15.793025970458984
Regular Plural,tolls,receivers,15.863279819488525,17.811474800109863
Sibilant Singular,sex,disparities,12.547980308532715,23.97586154937744
Sibilant Plural,sexes,disparities,17.72727108001709,23.061017990112305
Regular Singular,gender,disparities,15.357139587402344,22.645041465759277
Regular Plural,genders,disparities,23.651002883911133,23.175540924072266
Sibilant Singular,vase,maker,14.641815185546875,13.967659950256348
Sibilant Plural,vases,maker,15.75124740600586,14.54375696182251
Regular Singular,pot,maker,11.534965515136719,13.78621244430542
Regular Plural,pots,maker,11.748735427856445,15.98642349243164
Sibilant Singular,hoax,victims,20.828715324401855,12.849361419677734
Sibilant Plural,hoaxes,victims,25.07606267929077,12.019721031188965
Regular Singular,joke,victims,13.045053482055664,12.918314933776855
Regular Plural,jokes,victims,12.4332857131958,13.017613410949707
Sibilant Singular,phase,classifier,12.455070495605469,19.975584030151367
Sibilant Plural,phases,classifier,15.126845598220825,22.585998058319092
Regular Singular,step,classifier,9.621099472045898,23.48827588558197
Regular Plural,steps,classifier,10.428387641906738,25.115477800369263
Sibilant Singular,hose,installer,13.07589054107666,22.827025413513184
Sibilant Plural,hoses,installer,16.039287090301514,23.86913299560547
Regular Singular,pipe,installer,12.931426048278809,21.002928733825684
Regular Plural,pipes,installer,14.37018084526062,22.31354331970215
Sibilant Singular,fox,chaser,12.928292274475098,19.521862030029297
Sibilant Plural,foxes,chaser,16.069047451019287,21.36148738861084
Regular Singular,wolf,chaser,12.935440063476562,18.17696189880371
Regular Plural,wolves,chaser,14.111472845077515,20.835474491119385
Sibilant Singular,mix,winner,12.802980422973633,14.112138748168945
Sibilant Plural,mixes,winner,13.724184513092041,13.908766746520996
Regular Singular,blend,winner,15.515478134155273,13.654227256774902
Regular Plural,blends,winner,14.936004161834717,14.994810104370117
Sibilant Singular,nose,rashes,10.17027473449707,14.469809532165527
Sibilant Plural,noses,rashes,14.722564220428467,17.93043613433838
Regular Singular,thigh,rashes,15.685147762298584,14.394876480102539
Regular Plural,thighs,rashes,14.465690612792969,14.886662483215332
Sibilant Singular,cause,evaluators,10.788761138916016,23.566402435302734
Sibilant Plural,causes,evaluators,11.327468872070312,21.087883949279785
Regular Singular,loss,evaluators,11.899845123291016,22.71807289123535
Regular Plural,losses,evaluators,14.132714986801147,19.861929893493652
Sibilant Singular,gaze,detector,11.087660789489746,17.006359100341797
Sibilant Plural,gazes,detector,20.29482650756836,13.464393138885498
Regular Singular,stare,detector,12.389354705810547,16.670587301254272
Regular Plural,stares,detector,12.219147682189941,18.806504726409912
Sibilant Singular,clause,finder,14.5304274559021,21.86726951599121
Sibilant Plural,clauses,finder,15.586479663848877,21.38906192779541
Regular Singular,article,finder,11.68465805053711,17.677035808563232
Regular Plural,articles,finder,12.113629341125488,20.083812713623047
Sibilant Singular,maze,decoder,14.298666954040527,19.841189861297607
Sibilant Plural,mazes,decoder,20.81068468093872,19.20642852783203
Regular Singular,web,decoder,12.034310340881348,16.695759296417236
Regular Plural,webs,decoder,14.997701644897461,20.650768995285034
Sibilant Singular,quiz,expert,17.027132034301758,10.681923866271973
Sibilant Plural,quizzes,expert,23.302871704101562,14.184572219848633
Regular Singular,puzzle,expert,11.743940353393555,13.689538955688477
Regular Plural,puzzles,expert,12.026875495910645,14.731529235839844
Sibilant Singular,fax,man,13.711337089538574,9.205253601074219
Sibilant Plural,faxes,man,17.284191608428955,10.383186340332031
Regular Singular,copy,man,10.404524803161621,10.049789428710938
Regular Plural,copies,man,13.198762893676758,12.248348236083984
Sibilant Singular,size,device,9.936262130737305,12.072554588317871
Sibilant Plural,sizes,device,12.994680881500244,12.539289474487305
Regular Singular,shape,device,11.120753288269043,11.988539695739746
Regular Plural,shapes,device,10.927467346191406,12.687662124633789
Sibilant Singular,praise,getter,12.023860931396484,22.537299156188965
Sibilant Plural,praises,getter,16.706953525543213,23.600196838378906
Regular Singular,compliment,getter,14.31106948852539,20.82114315032959
Regular Plural,compliments,getter,13.916143894195557,23.90878200531006
Sibilant Singular,prize,recipient,11.443044662475586,14.688187837600708
Sibilant Plural,prizes,recipient,11.83123779296875,16.577970147132874
Regular Singular,award,recipient,11.148629188537598,13.816192150115967
Regular Plural,awards,recipient,12.573935508728027,15.926192879676819
Sibilant Singular,box,lifters,9.902482986450195,24.984539031982422
Sibilant Plural,boxes,lifters,11.444445610046387,25.72138023376465
Regular Singular,pack,lifters,11.507535934448242,23.698065757751465
Regular Plural,packs,lifters,14.330726146697998,24.804990768432617
Sibilant Singular,rose,gardeners,10.67059326171875,18.79599142074585
Sibilant Plural,roses,gardeners,14.32861328125,16.684691429138184
Regular Singular,flower,gardeners,11.294661521911621,14.975959777832031
Regular Plural,flowers,gardeners,11.914149284362793,16.434732913970947
Sibilant Singular,bruise,healer,16.13529396057129,21.43814992904663
Sibilant Plural,bruises,healer,14.848099708557129,20.70870065689087
Regular Singular,sore,healer,12.68328857421875,23.30519962310791
Regular Plural,sores,healer,22.37869930267334,23.81242322921753
Sibilant Singular,rise,addict,10.879481315612793,19.98992395401001
Sibilant Plural,rises,addict,12.476781368255615,18.929299354553223
Regular Singular,drop,addict,9.934355735778809,20.250691413879395
Regular Plural,drops,addict,10.994237899780273,19.04416513442993
