Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,16.897467613220215,16.242149353027344
Sibilant Plural,blazes,protector,22.328294277191162,15.836703300476074
Regular Singular,spark,protector,13.514846801757812,16.40718412399292
Regular Plural,sparks,protector,16.05284357070923,17.438649654388428
Sibilant Singular,breeze,protector,12.277297019958496,16.599872589111328
Sibilant Plural,breezes,protector,15.301467418670654,15.316300392150879
Regular Singular,storm,protector,14.736059188842773,14.706840515136719
Regular Plural,storms,protector,16.62489628791809,15.693973541259766
Sibilant Singular,tax,receivers,12.061514854431152,14.918001174926758
Sibilant Plural,taxes,receivers,12.696938514709473,16.889986991882324
Regular Singular,toll,receivers,12.550021171569824,14.587612628936768
Regular Plural,tolls,receivers,13.505861282348633,15.814767837524414
Sibilant Singular,sex,disparities,10.96761703491211,21.433348178863525
Sibilant Plural,sexes,disparities,14.246692657470703,21.46678400039673
Regular Singular,gender,disparities,15.928820610046387,20.983551025390625
Regular Plural,genders,disparities,23.293065071105957,20.104520320892334
Sibilant Singular,vase,maker,13.945980548858643,11.603744506835938
Sibilant Plural,vases,maker,15.212893962860107,13.035149097442627
Regular Singular,pot,maker,9.331901550292969,12.084656715393066
Regular Plural,pots,maker,10.902055740356445,12.223939418792725
Sibilant Singular,hoax,victims,23.034815788269043,10.984572410583496
Sibilant Plural,hoaxes,victims,27.724449157714844,11.57984447479248
Regular Singular,joke,victims,12.161157608032227,11.350383758544922
Regular Plural,jokes,victims,11.40949821472168,11.855696678161621
Sibilant Singular,phase,classifier,10.952495574951172,19.696037769317627
Sibilant Plural,phases,classifier,18.598068475723267,20.398757219314575
Regular Singular,step,classifier,11.7081937789917,23.173519611358643
Regular Plural,steps,classifier,10.799555778503418,21.618849992752075
Sibilant Singular,hose,installer,14.773106575012207,18.63473606109619
Sibilant Plural,hoses,installer,20.70563793182373,18.98734188079834
Regular Singular,pipe,installer,10.415360450744629,20.42215633392334
Regular Plural,pipes,installer,10.433417558670044,19.578866004943848
Sibilant Singular,fox,chaser,10.307867050170898,23.397866249084473
Sibilant Plural,foxes,chaser,13.483055591583252,21.312870025634766
Regular Singular,wolf,chaser,13.017250061035156,24.93269920349121
Regular Plural,wolves,chaser,18.283865928649902,23.564098834991455
Sibilant Singular,mix,winner,12.217288970947266,11.011455535888672
