Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,29.429292678833008,16.351831436157227
Sibilant Plural,blazes,protector,27.30603313446045,17.17280387878418
Regular Singular,spark,protector,26.861452102661133,14.770383834838867
Regular Plural,sparks,protector,33.21601867675781,17.53851890563965
Sibilant Singular,breeze,protector,30.2330584526062,16.94502067565918
Sibilant Plural,breezes,protector,31.059492588043213,18.74683952331543
Regular Singular,storm,protector,18.542451858520508,14.523853302001953
Regular Plural,storms,protector,16.573806762695312,15.94590950012207
Sibilant Singular,tax,receivers,20.58374786376953,13.248290061950684
Sibilant Plural,taxes,receivers,27.291035175323486,16.27713966369629
Regular Singular,toll,receivers,31.726516723632812,15.062463760375977
Regular Plural,tolls,receivers,32.73248100280762,17.151931762695312
Sibilant Singular,sex,disparities,19.999359130859375,18.481552124023438
Sibilant Plural,sexes,disparities,26.84184169769287,21.000112533569336
Regular Singular,gender,disparities,22.967472076416016,21.483104705810547
Regular Plural,genders,disparities,26.37088966369629,19.593975067138672
Sibilant Singular,vase,maker,26.987789154052734,14.272665023803711
Sibilant Plural,vases,maker,29.41338539123535,15.771122932434082
Regular Singular,pot,maker,17.211597442626953,11.853248596191406
Regular Plural,pots,maker,18.15703010559082,14.559083938598633
Sibilant Singular,hoax,victims,35.620933532714844,14.08632755279541
Sibilant Plural,hoaxes,victims,43.668232917785645,18.055959701538086
Regular Singular,joke,victims,27.942340850830078,12.944470405578613
Regular Plural,jokes,victims,28.92248249053955,14.935873031616211
Sibilant Singular,phase,classifier,17.179590225219727,27.54795551300049
Sibilant Plural,phases,classifier,27.68248176574707,28.54293727874756
Regular Singular,step,classifier,16.988174438476562,26.403343200683594
Regular Plural,steps,classifier,18.877092361450195,26.450140953063965
Sibilant Singular,hose,installer,26.672120094299316,17.60483169555664
Sibilant Plural,hoses,installer,29.497121810913086,20.45945167541504
Regular Singular,pipe,installer,19.217361450195312,17.686262130737305
Regular Plural,pipes,installer,18.619065046310425,16.634883880615234
Sibilant Singular,fox,chaser,18.59040069580078,17.454476356506348
Sibilant Plural,foxes,chaser,29.54185962677002,20.02254867553711
Regular Singular,wolf,chaser,25.627147674560547,22.04653549194336
Regular Plural,wolves,chaser,21.37891387939453,22.239883422851562
Sibilant Singular,mix,winner,19.938451766967773,15.040801048278809
Sibilant Plural,mixes,winner,28.89192008972168,12.750090599060059
Regular Singular,blend,winner,31.02851963043213,12.029912948608398
Regular Plural,blends,winner,32.27957344055176,14.295842170715332
Sibilant Singular,nose,rashes,26.600858688354492,19.52149724960327
Sibilant Plural,noses,rashes,29.736727714538574,17.19780445098877
