Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,22.641201972961426,14.348816871643066
Sibilant Plural,blazes,protector,25.061634063720703,14.788177490234375
Regular Singular,spark,protector,20.55168342590332,14.097091674804688
Regular Plural,sparks,protector,20.02753448486328,14.53132438659668
Sibilant Singular,breeze,protector,19.665664672851562,14.263728141784668
Sibilant Plural,breezes,protector,30.912725925445557,16.106447219848633
Regular Singular,storm,protector,12.890443801879883,14.745137214660645
Regular Plural,storms,protector,14.60810399055481,15.041369438171387
Sibilant Singular,tax,receivers,19.452805519104004,20.071643829345703
Sibilant Plural,taxes,receivers,24.86573839187622,20.19347620010376
Regular Singular,toll,receivers,21.612553596496582,20.354782104492188
Regular Plural,tolls,receivers,21.568602085113525,19.632675647735596
Sibilant Singular,sex,disparities,15.846659660339355,22.87419319152832
Sibilant Plural,sexes,disparities,19.779894828796387,21.812435626983643
Regular Singular,gender,disparities,15.046086311340332,22.65139675140381
Regular Plural,genders,disparities,18.55774211883545,22.417377948760986
Sibilant Singular,vase,maker,20.46326732635498,12.24496841430664
Sibilant Plural,vases,maker,19.736570835113525,13.463995933532715
Regular Singular,pot,maker,12.131526947021484,11.173047065734863
Regular Plural,pots,maker,18.625903129577637,12.866998672485352
Sibilant Singular,hoax,victims,21.020519256591797,11.898337364196777
Sibilant Plural,hoaxes,victims,27.430664539337158,12.48527717590332
Regular Singular,joke,victims,18.558897972106934,11.618526458740234
Regular Plural,jokes,victims,20.407797813415527,12.250099182128906
Sibilant Singular,phase,classifier,18.2030611038208,22.06399440765381
Sibilant Plural,phases,classifier,21.648582458496094,22.24679183959961
Regular Singular,step,classifier,13.289743423461914,22.37647247314453
Regular Plural,steps,classifier,15.03541088104248,22.723648071289062
Sibilant Singular,hose,installer,17.555879592895508,18.451961517333984
Sibilant Plural,hoses,installer,18.562264442443848,18.824389457702637
Regular Singular,pipe,installer,19.040167808532715,17.712178230285645
Regular Plural,pipes,installer,20.272011756896973,19.015394687652588
Sibilant Singular,fox,chaser,11.948747634887695,14.068603515625
Sibilant Plural,foxes,chaser,21.18818187713623,14.304060935974121
Regular Singular,wolf,chaser,13.152064323425293,13.568787574768066
Regular Plural,wolves,chaser,19.221012592315674,14.3547945022583
Sibilant Singular,mix,winner,17.940261840820312,11.849839210510254
Sibilant Plural,mixes,winner,23.363505363464355,12.924295425415039
Regular Singular,blend,winner,22.977807998657227,11.346903800964355
Regular Plural,blends,winner,26.224668502807617,12.81118106842041
Sibilant Singular,nose,rashes,17.128239631652832,15.812482833862305
Sibilant Plural,noses,rashes,18.207763671875,16.809042930603027
Regular Singular,thigh,rashes,22.490005493164062,14.987646102905273
Regular Plural,thighs,rashes,24.31471061706543,15.723458290100098
Sibilant Singular,cause,evaluators,12.158053398132324,28.257811069488525
Sibilant Plural,causes,evaluators,22.29570960998535,27.350050926208496
Regular Singular,loss,evaluators,15.150524139404297,25.83501672744751
Regular Plural,losses,evaluators,19.580228805541992,25.82286500930786
Sibilant Singular,gaze,detector,21.811309814453125,11.357053756713867
Sibilant Plural,gazes,detector,23.693516731262207,11.803393363952637
Regular Singular,stare,detector,19.0045804977417,11.747809410095215
Regular Plural,stares,detector,18.70000457763672,11.923370361328125
Sibilant Singular,clause,finder,22.45436382293701,20.214292526245117
Sibilant Plural,clauses,finder,33.21778869628906,19.33891201019287
Regular Singular,article,finder,20.527161598205566,19.07426643371582
Regular Plural,articles,finder,20.621734619140625,18.978361129760742
Sibilant Singular,maze,decoder,20.76998805999756,25.51547145843506
Sibilant Plural,mazes,decoder,23.365182876586914,25.432329177856445
Regular Singular,web,decoder,20.664830207824707,26.41063404083252
Regular Plural,webs,decoder,19.767574310302734,26.899622917175293
Sibilant Singular,quiz,expert,20.884037971496582,12.622003555297852
