Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.118799448013306,14.135503768920898
Sibilant Plural,blazes,protector,15.100983142852783,14.38016676902771
Regular Singular,spark,protector,12.100282907485962,13.735222816467285
Regular Plural,sparks,protector,13.622958898544312,11.878737688064575
Sibilant Singular,breeze,protector,14.377845525741577,12.267909526824951
Sibilant Plural,breezes,protector,15.904248714447021,13.650824069976807
Regular Singular,storm,protector,11.272210359573364,11.552743673324585
Regular Plural,storms,protector,12.761810779571533,13.707152366638184
Sibilant Singular,tax,receivers,10.615581035614014,12.96600341796875
Sibilant Plural,taxes,receivers,13.708390474319458,12.300539493560791
Regular Singular,toll,receivers,10.110199451446533,20.030678749084473
Regular Plural,tolls,receivers,16.18152141571045,13.946995735168457
Sibilant Singular,sex,disparities,10.673161506652832,16.141920566558838
Sibilant Plural,sexes,disparities,13.18555212020874,16.70551586151123
Regular Singular,gender,disparities,13.31962776184082,16.580662965774536
Regular Plural,genders,disparities,16.753254175186157,17.511424779891968
Sibilant Singular,vase,maker,12.39568567276001,9.044607877731323
Sibilant Plural,vases,maker,15.116671085357666,13.48316740989685
Regular Singular,pot,maker,11.423243045806885,13.406546592712402
Regular Plural,pots,maker,13.08850884437561,12.313725471496582
Sibilant Singular,hoax,victims,14.509136438369751,13.777271032333374
Sibilant Plural,hoaxes,victims,17.02311658859253,11.250964164733887
Regular Singular,joke,victims,10.814198017120361,14.502244472503662
Regular Plural,jokes,victims,13.16823697090149,13.440104007720947
Sibilant Singular,phase,classifier,12.059058666229248,15.386804103851318
Sibilant Plural,phases,classifier,15.423933267593384,17.003549814224243
Regular Singular,step,classifier,9.757889032363892,15.976107835769653
Regular Plural,steps,classifier,11.476186037063599,16.517027378082275
Sibilant Singular,hose,installer,12.319360256195068,18.62134623527527
Sibilant Plural,hoses,installer,15.149631261825562,16.77480125427246
Regular Singular,pipe,installer,10.861377000808716,16.869542598724365
Regular Plural,pipes,installer,12.35391902923584,16.036335706710815
Sibilant Singular,fox,chaser,10.988059520721436,10.773424863815308
Sibilant Plural,foxes,chaser,13.197841882705688,12.535497188568115
Regular Singular,wolf,chaser,11.038558006286621,11.396063804626465
Regular Plural,wolves,chaser,12.88199782371521,12.349027633666992
Sibilant Singular,mix,winner,11.668844938278198,13.202617406845093
Sibilant Plural,mixes,winner,14.09571647644043,15.119170427322388
Regular Singular,blend,winner,13.642465353012085,15.55274748802185
Regular Plural,blends,winner,16.39989137649536,14.612924814224243
Sibilant Singular,nose,rashes,11.337665557861328,14.434379577636719
Sibilant Plural,noses,rashes,14.419181823730469,15.650394916534424
Regular Singular,thigh,rashes,11.997026443481445,13.088885068893433
Regular Plural,thighs,rashes,13.807686567306519,14.399566888809204
Sibilant Singular,cause,evaluators,8.424186706542969,18.592291593551636
Sibilant Plural,causes,evaluators,11.891648530960083,18.214193105697632
Regular Singular,loss,evaluators,10.629690885543823,20.422367572784424
Regular Plural,losses,evaluators,14.329975605010986,18.290441036224365
Sibilant Singular,gaze,detector,11.961739540100098,14.356042861938477
Sibilant Plural,gazes,detector,13.97207260131836,20.19038724899292
Regular Singular,stare,detector,11.48473048210144,13.06215238571167
Regular Plural,stares,detector,12.987008333206177,16.53974199295044
Sibilant Singular,clause,finder,12.176330089569092,12.199930906295776
Sibilant Plural,clauses,finder,13.527743816375732,14.238831281661987
Regular Singular,article,finder,12.034499883651733,14.029258489608765
Regular Plural,articles,finder,13.607369661331177,13.306302070617676
Sibilant Singular,maze,decoder,12.298994541168213,17.467525959014893
Sibilant Plural,mazes,decoder,16.31309175491333,15.613645792007446
Regular Singular,web,decoder,11.571125745773315,16.73307466506958
Regular Plural,webs,decoder,15.385846853256226,16.578243494033813
Sibilant Singular,quiz,expert,13.00391697883606,12.16668176651001
Sibilant Plural,quizzes,expert,16.105556964874268,9.707954168319702
Regular Singular,puzzle,expert,12.395828485488892,15.281033992767334
Regular Plural,puzzles,expert,14.530457973480225,12.698488712310791
Sibilant Singular,fax,man,12.955649852752686,5.463243722915649
Sibilant Plural,faxes,man,15.972768306732178,7.283931255340576
Regular Singular,copy,man,10.558394193649292,9.213283777236938
Regular Plural,copies,man,12.943835020065308,7.384673833847046
Sibilant Singular,size,device,8.210692167282104,12.827104091644287
Sibilant Plural,sizes,device,14.058731317520142,12.774713516235352
Regular Singular,shape,device,12.090891361236572,8.998162269592285
Regular Plural,shapes,device,12.964920043945312,11.781705856323242
Sibilant Singular,praise,getter,11.442467212677002,15.117978572845459
Sibilant Plural,praises,getter,15.276658773422241,15.072153568267822
Regular Singular,compliment,getter,13.03299069404602,15.853856563568115
Regular Plural,compliments,getter,13.73596739768982,13.736427783966064
Sibilant Singular,prize,recipient,12.952488660812378,10.52562427520752
Sibilant Plural,prizes,recipient,14.343338251113892,12.335129261016846
Regular Singular,award,recipient,10.758637428283691,14.482734203338623
Regular Plural,awards,recipient,10.786162853240967,13.203567028045654
Sibilant Singular,box,lifters,10.912663459777832,15.197679996490479
Sibilant Plural,boxes,lifters,13.242708206176758,17.433737754821777
Regular Singular,pack,lifters,10.137150526046753,17.03915309906006
Regular Plural,packs,lifters,12.759716033935547,14.651228189468384
Sibilant Singular,rose,gardeners,9.155192852020264,14.727992057800293
Sibilant Plural,roses,gardeners,11.775903701782227,13.643904209136963
Regular Singular,flower,gardeners,11.367751121520996,9.84130597114563
Regular Plural,flowers,gardeners,11.816998481750488,12.929436206817627
Sibilant Singular,bruise,healer,13.258916854858398,14.428789377212524
Sibilant Plural,bruises,healer,14.615382432937622,14.705216407775879
Regular Singular,sore,healer,9.295612335205078,16.19948387145996
