Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,14.575976371765137,14.815865278244019
Sibilant Plural,blazes,protector,15.676718711853027,13.392688512802124
Regular Singular,spark,protector,13.734233140945435,12.714948415756226
Regular Plural,sparks,protector,13.708730459213257,13.668741464614868
Sibilant Singular,breeze,protector,14.078019618988037,14.528995752334595
Sibilant Plural,breezes,protector,15.005834817886353,14.275074005126953
Regular Singular,storm,protector,11.911171674728394,12.171387910842896
Regular Plural,storms,protector,13.085095167160034,14.858679294586182
Sibilant Singular,tax,receivers,12.627047777175903,8.770462989807129
Sibilant Plural,taxes,receivers,13.399618864059448,12.704994678497314
Regular Singular,toll,receivers,14.509929180145264,11.092207431793213
Regular Plural,tolls,receivers,16.451653242111206,11.356626987457275
Sibilant Singular,sex,disparities,11.04138445854187,18.389395236968994
Sibilant Plural,sexes,disparities,15.424929141998291,18.101850509643555
Regular Singular,gender,disparities,13.307628154754639,14.642569780349731
Regular Plural,genders,disparities,17.005486488342285,16.681652545928955
Sibilant Singular,vase,maker,15.5389404296875,9.686629295349121
Sibilant Plural,vases,maker,16.132464170455933,11.947781562805176
Regular Singular,pot,maker,12.795319318771362,10.4383544921875
Regular Plural,pots,maker,12.884423017501831,11.261701583862305
Sibilant Singular,hoax,victims,14.839637041091919,12.881141662597656
Sibilant Plural,hoaxes,victims,16.63381600379944,10.103308200836182
Regular Singular,joke,victims,13.566617012023926,14.561366081237793
Regular Plural,jokes,victims,13.451988697052002,14.45260214805603
Sibilant Singular,phase,classifier,13.370779991149902,15.742933750152588
Sibilant Plural,phases,classifier,15.341651916503906,15.75929880142212
Regular Singular,step,classifier,10.17313528060913,22.903557777404785
Regular Plural,steps,classifier,12.01465392112732,18.88175344467163
Sibilant Singular,hose,installer,12.366905450820923,16.886547088623047
Sibilant Plural,hoses,installer,15.816201210021973,17.62718677520752
Regular Singular,pipe,installer,11.919454574584961,15.423683404922485
Regular Plural,pipes,installer,12.251386642456055,19.27472686767578
Sibilant Singular,fox,chaser,11.030047178268433,12.52024793624878
Sibilant Plural,foxes,chaser,13.684477806091309,14.359795570373535
Regular Singular,wolf,chaser,11.390498399734497,13.123623371124268
Regular Plural,wolves,chaser,12.121570348739624,14.92462682723999
Sibilant Singular,mix,winner,12.159760236740112,13.395289421081543
Sibilant Plural,mixes,winner,15.293431520462036,14.199026823043823
Regular Singular,blend,winner,14.659125089645386,14.038118839263916
Regular Plural,blends,winner,15.78753924369812,14.922798156738281
Sibilant Singular,nose,rashes,11.500643968582153,13.995887279510498
Sibilant Plural,noses,rashes,16.863226652145386,17.941985607147217
Regular Singular,thigh,rashes,12.288586616516113,15.868204116821289
Regular Plural,thighs,rashes,14.773714065551758,15.00357460975647
Sibilant Singular,cause,evaluators,8.761745691299438,17.876972913742065
Sibilant Plural,causes,evaluators,12.268328428268433,22.710702419281006
Regular Singular,loss,evaluators,12.957103729248047,20.318125009536743
Regular Plural,losses,evaluators,14.99288034439087,20.306493043899536
Sibilant Singular,gaze,detector,13.452573776245117,13.334440469741821
Sibilant Plural,gazes,detector,15.149399518966675,18.496102333068848
Regular Singular,stare,detector,13.44467306137085,13.996601104736328
Regular Plural,stares,detector,12.097936630249023,14.591229677200317
Sibilant Singular,clause,finder,12.953106164932251,13.90885066986084
Sibilant Plural,clauses,finder,17.083600759506226,15.724884510040283
Regular Singular,article,finder,12.299355745315552,16.692281484603882
Regular Plural,articles,finder,13.720519065856934,15.034233331680298
Sibilant Singular,maze,decoder,13.41763687133789,16.21652126312256
Sibilant Plural,mazes,decoder,17.600781440734863,14.200108528137207
Regular Singular,web,decoder,12.260834455490112,15.335358619689941
Regular Plural,webs,decoder,15.10016131401062,14.832396030426025
Sibilant Singular,quiz,expert,13.09165644645691,11.450304508209229
Sibilant Plural,quizzes,expert,18.414244651794434,11.518945693969727
Regular Singular,puzzle,expert,13.26464033126831,13.069967269897461
Regular Plural,puzzles,expert,14.514402151107788,12.340423583984375
Sibilant Singular,fax,man,13.364133596420288,6.348299026489258
Sibilant Plural,faxes,man,16.6900053024292,7.891252756118774
Regular Singular,copy,man,10.437700033187866,10.019751071929932
Regular Plural,copies,man,13.247554779052734,11.172374248504639
Sibilant Singular,size,device,8.456454277038574,13.004965782165527
Sibilant Plural,sizes,device,15.343692302703857,11.320230960845947
Regular Singular,shape,device,12.285094261169434,9.490947246551514
Regular Plural,shapes,device,13.159451007843018,14.749386310577393
Sibilant Singular,praise,getter,11.630686283111572,24.633094787597656
Sibilant Plural,praises,getter,15.395468711853027,19.32694435119629
Regular Singular,compliment,getter,14.78459620475769,19.295198917388916
Regular Plural,compliments,getter,14.137274503707886,19.16998314857483
Sibilant Singular,prize,recipient,13.419040203094482,10.478248119354248
Sibilant Plural,prizes,recipient,14.872260570526123,11.430671215057373
Regular Singular,award,recipient,13.653586387634277,10.330039978027344
Regular Plural,awards,recipient,10.61752462387085,11.872701644897461
Sibilant Singular,box,lifters,11.469145059585571,14.48929214477539
Sibilant Plural,boxes,lifters,14.309521436691284,16.38017511367798
Regular Singular,pack,lifters,11.406795501708984,17.299872636795044
Regular Plural,packs,lifters,13.752150058746338,14.278622150421143
Sibilant Singular,rose,gardeners,10.217034816741943,14.378375053405762
Sibilant Plural,roses,gardeners,12.456234455108643,12.81110954284668
Regular Singular,flower,gardeners,12.471001386642456,10.042564630508423
Regular Plural,flowers,gardeners,11.610206842422485,12.959734678268433
Sibilant Singular,bruise,healer,14.704998970031738,13.031887769699097
Sibilant Plural,bruises,healer,13.971781015396118,15.173035621643066
Regular Singular,sore,healer,12.599396705627441,16.018981456756592
Regular Plural,sores,healer,14.522116661071777,13.876996517181396
Sibilant Singular,rise,addict,11.930841445922852,14.637981653213501
Sibilant Plural,rises,addict,14.03750228881836,17.174429655075073
Regular Singular,drop,addict,10.237470865249634,14.47247838973999
Regular Plural,drops,addict,10.414389848709106,16.40443229675293
