Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,15.290508270263672,15.149703979492188
Sibilant Plural,blazes,protector,19.21743154525757,17.595486640930176
Regular Singular,spark,protector,15.446687698364258,14.123584508895874
Regular Plural,sparks,protector,15.450776100158691,18.091803550720215
Sibilant Singular,breeze,protector,20.110918521881104,14.722998857498169
Sibilant Plural,breezes,protector,21.091159343719482,18.878638744354248
Regular Singular,storm,protector,13.68921947479248,15.376306533813477
Regular Plural,storms,protector,16.21397304534912,19.111391067504883
Sibilant Singular,tax,receivers,17.03930950164795,13.413069248199463
Sibilant Plural,taxes,receivers,20.167410373687744,13.288156270980835
Regular Singular,toll,receivers,18.143195152282715,12.91506028175354
Regular Plural,tolls,receivers,20.81283664703369,14.005676984786987
Sibilant Singular,sex,disparities,11.27678108215332,21.802403450012207
Sibilant Plural,sexes,disparities,16.258023262023926,20.814587116241455
Regular Singular,gender,disparities,18.381351470947266,21.144747734069824
Regular Plural,genders,disparities,20.761829376220703,21.758445262908936
Sibilant Singular,vase,maker,16.931631088256836,13.320985317230225
Sibilant Plural,vases,maker,17.147676467895508,14.143908500671387
Regular Singular,pot,maker,13.80882740020752,10.4517183303833
Regular Plural,pots,maker,16.517690658569336,13.37986421585083
Sibilant Singular,hoax,victims,20.85910701751709,11.766280174255371
Sibilant Plural,hoaxes,victims,23.37042808532715,11.91521167755127
Regular Singular,joke,victims,19.276257514953613,11.3643159866333
Regular Plural,jokes,victims,21.52790927886963,11.819503784179688
Sibilant Singular,phase,classifier,17.85364818572998,19.609426975250244
Sibilant Plural,phases,classifier,22.86768364906311,21.20684289932251
Regular Singular,step,classifier,12.697408676147461,22.721210956573486
Regular Plural,steps,classifier,14.566118240356445,24.95698356628418
Sibilant Singular,hose,installer,15.515109539031982,17.054572105407715
Sibilant Plural,hoses,installer,17.383320331573486,17.213332176208496
Regular Singular,pipe,installer,14.340622901916504,16.200329542160034
Regular Plural,pipes,installer,15.553184032440186,18.514156341552734
Sibilant Singular,fox,chaser,18.236721992492676,15.442286968231201
Sibilant Plural,foxes,chaser,22.153447151184082,17.08193349838257
Regular Singular,wolf,chaser,14.27333688735962,15.348920822143555
Regular Plural,wolves,chaser,15.359775066375732,16.918612480163574
Sibilant Singular,mix,winner,18.303937911987305,10.40570068359375
Sibilant Plural,mixes,winner,21.185569763183594,12.849021911621094
Regular Singular,blend,winner,15.900971412658691,12.307561874389648
Regular Plural,blends,winner,17.024428367614746,13.224897384643555
Sibilant Singular,nose,rashes,14.248949527740479,14.523214340209961
Sibilant Plural,noses,rashes,18.273515701293945,15.45144271850586
Regular Singular,thigh,rashes,18.001072883605957,14.56538200378418
Regular Plural,thighs,rashes,21.29414653778076,14.973847389221191
Sibilant Singular,cause,evaluators,11.995319366455078,22.62162971496582
Sibilant Plural,causes,evaluators,20.39226245880127,18.51469659805298
Regular Singular,loss,evaluators,14.944439888000488,20.044479370117188
Regular Plural,losses,evaluators,17.407026290893555,20.634851455688477
Sibilant Singular,gaze,detector,20.40766716003418,11.546945333480835
Sibilant Plural,gazes,detector,24.591612815856934,14.512579202651978
Regular Singular,stare,detector,16.82568645477295,11.763857364654541
