Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,17.680813789367676,15.239881992340088
Sibilant Plural,blazes,protector,19.859264373779297,15.98486852645874
Regular Singular,spark,protector,15.836258888244629,15.35205364227295
Regular Plural,sparks,protector,17.374619722366333,16.47227191925049
Sibilant Singular,breeze,protector,20.040557384490967,14.446751594543457
Sibilant Plural,breezes,protector,23.550220012664795,14.897146701812744
Regular Singular,storm,protector,15.64718246459961,15.84881067276001
Regular Plural,storms,protector,18.502421617507935,16.81495189666748
Sibilant Singular,tax,receivers,17.92205047607422,14.851339340209961
Sibilant Plural,taxes,receivers,22.34605884552002,15.700097560882568
Regular Singular,toll,receivers,17.724275588989258,15.210830688476562
Regular Plural,tolls,receivers,19.888844966888428,15.561420440673828
Sibilant Singular,sex,disparities,13.0210542678833,22.72075653076172
Sibilant Plural,sexes,disparities,20.87228775024414,22.876060009002686
Regular Singular,gender,disparities,19.156335830688477,24.003478050231934
Regular Plural,genders,disparities,21.477974891662598,24.050511360168457
Sibilant Singular,vase,maker,16.496864318847656,11.747689247131348
Sibilant Plural,vases,maker,18.054673194885254,13.547097206115723
Regular Singular,pot,maker,12.831438064575195,11.21471643447876
Regular Plural,pots,maker,15.22957181930542,11.68300724029541
Sibilant Singular,hoax,victims,22.47104835510254,11.436355590820312
Sibilant Plural,hoaxes,victims,25.870802402496338,11.939655303955078
Regular Singular,joke,victims,18.795866012573242,12.177986145019531
Regular Plural,jokes,victims,18.77514362335205,11.460491180419922
Sibilant Singular,phase,classifier,20.061691284179688,20.553478956222534
Sibilant Plural,phases,classifier,18.7249813079834,20.493586778640747
Regular Singular,step,classifier,12.237631797790527,21.682802200317383
Regular Plural,steps,classifier,13.207408905029297,22.58317518234253
Sibilant Singular,hose,installer,18.139336585998535,18.711173057556152
Sibilant Plural,hoses,installer,19.565171241760254,19.108609199523926
Regular Singular,pipe,installer,15.21220350265503,16.990660667419434
Regular Plural,pipes,installer,16.825902462005615,18.94403076171875
Sibilant Singular,fox,chaser,16.25357961654663,16.432403564453125
Sibilant Plural,foxes,chaser,19.621758937835693,18.57030439376831
Regular Singular,wolf,chaser,15.44938325881958,14.53642749786377
Regular Plural,wolves,chaser,19.70703125,17.65705633163452
Sibilant Singular,mix,winner,15.08188009262085,11.885520935058594
Sibilant Plural,mixes,winner,19.406468391418457,12.418315887451172
Regular Singular,blend,winner,18.143595695495605,11.820015907287598
Regular Plural,blends,winner,20.038355350494385,11.987007141113281
Sibilant Singular,nose,rashes,13.266362190246582,15.845002174377441
Sibilant Plural,noses,rashes,16.260937690734863,17.98683261871338
Regular Singular,thigh,rashes,18.62757110595703,16.80365753173828
Regular Plural,thighs,rashes,22.641830444335938,16.235857009887695
Sibilant Singular,cause,evaluators,11.131880760192871,20.316046237945557
Sibilant Plural,causes,evaluators,22.654539108276367,18.029630184173584
Regular Singular,loss,evaluators,16.72852849960327,17.175776958465576
Regular Plural,losses,evaluators,20.389019012451172,17.57832622528076
Sibilant Singular,gaze,detector,19.496870040893555,12.682415246963501
Sibilant Plural,gazes,detector,21.248896598815918,16.38106918334961
Regular Singular,stare,detector,16.828020095825195,13.42985200881958
Regular Plural,stares,detector,17.360382080078125,15.737197399139404
Sibilant Singular,clause,finder,17.472332000732422,18.40573501586914
Sibilant Plural,clauses,finder,22.84049892425537,18.54304599761963
Regular Singular,article,finder,22.594581604003906,17.60309410095215
Regular Plural,articles,finder,22.820039749145508,18.774988174438477
Sibilant Singular,maze,decoder,17.72904396057129,15.438640832901001
Sibilant Plural,mazes,decoder,22.21098232269287,15.413398027420044
Regular Singular,web,decoder,16.245049476623535,14.519319772720337
Regular Plural,webs,decoder,19.97531795501709,15.432127952575684
Sibilant Singular,quiz,expert,16.536476135253906,11.735636711120605
Sibilant Plural,quizzes,expert,24.543737411499023,13.450054168701172
Regular Singular,puzzle,expert,17.390939235687256,12.872560501098633
Regular Plural,puzzles,expert,19.0597186088562,14.424705505371094
Sibilant Singular,fax,man,14.7191481590271,8.652477264404297
Sibilant Plural,faxes,man,18.72882318496704,10.787850379943848
Regular Singular,copy,man,15.718576431274414,7.845808982849121
Regular Plural,copies,man,22.822694778442383,10.960619926452637
Sibilant Singular,size,device,15.35678243637085,9.67149829864502
Sibilant Plural,sizes,device,17.13852834701538,11.3223295211792
Regular Singular,shape,device,15.638747215270996,10.08989429473877
Regular Plural,shapes,device,17.586913585662842,10.459123611450195
Sibilant Singular,praise,getter,20.397146224975586,19.660420417785645
Sibilant Plural,praises,getter,22.193781852722168,20.442331314086914
Regular Singular,compliment,getter,22.276297092437744,19.550704956054688
Regular Plural,compliments,getter,23.38861322402954,20.184147834777832
Sibilant Singular,prize,recipient,19.835658073425293,14.411913394927979
Sibilant Plural,prizes,recipient,20.22614097595215,14.556244611740112
Regular Singular,award,recipient,21.266395568847656,12.388396263122559
Regular Plural,awards,recipient,22.10417366027832,13.94985842704773
Sibilant Singular,box,lifters,11.167997360229492,23.84242820739746
Sibilant Plural,boxes,lifters,13.972744941711426,23.89124870300293
Regular Singular,pack,lifters,13.602102279663086,23.612906455993652
Regular Plural,packs,lifters,16.926823616027832,23.876341819763184
Sibilant Singular,rose,gardeners,14.062652587890625,17.465805053710938
Sibilant Plural,roses,gardeners,18.330318450927734,19.13335418701172
Regular Singular,flower,gardeners,12.40298843383789,16.424808979034424
Regular Plural,flowers,gardeners,13.792170524597168,17.958163261413574
Sibilant Singular,bruise,healer,21.073710918426514,18.597003936767578
Sibilant Plural,bruises,healer,22.393287181854248,19.184552669525146
Regular Singular,sore,healer,15.856438159942627,18.310789108276367
Regular Plural,sores,healer,17.878763675689697,18.70792818069458
Sibilant Singular,rise,addict,12.24259090423584,17.928019523620605
Sibilant Plural,rises,addict,14.881185531616211,17.687270641326904
Regular Singular,drop,addict,15.5823974609375,16.295310020446777
Regular Plural,drops,addict,13.324169874191284,17.490368843078613
