Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,18.352739334106445,15.564409255981445
Sibilant Plural,blazes,protector,20.641032218933105,15.901964664459229
Regular Singular,spark,protector,16.22430419921875,15.499507904052734
Regular Plural,sparks,protector,18.499849796295166,16.853044509887695
Sibilant Singular,breeze,protector,21.4890398979187,14.773594379425049
Sibilant Plural,breezes,protector,25.012794494628906,15.150848388671875
Regular Singular,storm,protector,13.97827672958374,15.660053730010986
Regular Plural,storms,protector,16.875959157943726,16.537288188934326
Sibilant Singular,tax,receivers,15.4721040725708,15.110777378082275
Sibilant Plural,taxes,receivers,20.228923320770264,16.079498767852783
Regular Singular,toll,receivers,18.021432876586914,15.964930534362793
Regular Plural,tolls,receivers,19.93558382987976,15.868030548095703
Sibilant Singular,sex,disparities,13.02642822265625,21.822885990142822
Sibilant Plural,sexes,disparities,20.579320907592773,22.226109981536865
Regular Singular,gender,disparities,18.080031394958496,22.386046886444092
Regular Plural,genders,disparities,22.788554191589355,23.141218662261963
Sibilant Singular,vase,maker,17.9623703956604,11.494583129882812
Sibilant Plural,vases,maker,19.13142967224121,13.439356327056885
Regular Singular,pot,maker,13.770469665527344,10.679609060287476
Regular Plural,pots,maker,15.633329391479492,11.530362844467163
Sibilant Singular,hoax,victims,22.297069549560547,11.146236419677734
Sibilant Plural,hoaxes,victims,25.478671073913574,11.58183479309082
Regular Singular,joke,victims,19.161810874938965,11.52231216430664
Regular Plural,jokes,victims,20.35868549346924,11.123046875
Sibilant Singular,phase,classifier,20.32738208770752,20.29022741317749
Sibilant Plural,phases,classifier,19.330437660217285,19.830688953399658
Regular Singular,step,classifier,13.742056846618652,21.86773657798767
Regular Plural,steps,classifier,13.989601135253906,22.758910655975342
Sibilant Singular,hose,installer,16.835036277770996,18.87278938293457
Sibilant Plural,hoses,installer,19.961768627166748,19.44210910797119
Regular Singular,pipe,installer,15.426516056060791,18.06607723236084
Regular Plural,pipes,installer,18.06482744216919,19.58770179748535
Sibilant Singular,fox,chaser,15.90682601928711,17.01588797569275
Sibilant Plural,foxes,chaser,19.915161609649658,19.290332317352295
Regular Singular,wolf,chaser,14.918210983276367,14.587459564208984
Regular Plural,wolves,chaser,19.328679084777832,17.46906614303589
Sibilant Singular,mix,winner,15.014488220214844,11.572311401367188
Sibilant Plural,mixes,winner,19.576727867126465,12.29731273651123
Regular Singular,blend,winner,18.421907424926758,12.086470603942871
Regular Plural,blends,winner,20.78045129776001,11.693049430847168
Sibilant Singular,nose,rashes,15.162468910217285,16.59124755859375
Sibilant Plural,noses,rashes,16.83948516845703,17.83284854888916
Regular Singular,thigh,rashes,19.653279304504395,17.569371223449707
Regular Plural,thighs,rashes,23.342613220214844,17.288923263549805
Sibilant Singular,cause,evaluators,12.958100318908691,20.103029251098633
Sibilant Plural,causes,evaluators,22.016162872314453,18.261146545410156
Regular Singular,loss,evaluators,17.28950023651123,17.228496074676514
Regular Plural,losses,evaluators,21.44541358947754,17.368769645690918
Sibilant Singular,gaze,detector,19.05670166015625,13.005759239196777
Sibilant Plural,gazes,detector,21.789941787719727,16.116928100585938
Regular Singular,stare,detector,16.580252647399902,13.42081356048584
Regular Plural,stares,detector,16.905685424804688,15.437532901763916
Sibilant Singular,clause,finder,16.959613800048828,18.30770969390869
Sibilant Plural,clauses,finder,25.13905429840088,18.95515727996826
Regular Singular,article,finder,21.84265899658203,17.487765312194824
Regular Plural,articles,finder,22.273784637451172,18.936654090881348
Sibilant Singular,maze,decoder,18.774970054626465,15.459317445755005
Sibilant Plural,mazes,decoder,23.33235740661621,15.35779881477356
Regular Singular,web,decoder,14.497408390045166,14.901502132415771
Regular Plural,webs,decoder,18.6615047454834,15.33629298210144
Sibilant Singular,quiz,expert,17.150074005126953,11.663783073425293
Sibilant Plural,quizzes,expert,25.280185222625732,13.010086059570312
Regular Singular,puzzle,expert,17.97164273262024,12.311490058898926
Regular Plural,puzzles,expert,19.298389196395874,13.86036491394043
Sibilant Singular,fax,man,15.432408332824707,8.390008926391602
Sibilant Plural,faxes,man,19.752121925354004,10.71947193145752
Regular Singular,copy,man,15.785731315612793,7.668094158172607
Regular Plural,copies,man,21.491145610809326,11.125130653381348
Sibilant Singular,size,device,15.597182750701904,9.738130569458008
Sibilant Plural,sizes,device,18.487797260284424,11.458343505859375
Regular Singular,shape,device,16.69161605834961,10.081615447998047
Regular Plural,shapes,device,17.741034507751465,10.666890144348145
Sibilant Singular,praise,getter,19.6203351020813,20.64964199066162
Sibilant Plural,praises,getter,21.78678274154663,21.094097137451172
Regular Singular,compliment,getter,20.892955780029297,20.099475860595703
Regular Plural,compliments,getter,22.038949966430664,20.20967674255371
Sibilant Singular,prize,recipient,22.298574447631836,13.521541118621826
Sibilant Plural,prizes,recipient,22.417920112609863,13.595961570739746
Regular Singular,award,recipient,20.095942497253418,10.881681084632874
Regular Plural,awards,recipient,21.52511215209961,13.187317609786987
Sibilant Singular,box,lifters,11.713595390319824,23.014044761657715
Sibilant Plural,boxes,lifters,13.613024473190308,23.448728561401367
Regular Singular,pack,lifters,15.052035331726074,23.317270278930664
Regular Plural,packs,lifters,17.265594482421875,23.73757266998291
Sibilant Singular,rose,gardeners,15.077207565307617,17.800060272216797
Sibilant Plural,roses,gardeners,17.71034860610962,19.461593627929688
Regular Singular,flower,gardeners,14.003457069396973,17.229148864746094
Regular Plural,flowers,gardeners,13.803004264831543,18.551593780517578
Sibilant Singular,bruise,healer,23.837098598480225,19.460699558258057
Sibilant Plural,bruises,healer,24.106468677520752,20.492939949035645
Regular Singular,sore,healer,17.217511653900146,18.917290210723877
Regular Plural,sores,healer,19.19360589981079,19.895572662353516
Sibilant Singular,rise,addict,14.107650756835938,17.01610565185547
Sibilant Plural,rises,addict,13.406740188598633,16.87069034576416
Regular Singular,drop,addict,15.384974479675293,15.75278377532959
Regular Plural,drops,addict,14.003515005111694,16.64628505706787
