Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,16.24383306503296,17.623876094818115
Sibilant Plural,blazes,protector,16.31913709640503,19.810922145843506
Regular Singular,spark,protector,13.72197151184082,16.326009273529053
Regular Plural,sparks,protector,14.418065071105957,18.914144039154053
Sibilant Singular,breeze,protector,13.036568641662598,22.05461311340332
Sibilant Plural,breezes,protector,17.027411460876465,18.981674671173096
Regular Singular,storm,protector,10.818289756774902,15.031596183776855
Regular Plural,storms,protector,13.042839527130127,18.512330055236816
Sibilant Singular,tax,receivers,11.470580101013184,13.002151250839233
Sibilant Plural,taxes,receivers,13.59192943572998,14.884449481964111
Regular Singular,toll,receivers,13.598447799682617,13.852070093154907
Regular Plural,tolls,receivers,16.50864267349243,14.15305757522583
Sibilant Singular,sex,disparities,11.91862678527832,23.709824085235596
Sibilant Plural,sexes,disparities,15.176024436950684,24.74443292617798
Regular Singular,gender,disparities,13.83614206314087,20.789958477020264
Regular Plural,genders,disparities,16.539498805999756,29.733179092407227
Sibilant Singular,vase,maker,17.693998336791992,11.46754002571106
Sibilant Plural,vases,maker,18.339807510375977,12.895673751831055
Regular Singular,pot,maker,10.50516414642334,11.530151844024658
Regular Plural,pots,maker,12.807734489440918,12.018871784210205
Sibilant Singular,hoax,victims,21.83201789855957,10.489750862121582
Sibilant Plural,hoaxes,victims,25.71484088897705,13.566160202026367
Regular Singular,joke,victims,11.825044631958008,12.432496070861816
Regular Plural,jokes,victims,14.559697151184082,14.261395454406738
Sibilant Singular,phase,classifier,13.434731483459473,25.717835426330566
Sibilant Plural,phases,classifier,15.326295971870422,19.78553295135498
Regular Singular,step,classifier,11.129590034484863,29.412745475769043
Regular Plural,steps,classifier,11.52376937866211,24.878777027130127
Sibilant Singular,hose,installer,15.019145965576172,25.351305961608887
Sibilant Plural,hoses,installer,17.757561206817627,25.956902503967285
Regular Singular,pipe,installer,12.671832084655762,21.890850067138672
Regular Plural,pipes,installer,13.551827669143677,21.534850120544434
Sibilant Singular,fox,chaser,11.721199035644531,15.181477069854736
Sibilant Plural,foxes,chaser,13.203583717346191,18.351569175720215
Regular Singular,wolf,chaser,13.336980819702148,13.800857782363892
Regular Plural,wolves,chaser,14.852593898773193,17.876052856445312
Sibilant Singular,mix,winner,12.53763198852539,13.767938613891602
Sibilant Plural,mixes,winner,16.343504905700684,14.339744567871094
Regular Singular,blend,winner,14.747220516204834,11.637836456298828
Regular Plural,blends,winner,18.34455919265747,13.880023956298828
Sibilant Singular,nose,rashes,11.122496604919434,16.41683578491211
Sibilant Plural,noses,rashes,16.708455085754395,20.344618797302246
Regular Singular,thigh,rashes,14.552846908569336,15.446739196777344
Regular Plural,thighs,rashes,15.915589332580566,17.014989852905273
Sibilant Singular,cause,evaluators,9.911373138427734,20.271479606628418
Sibilant Plural,causes,evaluators,13.139684677124023,20.5562162399292
Regular Singular,loss,evaluators,10.88073444366455,19.59616470336914
Regular Plural,losses,evaluators,13.930726528167725,20.47542095184326
Sibilant Singular,gaze,detector,12.5579195022583,19.06899642944336
Sibilant Plural,gazes,detector,14.857637166976929,17.291128873825073
Regular Singular,stare,detector,13.32780933380127,16.36084747314453
Regular Plural,stares,detector,13.381322860717773,18.46429443359375
Sibilant Singular,clause,finder,15.779451370239258,19.87752056121826
Sibilant Plural,clauses,finder,16.16878032684326,21.276846885681152
Regular Singular,article,finder,13.51933479309082,19.331767082214355
Regular Plural,articles,finder,13.0419921875,23.335640907287598
Sibilant Singular,maze,decoder,15.038983345031738,18.01508402824402
Sibilant Plural,mazes,decoder,15.645887017250061,16.89837884902954
Regular Singular,web,decoder,12.834071159362793,11.931214332580566
Regular Plural,webs,decoder,17.681365966796875,14.951720714569092
Sibilant Singular,quiz,expert,14.296585321426392,12.364768028259277
Sibilant Plural,quizzes,expert,13.945751428604126,15.186233520507812
Regular Singular,puzzle,expert,11.390022277832031,13.919988632202148
Regular Plural,puzzles,expert,14.613016128540039,15.722293853759766
Sibilant Singular,fax,man,15.438249111175537,9.874185562133789
Sibilant Plural,faxes,man,15.516531229019165,10.211570739746094
Regular Singular,copy,man,12.213574409484863,9.940020561218262
Regular Plural,copies,man,13.03210163116455,12.144951820373535
Sibilant Singular,size,device,12.94601058959961,13.107926368713379
Sibilant Plural,sizes,device,14.026586532592773,12.685030937194824
Regular Singular,shape,device,12.16454792022705,14.366543769836426
Regular Plural,shapes,device,13.033474922180176,15.26181697845459
Sibilant Singular,praise,getter,12.224827766418457,23.488012313842773
Sibilant Plural,praises,getter,14.40345573425293,22.842856407165527
Regular Singular,compliment,getter,13.37501335144043,22.488651275634766
Regular Plural,compliments,getter,14.478621006011963,22.33439826965332
Sibilant Singular,prize,recipient,11.418512344360352,14.661510825157166
Sibilant Plural,prizes,recipient,13.341649055480957,16.55607545375824
Regular Singular,award,recipient,13.285076141357422,13.3299560546875
Regular Plural,awards,recipient,13.27013874053955,14.185498118400574
Sibilant Singular,box,lifters,9.688462257385254,26.679845809936523
Sibilant Plural,boxes,lifters,11.885546684265137,27.629196166992188
Regular Singular,pack,lifters,11.527899742126465,26.6008939743042
Regular Plural,packs,lifters,14.480294942855835,26.62410545349121
Sibilant Singular,rose,gardeners,11.243947982788086,14.0936861038208
Sibilant Plural,roses,gardeners,14.128915786743164,13.221360683441162
Regular Singular,flower,gardeners,11.688478469848633,9.222181797027588
Regular Plural,flowers,gardeners,11.980988502502441,14.78160572052002
Sibilant Singular,bruise,healer,14.257702350616455,22.05782175064087
Sibilant Plural,bruises,healer,13.838930130004883,22.120269775390625
Regular Singular,sore,healer,11.44333267211914,19.708560466766357
Regular Plural,sores,healer,18.17149543762207,18.919009685516357
Sibilant Singular,rise,addict,11.827301025390625,16.470702171325684
Sibilant Plural,rises,addict,15.37622356414795,15.95258903503418
Regular Singular,drop,addict,10.882774353027344,16.67642307281494
Regular Plural,drops,addict,13.16408634185791,14.071101188659668
