Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.555178880691528,14.757660865783691
Sibilant Plural,blazes,protector,16.69296360015869,16.893022537231445
Regular Singular,spark,protector,13.308235168457031,14.532267093658447
Regular Plural,sparks,protector,14.151660680770874,16.170175552368164
Sibilant Singular,breeze,protector,13.733696937561035,18.602692127227783
Sibilant Plural,breezes,protector,14.323986291885376,15.232175827026367
Regular Singular,storm,protector,11.734920501708984,15.50263786315918
Regular Plural,storms,protector,14.739095449447632,17.651429176330566
Sibilant Singular,tax,receivers,11.672246932983398,12.786875247955322
Sibilant Plural,taxes,receivers,12.904915809631348,17.0078604221344
Regular Singular,toll,receivers,14.154026985168457,14.323341131210327
Regular Plural,tolls,receivers,16.126774311065674,14.92425799369812
Sibilant Singular,sex,disparities,11.999951362609863,22.54229164123535
Sibilant Plural,sexes,disparities,15.339794635772705,22.818556785583496
Regular Singular,gender,disparities,14.071212530136108,21.249362468719482
Regular Plural,genders,disparities,19.34748649597168,26.652993202209473
Sibilant Singular,vase,maker,14.691736221313477,11.183959007263184
Sibilant Plural,vases,maker,15.500174045562744,12.331784725189209
Regular Singular,pot,maker,11.520132064819336,13.749022483825684
Regular Plural,pots,maker,12.614058494567871,14.575261116027832
Sibilant Singular,hoax,victims,25.830601692199707,12.733993530273438
Sibilant Plural,hoaxes,victims,30.497807502746582,12.430671691894531
Regular Singular,joke,victims,12.221095085144043,12.701493263244629
Regular Plural,jokes,victims,13.784599304199219,12.799518585205078
Sibilant Singular,phase,classifier,13.016035079956055,20.752963542938232
Sibilant Plural,phases,classifier,15.676524639129639,21.097567796707153
Regular Singular,step,classifier,9.861985206604004,21.978217124938965
Regular Plural,steps,classifier,10.78641414642334,22.631770372390747
Sibilant Singular,hose,installer,14.029889583587646,22.810731887817383
Sibilant Plural,hoses,installer,17.64704704284668,22.8643741607666
Regular Singular,pipe,installer,12.020160675048828,21.802041053771973
Regular Plural,pipes,installer,14.090543270111084,22.82625675201416
Sibilant Singular,fox,chaser,11.639019012451172,15.780728816986084
Sibilant Plural,foxes,chaser,15.012064695358276,18.89704656600952
Regular Singular,wolf,chaser,11.918957710266113,18.286107063293457
Regular Plural,wolves,chaser,13.99730670452118,19.029558658599854
Sibilant Singular,mix,winner,11.454302787780762,13.268250465393066
Sibilant Plural,mixes,winner,16.38776969909668,14.548426628112793
Regular Singular,blend,winner,14.660197019577026,12.81994915008545
Regular Plural,blends,winner,16.4517240524292,13.470426559448242
Sibilant Singular,nose,rashes,11.595938682556152,14.834214210510254
Sibilant Plural,noses,rashes,16.419387340545654,18.111674308776855
Regular Singular,thigh,rashes,13.956196546554565,16.37962245941162
Regular Plural,thighs,rashes,16.49561309814453,16.818678855895996
Sibilant Singular,cause,evaluators,10.424360275268555,20.819817066192627
Sibilant Plural,causes,evaluators,12.257073402404785,19.554452896118164
Regular Singular,loss,evaluators,10.706056594848633,20.319381713867188
Regular Plural,losses,evaluators,13.285338878631592,20.58721160888672
Sibilant Singular,gaze,detector,12.911683082580566,17.391682624816895
Sibilant Plural,gazes,detector,17.587860345840454,14.763941764831543
Regular Singular,stare,detector,12.477295875549316,17.711544513702393
Regular Plural,stares,detector,14.205071449279785,17.31075143814087
Sibilant Singular,clause,finder,13.629965782165527,19.710132598876953
Sibilant Plural,clauses,finder,14.321409702301025,20.268171310424805
Regular Singular,article,finder,12.55652141571045,16.735310554504395
Regular Plural,articles,finder,12.576918601989746,20.77317714691162
Sibilant Singular,maze,decoder,14.487071990966797,18.770992517471313
Sibilant Plural,mazes,decoder,18.71638536453247,18.853636264801025
Regular Singular,web,decoder,13.801340103149414,15.400490760803223
Regular Plural,webs,decoder,18.533096313476562,19.42443561553955
Sibilant Singular,quiz,expert,15.263887405395508,11.93784236907959
Sibilant Plural,quizzes,expert,19.639058589935303,13.878623008728027
Regular Singular,puzzle,expert,11.974328994750977,14.206663131713867
Regular Plural,puzzles,expert,14.653311729431152,13.329168319702148
Sibilant Singular,fax,man,14.148072242736816,7.2092132568359375
Sibilant Plural,faxes,man,15.696107387542725,8.875656127929688
Regular Singular,copy,man,11.331884384155273,9.225358009338379
Regular Plural,copies,man,13.155532836914062,11.789970397949219
