Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,11.436628341674805,10.19892406463623
Sibilant Plural,blazes,protector,11.643568515777588,9.105103492736816
Regular Singular,spark,protector,10.048446655273438,9.213281631469727
Regular Plural,sparks,protector,13.850533485412598,8.964923858642578
Sibilant Singular,breeze,protector,8.327999114990234,5.706713676452637
Sibilant Plural,breezes,protector,12.390403985977173,5.042900085449219
Regular Singular,storm,protector,6.147693634033203,5.270017623901367
Regular Plural,storms,protector,16.07976531982422,4.7606964111328125
Sibilant Singular,tax,receivers,5.019776344299316,9.964966773986816
Sibilant Plural,taxes,receivers,6.983583450317383,13.62453556060791
Regular Singular,toll,receivers,13.439894676208496,13.371047019958496
Regular Plural,tolls,receivers,15.545478343963623,11.99222469329834
Sibilant Singular,sex,disparities,4.736617088317871,7.553883075714111
Sibilant Plural,sexes,disparities,14.871906280517578,6.808151721954346
Regular Singular,gender,disparities,4.596949577331543,6.32825231552124
Regular Plural,genders,disparities,14.708762168884277,5.636494159698486
Sibilant Singular,vase,maker,11.681305646896362,0.43372005224227905
Sibilant Plural,vases,maker,19.268556594848633,2.3986644744873047
Regular Singular,pot,maker,2.7449419498443604,1.3108694553375244
Regular Plural,pots,maker,8.457662582397461,1.6886680126190186
Sibilant Singular,hoax,victims,16.68564224243164,4.744324684143066
Sibilant Plural,hoaxes,victims,18.74467420578003,7.913082122802734
Regular Singular,joke,victims,12.015026092529297,6.398306846618652
Regular Plural,jokes,victims,17.477476119995117,7.977237701416016
Sibilant Singular,phase,classifier,9.977455139160156,9.7895667552948
Sibilant Plural,phases,classifier,14.187289237976074,11.190122604370117
Regular Singular,step,classifier,12.767738342285156,12.070693969726562
Regular Plural,steps,classifier,15.491399765014648,11.6712064743042
Sibilant Singular,hose,installer,9.98531436920166,6.136903762817383
Sibilant Plural,hoses,installer,10.912742614746094,6.2757487297058105
Regular Singular,pipe,installer,9.27242374420166,7.5150980949401855
Regular Plural,pipes,installer,10.408737182617188,7.146261215209961
Sibilant Singular,fox,chaser,7.625237464904785,6.8816118240356445
Sibilant Plural,foxes,chaser,15.052318572998047,6.4233198165893555
Regular Singular,wolf,chaser,6.367775917053223,6.658905029296875
Regular Plural,wolves,chaser,11.502357482910156,5.596202373504639
Sibilant Singular,mix,winner,8.280294418334961,11.094331741333008
