Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,11.762977600097656,4.061851978302002
Sibilant Plural,blazes,protector,15.539691925048828,3.345374345779419
Regular Singular,spark,protector,11.423096656799316,4.164531707763672
Regular Plural,sparks,protector,14.969146728515625,4.833763122558594
Sibilant Singular,breeze,protector,8.811738967895508,7.233068466186523
Sibilant Plural,breezes,protector,15.527581691741943,5.977715015411377
Regular Singular,storm,protector,7.2805070877075195,6.920228481292725
Regular Plural,storms,protector,17.360992431640625,6.308315277099609
Sibilant Singular,tax,receivers,4.754897117614746,7.089273929595947
Sibilant Plural,taxes,receivers,8.316205024719238,6.983729362487793
Regular Singular,toll,receivers,14.396598815917969,9.593209266662598
Regular Plural,tolls,receivers,18.97514247894287,9.41349983215332
Sibilant Singular,sex,disparities,2.2435877323150635,7.561500549316406
Sibilant Plural,sexes,disparities,11.144196510314941,10.358609199523926
Regular Singular,gender,disparities,2.968543291091919,6.6306233406066895
Regular Plural,genders,disparities,11.154337882995605,9.346384048461914
Sibilant Singular,vase,maker,8.481829285621643,0.799480676651001
Sibilant Plural,vases,maker,12.99919319152832,1.0920978784561157
Regular Singular,pot,maker,3.823047399520874,1.4027812480926514
Regular Plural,pots,maker,9.985908508300781,3.9200687408447266
Sibilant Singular,hoax,victims,16.842958450317383,2.1838159561157227
Sibilant Plural,hoaxes,victims,20.340518474578857,4.405261039733887
Regular Singular,joke,victims,13.978714942932129,5.000145435333252
Regular Plural,jokes,victims,19.409168243408203,6.560937404632568
Sibilant Singular,phase,classifier,12.131461143493652,7.922393083572388
Sibilant Plural,phases,classifier,13.61325454711914,10.695947170257568
Regular Singular,step,classifier,13.284133911132812,10.478918075561523
Regular Plural,steps,classifier,14.52383041381836,11.213940143585205
Sibilant Singular,hose,installer,5.2069573402404785,2.791029214859009
Sibilant Plural,hoses,installer,6.4547314047813416,5.064846038818359
Regular Singular,pipe,installer,8.185876846313477,4.820269584655762
Regular Plural,pipes,installer,8.758315086364746,6.619349479675293
Sibilant Singular,fox,chaser,8.936189651489258,6.503085613250732
Sibilant Plural,foxes,chaser,13.79417610168457,7.112836837768555
Regular Singular,wolf,chaser,5.295302391052246,5.9208128452301025
Regular Plural,wolves,chaser,12.12773609161377,5.522430419921875
Sibilant Singular,mix,winner,8.256804466247559,14.237171173095703
Sibilant Plural,mixes,winner,12.066665649414062,15.196468353271484
Regular Singular,blend,winner,7.514248847961426,13.67074966430664
Regular Plural,blends,winner,10.842310905456543,14.939409255981445
Sibilant Singular,nose,rashes,7.898202896118164,6.354208946228027
Sibilant Plural,noses,rashes,12.574670791625977,8.160829097032547
Regular Singular,thigh,rashes,8.554418563842773,1.0602842569351196
Regular Plural,thighs,rashes,10.884261131286621,6.020520925521851
Sibilant Singular,cause,evaluators,11.192571640014648,12.333283305168152
Sibilant Plural,causes,evaluators,12.992982864379883,13.116527318954468
Regular Singular,loss,evaluators,10.959665298461914,8.589206576347351
Regular Plural,losses,evaluators,14.225141525268555,10.696259498596191
Sibilant Singular,gaze,detector,9.082762718200684,7.6522369384765625
Sibilant Plural,gazes,detector,13.418786525726318,4.9140729904174805
Regular Singular,stare,detector,10.236923217773438,3.7831974029541016
Regular Plural,stares,detector,12.544206619262695,5.875494956970215
Sibilant Singular,clause,finder,11.502044677734375,4.0208821296691895
Sibilant Plural,clauses,finder,12.875541687011719,5.842283248901367
Regular Singular,article,finder,7.602064609527588,4.483154773712158
Regular Plural,articles,finder,9.083721160888672,5.90070652961731
Sibilant Singular,maze,decoder,10.051450729370117,3.7536780834198
Sibilant Plural,mazes,decoder,7.766863822937012,6.148342847824097
Regular Singular,web,decoder,11.362852096557617,6.6206700801849365
Regular Plural,webs,decoder,15.305537223815918,8.169528365135193
Sibilant Singular,quiz,expert,7.984643459320068,5.345559120178223
Sibilant Plural,quizzes,expert,15.526284217834473,3.9298763275146484
Regular Singular,puzzle,expert,4.568558216094971,2.826314926147461
Regular Plural,puzzles,expert,8.106955528259277,2.894692897796631
Sibilant Singular,fax,man,2.9072022438049316,2.5064449310302734
Sibilant Plural,faxes,man,10.961323499679565,1.5103257894515991
Regular Singular,copy,man,8.42530345916748,2.5654444694519043
Regular Plural,copies,man,12.913337707519531,0.7942783832550049
Sibilant Singular,size,device,9.869568824768066,7.896209239959717
Sibilant Plural,sizes,device,14.596576690673828,5.914698600769043
Regular Singular,shape,device,6.988437652587891,6.943550109863281
Regular Plural,shapes,device,9.830368041992188,5.334023952484131
Sibilant Singular,praise,getter,12.077488899230957,8.726903200149536
Sibilant Plural,praises,getter,12.819184303283691,8.585468769073486
Regular Singular,compliment,getter,13.833846092224121,8.811822891235352
Regular Plural,compliments,getter,12.780660629272461,9.449363231658936
Sibilant Singular,prize,recipient,9.036672592163086,3.475827693939209
Sibilant Plural,prizes,recipient,9.746753692626953,4.608731269836426
Regular Singular,award,recipient,9.53919792175293,2.0917654037475586
Regular Plural,awards,recipient,9.175013542175293,3.550030469894409
Sibilant Singular,box,lifters,5.853553771972656,1.9745279550552368
Sibilant Plural,boxes,lifters,3.641211986541748,12.694761514663696
Regular Singular,pack,lifters,10.187227249145508,5.87237548828125
Regular Plural,packs,lifters,6.686197757720947,13.883957743644714
Sibilant Singular,rose,gardeners,3.9039974212646484,2.944765642285347
Sibilant Plural,roses,gardeners,3.0930540561676025,4.484093219041824
