Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,22.688552379608154,14.00240159034729
Sibilant Plural,blazes,protector,25.28340482711792,14.55731201171875
Regular Singular,spark,protector,17.80034589767456,13.429472923278809
Regular Plural,sparks,protector,24.726412773132324,14.963205337524414
Sibilant Singular,breeze,protector,24.20594835281372,13.632628440856934
Sibilant Plural,breezes,protector,26.129541873931885,15.143671035766602
Regular Singular,storm,protector,15.385830879211426,14.896423816680908
Regular Plural,storms,protector,20.196013927459717,15.222355842590332
Sibilant Singular,tax,receivers,18.323381900787354,15.913368225097656
Sibilant Plural,taxes,receivers,23.22574281692505,15.581151962280273
Regular Singular,toll,receivers,17.704232215881348,15.800238609313965
Regular Plural,tolls,receivers,20.46834373474121,17.216227531433105
Sibilant Singular,sex,disparities,16.693275451660156,18.525540828704834
Sibilant Plural,sexes,disparities,22.43818426132202,17.720877170562744
Regular Singular,gender,disparities,15.387675285339355,17.7058367729187
Regular Plural,genders,disparities,20.3059241771698,18.460477352142334
Sibilant Singular,vase,maker,20.636110305786133,10.653939247131348
Sibilant Plural,vases,maker,20.0869722366333,12.866853713989258
Regular Singular,pot,maker,14.145075798034668,12.05756664276123
Regular Plural,pots,maker,19.958552360534668,12.50913143157959
Sibilant Singular,hoax,victims,22.425865173339844,11.231191635131836
Sibilant Plural,hoaxes,victims,27.14784860610962,12.73798656463623
Regular Singular,joke,victims,21.066094398498535,11.490808486938477
Regular Plural,jokes,victims,17.99098014831543,11.594942092895508
Sibilant Singular,phase,classifier,18.49116802215576,19.587833404541016
Sibilant Plural,phases,classifier,20.44082999229431,20.711097717285156
Regular Singular,step,classifier,16.635801315307617,19.284421920776367
Regular Plural,steps,classifier,16.099417448043823,20.862356185913086
Sibilant Singular,hose,installer,16.40193462371826,16.698026657104492
Sibilant Plural,hoses,installer,19.94761371612549,17.74339008331299
Regular Singular,pipe,installer,19.15840435028076,16.52647590637207
Regular Plural,pipes,installer,22.102015495300293,18.428650379180908
Sibilant Singular,fox,chaser,15.989532947540283,14.931379795074463
Sibilant Plural,foxes,chaser,20.511372566223145,15.146191596984863
Regular Singular,wolf,chaser,13.03291368484497,14.138242721557617
Regular Plural,wolves,chaser,17.71625804901123,14.65713882446289
Sibilant Singular,mix,winner,18.720529556274414,11.764159202575684
Sibilant Plural,mixes,winner,23.265135765075684,12.381769180297852
Regular Singular,blend,winner,21.479084014892578,11.677021026611328
Regular Plural,blends,winner,24.029239177703857,12.842973709106445
Sibilant Singular,nose,rashes,22.99690055847168,15.8820481300354
Sibilant Plural,noses,rashes,18.27763271331787,16.52644395828247
Regular Singular,thigh,rashes,25.00278091430664,15.561671733856201
Regular Plural,thighs,rashes,28.282583236694336,15.502152919769287
Sibilant Singular,cause,evaluators,19.031526565551758,21.166081428527832
Sibilant Plural,causes,evaluators,19.261713981628418,19.952754974365234
Regular Singular,loss,evaluators,18.40304660797119,20.130868434906006
Regular Plural,losses,evaluators,22.5600004196167,19.7911958694458
Sibilant Singular,gaze,detector,19.160231590270996,12.074334859848022
Sibilant Plural,gazes,detector,21.741111755371094,13.392997026443481
Regular Singular,stare,detector,17.222065925598145,12.019460916519165
Regular Plural,stares,detector,20.086809158325195,12.847563743591309
Sibilant Singular,clause,finder,23.116586685180664,17.39852285385132
Sibilant Plural,clauses,finder,26.11654758453369,16.956921577453613
Regular Singular,article,finder,22.580685138702393,16.117079734802246
Regular Plural,articles,finder,20.988311290740967,15.852605819702148
Sibilant Singular,maze,decoder,21.966118335723877,24.867775917053223
Sibilant Plural,mazes,decoder,24.015216827392578,25.242894172668457
Regular Singular,web,decoder,20.02476692199707,24.74010419845581
Regular Plural,webs,decoder,21.25958251953125,24.27889633178711
Sibilant Singular,quiz,expert,19.45915985107422,11.360424041748047
Sibilant Plural,quizzes,expert,23.49275255203247,13.10787582397461
Regular Singular,puzzle,expert,27.918051719665527,11.598258018493652
Regular Plural,puzzles,expert,29.050268173217773,12.486983299255371
Sibilant Singular,fax,man,17.0748291015625,9.191449165344238
Sibilant Plural,faxes,man,20.23586654663086,10.415633201599121
Regular Singular,copy,man,16.149470329284668,7.572759628295898
Regular Plural,copies,man,20.98948383331299,11.05935287475586
Sibilant Singular,size,device,16.8294358253479,12.239818572998047
Sibilant Plural,sizes,device,18.625826358795166,13.183072090148926
Regular Singular,shape,device,16.63526964187622,11.174673080444336
Regular Plural,shapes,device,18.509565353393555,11.65047836303711
Sibilant Singular,praise,getter,24.24045753479004,17.581985473632812
Sibilant Plural,praises,getter,26.02490997314453,18.769017219543457
Regular Singular,compliment,getter,21.453940391540527,19.231700897216797
Regular Plural,compliments,getter,22.754414558410645,19.236929893493652
Sibilant Singular,prize,recipient,20.58656907081604,14.945707321166992
Sibilant Plural,prizes,recipient,21.45975613594055,13.936548233032227
Regular Singular,award,recipient,18.95795726776123,12.048522472381592
Regular Plural,awards,recipient,17.171542167663574,12.006835460662842
Sibilant Singular,box,lifters,17.23918914794922,20.348106384277344
Sibilant Plural,boxes,lifters,20.054259777069092,20.946681022644043
Regular Singular,pack,lifters,17.344881057739258,22.274030685424805
Regular Plural,packs,lifters,18.46043634414673,21.49904441833496
Sibilant Singular,rose,gardeners,13.389480590820312,14.38126277923584
Sibilant Plural,roses,gardeners,20.69942855834961,15.288596153259277
Regular Singular,flower,gardeners,16.580296993255615,12.143822193145752
Regular Plural,flowers,gardeners,16.54568099975586,15.021039009094238
Sibilant Singular,bruise,healer,21.572399616241455,18.563485145568848
Sibilant Plural,bruises,healer,22.054658889770508,19.869140625
Regular Singular,sore,healer,15.8513765335083,18.426005363464355
Regular Plural,sores,healer,16.542595386505127,19.04628849029541
Sibilant Singular,rise,addict,15.49066972732544,13.665437698364258
Sibilant Plural,rises,addict,22.4560284614563,13.490211009979248
Regular Singular,drop,addict,18.60465717315674,13.720802783966064
Regular Plural,drops,addict,17.207319021224976,14.412856101989746
