Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,16.992825984954834,13.019299983978271
Sibilant Plural,blazes,protector,16.067862510681152,14.783621788024902
Regular Singular,spark,protector,16.83280324935913,11.229409217834473
Regular Plural,sparks,protector,17.17587661743164,13.595348834991455
Sibilant Singular,breeze,protector,15.935685396194458,11.047292232513428
Sibilant Plural,breezes,protector,18.57919430732727,13.204407215118408
Regular Singular,storm,protector,12.209488868713379,13.019936561584473
Regular Plural,storms,protector,13.762564897537231,14.44043779373169
Sibilant Singular,tax,receivers,15.006017923355103,11.317718505859375
Sibilant Plural,taxes,receivers,15.28442668914795,13.790955543518066
Regular Singular,toll,receivers,16.296018362045288,12.412852764129639
Regular Plural,tolls,receivers,17.719858407974243,15.30740237236023
Sibilant Singular,sex,disparities,12.902129650115967,16.482681035995483
Sibilant Plural,sexes,disparities,16.461386919021606,16.01251745223999
Regular Singular,gender,disparities,14.367152214050293,15.859172821044922
Regular Plural,genders,disparities,17.946123123168945,16.234150648117065
Sibilant Singular,vase,maker,13.447251319885254,9.5946204662323
Sibilant Plural,vases,maker,14.783723592758179,12.696496486663818
Regular Singular,pot,maker,13.607762336730957,8.944536685943604
Regular Plural,pots,maker,14.181994915008545,13.98288631439209
Sibilant Singular,hoax,victims,17.49942922592163,11.028270244598389
Sibilant Plural,hoaxes,victims,19.48608160018921,10.965879440307617
Regular Singular,joke,victims,15.271610975265503,12.408946990966797
Regular Plural,jokes,victims,17.257232904434204,13.657063245773315
Sibilant Singular,phase,classifier,14.206355810165405,13.753495693206787
Sibilant Plural,phases,classifier,15.925053358078003,17.48901104927063
Regular Singular,step,classifier,13.544559955596924,14.605651378631592
Regular Plural,steps,classifier,14.842656135559082,17.423084259033203
Sibilant Singular,hose,installer,11.420844554901123,18.957606554031372
Sibilant Plural,hoses,installer,16.97986078262329,18.990219593048096
Regular Singular,pipe,installer,14.449400424957275,16.342166423797607
Regular Plural,pipes,installer,16.67052912712097,18.36790108680725
Sibilant Singular,fox,chaser,12.953625679016113,14.66725492477417
Sibilant Plural,foxes,chaser,14.658624410629272,18.333464860916138
Regular Singular,wolf,chaser,13.129465579986572,13.541858673095703
Regular Plural,wolves,chaser,16.361069202423096,16.568994760513306
Sibilant Singular,mix,winner,12.608820676803589,14.708431720733643
Sibilant Plural,mixes,winner,13.941296339035034,14.040447473526001
Regular Singular,blend,winner,16.3561692237854,15.073143720626831
Regular Plural,blends,winner,19.107213258743286,13.280627250671387
