Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,15.63180160522461,14.09038496017456
Sibilant Plural,blazes,protector,17.03486466407776,15.743215560913086
Regular Singular,spark,protector,15.21684193611145,12.790689945220947
Regular Plural,sparks,protector,14.594524621963501,13.804919719696045
Sibilant Singular,breeze,protector,14.630706310272217,14.755556106567383
Sibilant Plural,breezes,protector,16.536560773849487,14.189290523529053
Regular Singular,storm,protector,11.50826644897461,11.62236213684082
Regular Plural,storms,protector,13.05330204963684,14.429357528686523
Sibilant Singular,tax,receivers,12.268853425979614,12.413203239440918
Sibilant Plural,taxes,receivers,14.467520713806152,13.596015453338623
Regular Singular,toll,receivers,12.178905725479126,11.8961501121521
Regular Plural,tolls,receivers,14.53494143486023,11.933467388153076
Sibilant Singular,sex,disparities,12.844211339950562,16.092770099639893
Sibilant Plural,sexes,disparities,17.38298511505127,14.104660987854004
Regular Singular,gender,disparities,14.232180118560791,13.97869873046875
Regular Plural,genders,disparities,19.18880033493042,16.435091257095337
Sibilant Singular,vase,maker,14.4200439453125,9.26316499710083
Sibilant Plural,vases,maker,17.360962390899658,12.210008382797241
Regular Singular,pot,maker,13.211798191070557,9.801254987716675
Regular Plural,pots,maker,13.51450800895691,10.796319723129272
Sibilant Singular,hoax,victims,18.35240650177002,11.132524013519287
Sibilant Plural,hoaxes,victims,21.0701322555542,10.895201206207275
Regular Singular,joke,victims,15.065775632858276,13.51167631149292
Regular Plural,jokes,victims,14.639536380767822,13.485566139221191
Sibilant Singular,phase,classifier,14.701091766357422,0.0
Sibilant Plural,phases,classifier,15.46881628036499,0.0
Regular Singular,step,classifier,10.672400951385498,0.0
Regular Plural,steps,classifier,11.501880168914795,0.0
Sibilant Singular,hose,installer,16.114755153656006,16.252342224121094
Sibilant Plural,hoses,installer,16.883105754852295,16.541934490203857
Regular Singular,pipe,installer,13.334592819213867,15.67206358909607
Regular Plural,pipes,installer,13.332327842712402,15.638701915740967
Sibilant Singular,fox,chaser,11.610004186630249,13.108820915222168
Sibilant Plural,foxes,chaser,13.24260687828064,12.218297004699707
Regular Singular,wolf,chaser,16.814008235931396,12.821560859680176
Regular Plural,wolves,chaser,16.81643772125244,12.778382778167725
Sibilant Singular,mix,winner,12.178870439529419,16.744418144226074
Sibilant Plural,mixes,winner,15.743393659591675,15.694587707519531
Regular Singular,blend,winner,16.322360277175903,10.94589376449585
Regular Plural,blends,winner,17.48041033744812,11.469516515731812
Sibilant Singular,nose,rashes,9.980504035949707,14.310818195343018
Sibilant Plural,noses,rashes,12.923750877380371,15.778761863708496
Regular Singular,thigh,rashes,17.337878227233887,15.607896327972412
Regular Plural,thighs,rashes,17.08933734893799,14.584592342376709
Sibilant Singular,cause,evaluators,10.297548294067383,0.0
Sibilant Plural,causes,evaluators,15.29042911529541,0.0
Regular Singular,loss,evaluators,13.681792497634888,0.0
Regular Plural,losses,evaluators,15.86436676979065,0.0
Sibilant Singular,gaze,detector,13.597850322723389,13.634896516799927
Sibilant Plural,gazes,detector,15.751867294311523,19.107011079788208
Regular Singular,stare,detector,14.062084197998047,12.407164335250854
Regular Plural,stares,detector,12.00001859664917,15.488487720489502
Sibilant Singular,clause,finder,14.168178081512451,15.056243896484375
Sibilant Plural,clauses,finder,16.06107234954834,15.475935697555542
Regular Singular,article,finder,12.119228601455688,14.5309157371521
Regular Plural,articles,finder,11.822212934494019,18.024592876434326
Sibilant Singular,maze,decoder,13.993125915527344,14.11585807800293
Sibilant Plural,mazes,decoder,15.99524188041687,15.247182130813599
Regular Singular,web,decoder,14.086162567138672,17.48423409461975
Regular Plural,webs,decoder,17.72996759414673,15.395195245742798
Sibilant Singular,quiz,expert,15.028740644454956,12.130897045135498
Sibilant Plural,quizzes,expert,15.974168062210083,12.984219551086426
Regular Singular,puzzle,expert,14.330257892608643,11.847657203674316
Regular Plural,puzzles,expert,13.952917575836182,12.873858451843262
Sibilant Singular,fax,man,16.17513084411621,7.264294147491455
Sibilant Plural,faxes,man,17.48460865020752,7.280583620071411
Regular Singular,copy,man,13.186230421066284,9.658031463623047
Regular Plural,copies,man,14.775991201400757,8.600153923034668
Sibilant Singular,size,device,10.447047710418701,11.822793960571289
Sibilant Plural,sizes,device,13.848445415496826,11.346164226531982
Regular Singular,shape,device,13.89717149734497,12.758018016815186
Regular Plural,shapes,device,13.661827564239502,14.136486530303955
Sibilant Singular,praise,getter,12.992968797683716,19.21373748779297
Sibilant Plural,praises,getter,15.704611539840698,15.622820377349854
Regular Singular,compliment,getter,17.83682131767273,15.790297985076904
Regular Plural,compliments,getter,15.837682962417603,16.291712760925293
Sibilant Singular,prize,recipient,12.794159889221191,12.353122234344482
Sibilant Plural,prizes,recipient,13.61450457572937,14.52663516998291
Regular Singular,award,recipient,14.652163982391357,11.956946849822998
Regular Plural,awards,recipient,13.320850610733032,11.825190544128418
Sibilant Singular,box,lifters,13.102705240249634,15.795636415481567
Sibilant Plural,boxes,lifters,14.074230432510376,14.533154487609863
Regular Singular,pack,lifters,12.783867359161377,17.66433811187744
Regular Plural,packs,lifters,15.367342472076416,12.483435153961182
Sibilant Singular,rose,gardeners,9.223390340805054,12.604224443435669
