Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,15.98801040649414,9.677696228027344
Sibilant Plural,blazes,protector,18.833975791931152,13.006424903869629
Regular Singular,spark,protector,15.948429107666016,11.53737735748291
Regular Plural,sparks,protector,18.919347286224365,11.310511589050293
Sibilant Singular,breeze,protector,17.579734802246094,10.308585166931152
Sibilant Plural,breezes,protector,20.055511474609375,11.698173522949219
Regular Singular,storm,protector,14.473516464233398,9.655683517456055
Regular Plural,storms,protector,16.151395797729492,13.461750984191895
Sibilant Singular,tax,receivers,14.263057708740234,11.009132385253906
Sibilant Plural,taxes,receivers,16.768075942993164,12.806215286254883
Regular Singular,toll,receivers,16.86340856552124,8.248174667358398
Regular Plural,tolls,receivers,20.62240171432495,12.170687675476074
Sibilant Singular,sex,disparities,12.640335083007812,12.758548736572266
Sibilant Plural,sexes,disparities,19.509611129760742,12.018319129943848
Regular Singular,gender,disparities,14.228063583374023,7.445019721984863
Regular Plural,genders,disparities,17.748916625976562,12.288166046142578
Sibilant Singular,vase,maker,17.041654586791992,7.526710510253906
Sibilant Plural,vases,maker,17.910300254821777,10.681741714477539
Regular Singular,pot,maker,14.092435836791992,9.561870574951172
Regular Plural,pots,maker,14.911463737487793,11.822813034057617
Sibilant Singular,hoax,victims,19.549800872802734,7.775861740112305
Sibilant Plural,hoaxes,victims,22.47629451751709,10.919304847717285
Regular Singular,joke,victims,15.105831623077393,10.816553115844727
Regular Plural,jokes,victims,16.42440938949585,13.051321029663086
Sibilant Singular,phase,classifier,13.151723861694336,11.84633731842041
Sibilant Plural,phases,classifier,16.06983184814453,12.234478950500488
Regular Singular,step,classifier,13.304620742797852,10.830454349517822
Regular Plural,steps,classifier,14.67635726928711,13.22260332107544
Sibilant Singular,hose,installer,15.342004299163818,9.608295440673828
Sibilant Plural,hoses,installer,17.580265045166016,11.954484939575195
Regular Singular,pipe,installer,15.779691696166992,9.972188949584961
Regular Plural,pipes,installer,16.716962814331055,10.97124195098877
Sibilant Singular,fox,chaser,14.27295970916748,12.287611484527588
Sibilant Plural,foxes,chaser,18.523464679718018,13.279341697692871
Regular Singular,wolf,chaser,14.184813499450684,10.039748430252075
Regular Plural,wolves,chaser,15.387322425842285,12.010052680969238
Sibilant Singular,mix,winner,15.108108520507812,13.19774055480957
Sibilant Plural,mixes,winner,19.955012321472168,12.612445831298828
Regular Singular,blend,winner,17.180991172790527,12.803359031677246
Regular Plural,blends,winner,17.14138698577881,13.92750358581543
Sibilant Singular,nose,rashes,15.874264240264893,13.99055290222168
Sibilant Plural,noses,rashes,18.64482021331787,13.237739562988281
Regular Singular,thigh,rashes,14.999133586883545,13.25371503829956
Regular Plural,thighs,rashes,17.395886421203613,13.334122657775879
Sibilant Singular,cause,evaluators,12.671090126037598,15.256203174591064
Sibilant Plural,causes,evaluators,15.660373449325562,19.268166065216064
Regular Singular,loss,evaluators,14.093289375305176,14.588505029678345
Regular Plural,losses,evaluators,17.832808017730713,16.865002632141113
Sibilant Singular,gaze,detector,17.233574867248535,9.458273887634277
Sibilant Plural,gazes,detector,21.000898361206055,15.090534210205078
Regular Singular,stare,detector,18.062796592712402,10.90695858001709
Regular Plural,stares,detector,19.79662799835205,12.739595413208008
Sibilant Singular,clause,finder,17.13927459716797,11.182989597320557
Sibilant Plural,clauses,finder,17.86162495613098,14.45018196105957
Regular Singular,article,finder,13.383501052856445,14.202701568603516
Regular Plural,articles,finder,13.705421447753906,14.194056749343872
Sibilant Singular,maze,decoder,16.62708568572998,10.0979905128479
Sibilant Plural,mazes,decoder,19.079421997070312,13.611815452575684
Regular Singular,web,decoder,13.172410011291504,11.889293193817139
Regular Plural,webs,decoder,17.09040880203247,13.128021478652954
Sibilant Singular,quiz,expert,15.932344436645508,9.973284721374512
Sibilant Plural,quizzes,expert,19.274354934692383,10.35120677947998
Regular Singular,puzzle,expert,14.973721981048584,9.624845504760742
Regular Plural,puzzles,expert,18.065160751342773,10.443307876586914
Sibilant Singular,fax,man,15.90491771697998,9.151618957519531
Sibilant Plural,faxes,man,19.431553840637207,11.00990104675293
Regular Singular,copy,man,14.162940979003906,10.95030403137207
Regular Plural,copies,man,16.68145751953125,11.398222923278809
Sibilant Singular,size,device,12.557947158813477,9.055886268615723
Sibilant Plural,sizes,device,15.909836292266846,10.695733070373535
Regular Singular,shape,device,14.203601837158203,11.390154838562012
Regular Plural,shapes,device,16.371174335479736,10.54110336303711
Sibilant Singular,praise,getter,16.378722667694092,12.930252313613892
Sibilant Plural,praises,getter,18.82478380203247,14.6179838180542
Regular Singular,compliment,getter,18.479544162750244,13.794341087341309
