Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,12.366905450820923,11.184123516082764
Sibilant Plural,hoses,collector,15.816201210021973,13.39050841331482
Regular Singular,hoe,collector,9.843758583068848,14.656318187713623
Regular Plural,hoes,collector,12.366905450820923,11.184123516082764
Sibilant Singular,rose,organizer,10.217034816741943,16.264446258544922
Sibilant Plural,roses,organizer,12.456234455108643,15.790615558624268
Regular Singular,row,organizer,11.65610408782959,15.009202718734741
Regular Plural,rows,organizer,10.217034816741943,16.264446258544922
Sibilant Singular,rise,addict,11.930841445922852,14.637981653213501
Sibilant Plural,rises,addict,14.03750228881836,17.174429655075073
Regular Singular,lie,addict,10.475289344787598,15.611088275909424
Regular Plural,lies,addict,10.964570045471191,14.213942766189575
Sibilant Singular,clause,hider,12.953106164932251,17.40205955505371
Sibilant Plural,clauses,hider,17.083598852157593,19.07625985145569
Regular Singular,claw,hider,13.490686655044556,14.745611429214478
Regular Plural,claws,hider,12.953106164932251,17.40205955505371
Sibilant Singular,gaze,attractor,13.452573776245117,20.10280728340149
Sibilant Plural,gazes,attractor,15.149399518966675,21.995243310928345
Regular Singular,guy,attractor,9.900842666625977,19.57742142677307
Regular Plural,guys,attractor,9.194365978240967,20.290496349334717
Sibilant Singular,box,horde,11.469145059585571,14.889269590377808
Sibilant Plural,boxes,horde,14.309523344039917,15.404383182525635
Regular Singular,book,horde,10.582506656646729,16.401804447174072
Regular Plural,books,horde,11.082931756973267,17.18949317932129
Sibilant Singular,sex,distinctions,11.04138445854187,16.670029163360596
Sibilant Plural,sexes,distinctions,15.424929141998291,14.710050344467163
Regular Singular,sack,distinctions,14.019088745117188,15.705491065979004
Regular Plural,sacks,distinctions,13.522813081741333,15.517337560653687
Sibilant Singular,tax,repayment,12.627047777175903,10.364869117736816
Sibilant Plural,taxes,repayment,13.399618864059448,14.06243085861206
Regular Singular,tack,repayment,12.891799211502075,12.803288459777832
Regular Plural,tacks,repayment,12.627047777175903,10.364869117736816
Sibilant Singular,size,device,8.456454277038574,13.004965782165527
Sibilant Plural,sizes,device,15.343692302703857,11.320230960845947
Regular Singular,sigh,device,11.256036758422852,11.721885919570923
Regular Plural,sighs,device,8.456454277038574,13.004965782165527
Sibilant Singular,praise,getter,11.630686283111572,24.633094787597656
Sibilant Plural,praises,getter,15.395468711853027,19.32694435119629
Regular Singular,tray,getter,12.242430925369263,15.077004671096802
Regular Plural,trays,getter,14.787822961807251,15.103654146194458
Sibilant Singular,bruise,expert,14.704998970031738,12.501250267028809
Sibilant Plural,bruises,expert,13.971781253814697,11.859664678573608
Regular Singular,brew,expert,14.454911708831787,13.377745628356934
Regular Plural,brews,expert,14.704998970031738,12.501250267028809
Sibilant Singular,raise,seeker,11.695708274841309,16.614938497543335
Sibilant Plural,raises,seeker,13.824528694152832,16.776569604873657
Regular Singular,ray,seeker,9.80353832244873,15.409314155578613
Regular Plural,rays,seeker,11.695708274841309,16.614938497543335
Sibilant Singular,blaze,admirer,14.575976371765137,18.040072441101074
Sibilant Plural,blazes,admirer,15.676718711853027,14.416547775268555
Regular Singular,play,admirer,9.846858739852905,15.167255401611328
Regular Plural,plays,admirer,10.198227643966675,14.324514627456665
Sibilant Singular,vase,steward,15.5389404296875,11.31675410270691
Sibilant Plural,vases,steward,16.132464170455933,14.424358367919922
Regular Singular,bee,steward,4.883671045303345,17.310110092163086
Regular Plural,bees,steward,12.240697622299194,16.160833597183228
Sibilant Singular,fox,avoiders,11.030047178268433,17.661666870117188
Sibilant Plural,foxes,avoiders,13.684477090835571,18.514186143875122
Regular Singular,shock,avoiders,11.76242208480835,15.816551446914673
Regular Plural,shocks,avoiders,14.62480878829956,17.484912633895874
Sibilant Singular,maze,expert,13.41763687133789,11.601396083831787
Sibilant Plural,mazes,expert,17.600781440734863,10.57118535041809
Regular Singular,bay,expert,12.195905447006226,12.137523889541626
Regular Plural,bays,expert,15.457519769668579,10.978997468948364
Sibilant Singular,breeze,protector,14.078019618988037,14.528995752334595
Sibilant Plural,breezes,protector,15.005834817886353,14.275074005126953
Regular Singular,tree,protector,12.013001918792725,11.034847974777222
Regular Plural,trees,protector,12.168257713317871,14.545557498931885
Sibilant Singular,cause,evaluator,8.761746644973755,19.31936502456665
Sibilant Plural,causes,evaluator,12.268328428268433,23.90614652633667
Regular Singular,paw,evaluator,14.114301204681396,16.79355239868164
Regular Plural,paws,evaluator,9.744060039520264,22.75056791305542
Sibilant Singular,phase,fanatic,13.370778560638428,15.451906442642212
Sibilant Plural,phases,fanatic,15.341651916503906,15.63013505935669
Regular Singular,fee,fanatic,12.942392826080322,14.451077461242676
Regular Plural,fees,fanatic,14.910228729248047,14.8258798122406
Sibilant Singular,fax,man,13.364133596420288,6.348299026489258
Sibilant Plural,faxes,man,16.6900053024292,7.891252756118774
Regular Singular,shack,man,13.874549150466919,7.640481948852539
Regular Plural,shacks,man,16.891570329666138,6.979398488998413
