Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,15.515109539031982,13.511106967926025
Sibilant Plural,hoses,collector,17.383320331573486,14.822499752044678
Regular Singular,hoe,collector,12.06758975982666,13.888184070587158
Regular Plural,hoes,collector,15.674646854400635,16.041569232940674
Sibilant Singular,rose,organizer,13.380081176757812,15.522762298583984
Sibilant Plural,roses,organizer,15.249258995056152,15.68986463546753
Regular Singular,row,organizer,13.303585052490234,15.097113609313965
Regular Plural,rows,organizer,13.773723602294922,17.9304838180542
Sibilant Singular,rise,addict,11.27885913848877,16.660874366760254
Sibilant Plural,rises,addict,15.595895767211914,15.70765209197998
Regular Singular,lie,addict,12.091093063354492,15.554344177246094
Regular Plural,lies,addict,12.720746994018555,17.45218801498413
Sibilant Singular,clause,hider,17.351598739624023,19.69774341583252
Sibilant Plural,clauses,hider,22.134876251220703,16.76553773880005
Regular Singular,claw,hider,15.930981159210205,15.245856285095215
Regular Plural,claws,hider,16.399797916412354,17.271936416625977
Sibilant Singular,gaze,attractor,20.40766716003418,14.737046241760254
Sibilant Plural,gazes,attractor,24.591612815856934,18.908525466918945
Regular Singular,guy,attractor,17.36258554458618,14.17849063873291
Regular Plural,guys,attractor,19.038405418395996,17.549281120300293
Sibilant Singular,box,horde,13.508363723754883,18.951093673706055
Sibilant Plural,boxes,horde,17.36281394958496,18.81009316444397
Regular Singular,book,horde,13.762947082519531,17.640869855880737
Regular Plural,books,horde,16.134884357452393,18.192612171173096
Sibilant Singular,sex,distinctions,11.27678108215332,11.429558515548706
Sibilant Plural,sexes,distinctions,16.258023262023926,13.911818027496338
Regular Singular,sack,distinctions,18.335855960845947,13.307140946388245
Regular Plural,sacks,distinctions,18.81458616256714,14.807225227355957
Sibilant Singular,tax,repayment,17.03930950164795,15.219297289848328
Sibilant Plural,taxes,repayment,20.167410373687744,16.95165205001831
Regular Singular,tack,repayment,15.116647720336914,14.922449827194214
Regular Plural,tacks,repayment,17.520724296569824,16.600898027420044
Sibilant Singular,size,device,17.03291130065918,10.095897674560547
Sibilant Plural,sizes,device,19.30523109436035,10.352856636047363
Regular Singular,sigh,device,18.28501796722412,12.686427116394043
Regular Plural,sighs,device,14.029008865356445,12.662542343139648
Sibilant Singular,praise,getter,23.468346118927002,16.862202644348145
Sibilant Plural,praises,getter,24.495741367340088,17.61359691619873
Regular Singular,tray,getter,17.13066291809082,16.084598541259766
Regular Plural,trays,getter,18.7983136177063,17.596346855163574
Sibilant Singular,bruise,expert,20.900364875793457,11.756120681762695
Sibilant Plural,bruises,expert,20.467983722686768,11.32955551147461
Regular Singular,brew,expert,15.072497367858887,12.288793563842773
Regular Plural,brews,expert,17.12654972076416,12.306588172912598
Sibilant Singular,raise,seeker,20.269184112548828,16.63392162322998
Sibilant Plural,raises,seeker,19.719146728515625,17.000600814819336
Regular Singular,ray,seeker,13.405805587768555,16.431978225708008
Regular Plural,rays,seeker,16.05550241470337,15.986514568328857
Sibilant Singular,blaze,admirer,15.290508270263672,16.977720737457275
Sibilant Plural,blazes,admirer,19.21743154525757,18.337565422058105
Regular Singular,play,admirer,14.072315216064453,17.774468421936035
Regular Plural,plays,admirer,14.254496574401855,18.93366050720215
Sibilant Singular,vase,steward,16.931631088256836,16.409459590911865
Sibilant Plural,vases,steward,17.147676467895508,17.80906391143799
Regular Singular,bee,steward,13.714128494262695,13.671300411224365
Regular Plural,bees,steward,16.77234697341919,15.901071548461914
Sibilant Singular,fox,avoiders,18.236721992492676,20.425369262695312
Sibilant Plural,foxes,avoiders,22.153447151184082,21.90986442565918
Regular Singular,shock,avoiders,15.27823257446289,20.954293251037598
Regular Plural,shocks,avoiders,16.023707389831543,22.521696090698242
Sibilant Singular,maze,expert,20.476012229919434,11.961588859558105
Sibilant Plural,mazes,expert,24.448432445526123,11.757365226745605
Regular Singular,bay,expert,15.256400108337402,13.293087005615234
Regular Plural,bays,expert,18.475823402404785,12.45439338684082
Sibilant Singular,breeze,protector,20.110918521881104,14.72299861907959
Sibilant Plural,breezes,protector,21.091159343719482,18.878638744354248
Regular Singular,tree,protector,15.011730194091797,15.972432136535645
Regular Plural,trees,protector,16.309687614440918,18.961137771606445
Sibilant Singular,cause,evaluator,11.995319366455078,23.749621868133545
Sibilant Plural,causes,evaluator,20.39226245880127,20.185242652893066
Regular Singular,paw,evaluator,15.948522567749023,21.741994857788086
Regular Plural,paws,evaluator,16.635576725006104,22.148009777069092
Sibilant Singular,phase,fanatic,17.85364818572998,15.40962266921997
Sibilant Plural,phases,fanatic,22.86768364906311,15.57606029510498
Regular Singular,fee,fanatic,16.722095489501953,16.56441879272461
Regular Plural,fees,fanatic,18.113844871520996,15.780289649963379
Sibilant Singular,fax,man,18.160686492919922,8.391413688659668
Sibilant Plural,faxes,man,20.982773065567017,9.352641105651855
Regular Singular,shack,man,17.12720251083374,9.368071556091309
Regular Plural,shacks,man,18.596515655517578,9.923844337463379
