Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,13.07589054107666,16.969545364379883
Sibilant Plural,hoses,collector,16.039287090301514,18.6008358001709
Regular Singular,hoe,collector,14.065568923950195,15.622729301452637
Regular Plural,hoes,collector,16.725247383117676,18.62287187576294
Sibilant Singular,rose,organizer,10.67059326171875,21.8271586894989
Sibilant Plural,roses,organizer,14.328615188598633,19.05564594268799
Regular Singular,row,organizer,11.040011405944824,20.223777532577515
Regular Plural,rows,organizer,10.65743637084961,20.325253009796143
Sibilant Singular,rise,addict,10.879481315612793,19.98992395401001
Sibilant Plural,rises,addict,12.476781368255615,18.929299354553223
Regular Singular,lie,addict,9.993917465209961,21.291455268859863
Regular Plural,lies,addict,11.789114952087402,19.330566883087158
Sibilant Singular,clause,hider,14.5304274559021,17.400238037109375
Sibilant Plural,clauses,hider,15.586479663848877,18.7338228225708
Regular Singular,claw,hider,15.90603494644165,15.088141441345215
Regular Plural,claws,hider,13.360920906066895,17.610249519348145
Sibilant Singular,gaze,attractor,11.087660789489746,20.83070659637451
Sibilant Plural,gazes,attractor,20.29482650756836,19.923768997192383
Regular Singular,guy,attractor,9.38566780090332,19.405417442321777
Regular Plural,guys,attractor,9.806408882141113,20.88125705718994
Sibilant Singular,box,horde,9.902485847473145,24.17757511138916
Sibilant Plural,boxes,horde,11.444445610046387,24.768649101257324
Regular Singular,book,horde,9.297728538513184,22.945354461669922
Regular Plural,books,horde,9.775666236877441,26.379427433013916
Sibilant Singular,sex,distinctions,12.547980308532715,13.279862880706787
Sibilant Plural,sexes,distinctions,17.727269649505615,15.21297812461853
Regular Singular,sack,distinctions,13.231683731079102,16.095808029174805
Regular Plural,sacks,distinctions,14.298039436340332,15.93684720993042
Sibilant Singular,tax,repayment,11.462270736694336,15.981179237365723
Sibilant Plural,taxes,repayment,13.405728340148926,18.966556072235107
Regular Singular,tack,repayment,15.164989471435547,16.03980326652527
Regular Plural,tacks,repayment,18.226765632629395,19.465847969055176
Sibilant Singular,size,device,9.936263084411621,12.072556495666504
Sibilant Plural,sizes,device,12.994680881500244,12.539289474487305
Regular Singular,sigh,device,13.815908432006836,13.647829055786133
Regular Plural,sighs,device,12.00770378112793,13.84990119934082
Sibilant Singular,praise,getter,12.023860931396484,22.537299156188965
Sibilant Plural,praises,getter,16.706953525543213,23.600196838378906
Regular Singular,tray,getter,12.209259033203125,20.4029860496521
Regular Plural,trays,getter,17.187923908233643,21.772180557250977
Sibilant Singular,bruise,expert,16.13528823852539,12.462260246276855
Sibilant Plural,bruises,expert,14.848103761672974,13.672802925109863
Regular Singular,brew,expert,16.027180910110474,12.776782989501953
Regular Plural,brews,expert,18.569634437561035,13.132990837097168
Sibilant Singular,raise,seeker,10.427278518676758,24.0411319732666
Sibilant Plural,raises,seeker,12.603078842163086,22.06592559814453
Regular Singular,ray,seeker,13.08543586730957,21.839961051940918
Regular Plural,rays,seeker,12.713529586791992,22.906301498413086
Sibilant Singular,blaze,admirer,13.142337083816528,15.848822593688965
Sibilant Plural,blazes,admirer,20.551039218902588,15.548687934875488
Regular Singular,play,admirer,7.800316333770752,15.752835988998413
Regular Plural,plays,admirer,10.892936706542969,17.108120679855347
Sibilant Singular,vase,steward,14.641815185546875,16.36452007293701
Sibilant Plural,vases,steward,15.75124740600586,17.409400939941406
Regular Singular,bee,steward,13.287723541259766,16.743816375732422
Regular Plural,bees,steward,13.10168170928955,18.29878044128418
Sibilant Singular,fox,avoiders,12.928293228149414,23.849236488342285
Sibilant Plural,foxes,avoiders,16.069045782089233,21.627424240112305
Regular Singular,shock,avoiders,11.22429370880127,23.21746063232422
Regular Plural,shocks,avoiders,14.723869800567627,24.78396987915039
Sibilant Singular,maze,expert,14.298665523529053,10.847792625427246
Sibilant Plural,mazes,expert,20.810685634613037,12.22585678100586
Regular Singular,bay,expert,13.052011489868164,13.746038436889648
Regular Plural,bays,expert,16.239609241485596,14.429452896118164
Sibilant Singular,breeze,protector,13.042943954467773,17.391445636749268
Sibilant Plural,breezes,protector,21.368030548095703,15.7700514793396
Regular Singular,tree,protector,10.166271209716797,16.11153793334961
Regular Plural,trees,protector,11.125112533569336,20.419570922851562
Sibilant Singular,cause,evaluator,10.788761138916016,23.844899654388428
Sibilant Plural,causes,evaluator,11.327468872070312,21.510700702667236
Regular Singular,paw,evaluator,13.383026123046875,20.800376415252686
Regular Plural,paws,evaluator,12.473206520080566,23.38564682006836
Sibilant Singular,phase,fanatic,12.455069541931152,14.869608640670776
Sibilant Plural,phases,fanatic,15.126845598220825,14.113927364349365
Regular Singular,fee,fanatic,12.521553039550781,14.555982112884521
Regular Plural,fees,fanatic,16.119995594024658,13.0912504196167
Sibilant Singular,fax,man,13.711337089538574,9.205253601074219
Sibilant Plural,faxes,man,17.284191608428955,10.383186340332031
Regular Singular,shack,man,12.67387318611145,9.049966812133789
Regular Plural,shacks,man,17.764156341552734,10.529583930969238
