Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,14.5975022315979,15.280411958694458
Sibilant Plural,hoses,collector,17.577701568603516,15.843639850616455
Regular Singular,hoe,collector,13.018588304519653,14.139756202697754
Regular Plural,hoes,collector,14.97490644454956,16.824313163757324
Sibilant Singular,rose,organizer,11.53438663482666,19.1008722782135
Sibilant Plural,roses,organizer,14.740296363830566,19.167662143707275
Regular Singular,row,organizer,10.311081886291504,20.301180362701416
Regular Plural,rows,organizer,13.725748062133789,21.05139398574829
Sibilant Singular,rise,addict,11.718856811523438,18.980268478393555
Sibilant Plural,rises,addict,14.126131057739258,20.863459587097168
Regular Singular,lie,addict,11.09138298034668,19.3652982711792
Regular Plural,lies,addict,11.688567161560059,18.29699993133545
Sibilant Singular,clause,hider,13.193366050720215,19.095852851867676
Sibilant Plural,clauses,hider,20.053311824798584,19.881717681884766
Regular Singular,claw,hider,13.844040870666504,18.38616180419922
Regular Plural,claws,hider,13.856083869934082,16.372722625732422
Sibilant Singular,gaze,attractor,12.705162048339844,17.373549461364746
Sibilant Plural,gazes,attractor,20.170742511749268,19.093915462493896
Regular Singular,guy,attractor,10.39871597290039,18.670923233032227
Regular Plural,guys,attractor,10.594680786132812,19.98939037322998
Sibilant Singular,box,horde,10.11224365234375,24.07926082611084
Sibilant Plural,boxes,horde,11.234965324401855,24.36155891418457
Regular Singular,book,horde,9.474400520324707,22.942553520202637
Regular Plural,books,horde,11.013107299804688,23.847506046295166
Sibilant Singular,sex,distinctions,11.311288833618164,14.87650442123413
Sibilant Plural,sexes,distinctions,16.766337394714355,15.188154220581055
Regular Singular,sack,distinctions,13.971943855285645,19.421005249023438
Regular Plural,sacks,distinctions,17.393174171447754,17.273357391357422
Sibilant Singular,tax,repayment,12.20437240600586,15.790628671646118
Sibilant Plural,taxes,repayment,13.858532905578613,16.627139568328857
Regular Singular,tack,repayment,15.733877182006836,19.9078426361084
Regular Plural,tacks,repayment,15.113262176513672,21.930191040039062
Sibilant Singular,size,device,11.242470741271973,11.918691635131836
Sibilant Plural,sizes,device,12.84213924407959,13.361770629882812
Regular Singular,sigh,device,12.661971092224121,13.617131233215332
Regular Plural,sighs,device,14.406822204589844,13.423869132995605
Sibilant Singular,praise,getter,13.128952026367188,18.19209098815918
Sibilant Plural,praises,getter,15.565972805023193,19.916412353515625
Regular Singular,tray,getter,13.54665756225586,18.521933555603027
Regular Plural,trays,getter,15.803167343139648,18.40956211090088
Sibilant Singular,bruise,expert,14.706972360610962,13.44493579864502
Sibilant Plural,bruises,expert,15.402199506759644,14.330000877380371
Regular Singular,brew,expert,16.431854248046875,13.84111213684082
Regular Plural,brews,expert,20.059882640838623,13.56595230102539
Sibilant Singular,raise,seeker,11.428080558776855,22.628745079040527
Sibilant Plural,raises,seeker,14.029648780822754,22.810275077819824
Regular Singular,ray,seeker,14.517383098602295,21.84351921081543
Regular Plural,rays,seeker,13.840681076049805,20.6629056930542
Sibilant Singular,blaze,admirer,15.427762031555176,14.948915958404541
Sibilant Plural,blazes,admirer,21.244169235229492,18.580554008483887
Regular Singular,play,admirer,8.173670768737793,15.333794116973877
Regular Plural,plays,admirer,9.97707748413086,16.871193647384644
Sibilant Singular,vase,steward,16.544848918914795,11.973546981811523
Sibilant Plural,vases,steward,16.460302352905273,12.804541826248169
Regular Singular,bee,steward,13.253087043762207,13.76625108718872
Regular Plural,bees,steward,13.081666946411133,15.069682598114014
Sibilant Singular,fox,avoiders,12.065743446350098,22.692062377929688
Sibilant Plural,foxes,avoiders,15.995702266693115,22.586438179016113
Regular Singular,shock,avoiders,12.021122932434082,19.931369304656982
Regular Plural,shocks,avoiders,14.786218643188477,21.956016540527344
Sibilant Singular,maze,expert,16.059385299682617,14.26192855834961
Sibilant Plural,mazes,expert,19.459538459777832,13.560028076171875
Regular Singular,bay,expert,12.257776260375977,12.794156074523926
Regular Plural,bays,expert,15.774813652038574,14.209127426147461
Sibilant Singular,breeze,protector,14.510529518127441,17.87374210357666
Sibilant Plural,breezes,protector,23.932487964630127,18.58528757095337
Regular Singular,tree,protector,9.552251815795898,16.97533416748047
Regular Plural,trees,protector,10.39502239227295,19.132835388183594
Sibilant Singular,cause,evaluator,9.442634582519531,22.1053147315979
Sibilant Plural,causes,evaluator,12.535900115966797,20.822509765625
Regular Singular,paw,evaluator,14.218429565429688,21.562998294830322
Regular Plural,paws,evaluator,15.076976776123047,24.50207233428955
Sibilant Singular,phase,fanatic,13.722683906555176,14.02451467514038
Sibilant Plural,phases,fanatic,16.231463193893433,15.559062719345093
Regular Singular,fee,fanatic,12.984329223632812,17.31775665283203
Regular Plural,fees,fanatic,14.512833595275879,16.43466281890869
Sibilant Singular,fax,man,15.500449657440186,7.468850135803223
Sibilant Plural,faxes,man,19.105289459228516,9.712129592895508
Regular Singular,shack,man,16.04691982269287,7.2863874435424805
Regular Plural,shacks,man,18.162206649780273,8.90561294555664
