Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,16.696186065673828,13.296468496322632
Sibilant Plural,hoses,collector,17.442859649658203,13.347033977508545
Regular Singular,hoe,collector,12.328354954719543,12.837635278701782
Regular Plural,hoes,collector,16.016075611114502,12.987515211105347
Sibilant Singular,rose,organizer,11.673803329467773,15.911730289459229
Sibilant Plural,roses,organizer,19.496712684631348,19.33974599838257
Regular Singular,row,organizer,15.863347053527832,15.596575736999512
Regular Plural,rows,organizer,16.954195022583008,19.13687801361084
Sibilant Singular,rise,addict,13.720947265625,16.084490299224854
Sibilant Plural,rises,addict,21.718204498291016,14.750168800354004
Regular Singular,lie,addict,13.276491165161133,15.048157691955566
Regular Plural,lies,addict,13.997507095336914,14.006814956665039
Sibilant Singular,clause,hider,13.647534370422363,19.04306125640869
Sibilant Plural,clauses,hider,20.590991020202637,18.86532211303711
Regular Singular,claw,hider,17.928486824035645,18.3105206489563
Regular Plural,claws,hider,18.243040084838867,19.043110847473145
Sibilant Singular,gaze,attractor,20.870903968811035,19.26743745803833
Sibilant Plural,gazes,attractor,22.967217922210693,18.759538650512695
Regular Singular,guy,attractor,11.458492279052734,15.889896392822266
Regular Plural,guys,attractor,12.467084884643555,18.186431884765625
Sibilant Singular,box,horde,14.139105796813965,15.63896131515503
Sibilant Plural,boxes,horde,14.409089803695679,15.908935070037842
Regular Singular,book,horde,9.797943115234375,16.2838191986084
Regular Plural,books,horde,8.88333797454834,18.487031936645508
Sibilant Singular,sex,distinctions,13.26403522491455,12.603689908981323
Sibilant Plural,sexes,distinctions,16.101123094558716,12.887588262557983
Regular Singular,sack,distinctions,23.810619831085205,15.205791234970093
Regular Plural,sacks,distinctions,23.213755130767822,14.261455297470093
Sibilant Singular,tax,repayment,14.364368438720703,18.982625722885132
Sibilant Plural,taxes,repayment,17.677385330200195,18.214463233947754
Regular Singular,tack,repayment,21.170212745666504,16.046931266784668
Regular Plural,tacks,repayment,18.147759914398193,17.189788818359375
Sibilant Singular,size,device,19.805307388305664,12.818319320678711
Sibilant Plural,sizes,device,20.272332191467285,13.482015609741211
Regular Singular,sigh,device,24.28132438659668,13.217805862426758
Regular Plural,sighs,device,14.352107048034668,12.821098327636719
Sibilant Singular,praise,getter,23.65198063850403,17.461617469787598
Sibilant Plural,praises,getter,23.73152780532837,18.977293014526367
Regular Singular,tray,getter,16.538055419921875,18.68122673034668
Regular Plural,trays,getter,20.097907066345215,19.612260818481445
Sibilant Singular,bruise,expert,27.336483001708984,11.603412628173828
Sibilant Plural,bruises,expert,25.68228530883789,11.767163276672363
Regular Singular,brew,expert,14.23257064819336,11.53772258758545
Regular Plural,brews,expert,17.561211109161377,11.67342758178711
Sibilant Singular,raise,seeker,15.501389980316162,16.949867248535156
Sibilant Plural,raises,seeker,14.822052717208862,18.796948432922363
Regular Singular,ray,seeker,10.63856315612793,15.925593376159668
Regular Plural,rays,seeker,13.09238862991333,16.259626388549805
Sibilant Singular,blaze,admirer,20.14958381652832,19.202027559280396
Sibilant Plural,blazes,admirer,23.063581466674805,17.1951162815094
Regular Singular,play,admirer,12.576984405517578,17.864001750946045
Regular Plural,plays,admirer,17.61323642730713,18.274461030960083
Sibilant Singular,vase,steward,17.759434700012207,14.146465539932251
Sibilant Plural,vases,steward,13.866403102874756,15.701695680618286
Regular Singular,bee,steward,15.219572067260742,10.984876155853271
Regular Plural,bees,steward,16.903549194335938,14.592314720153809
Sibilant Singular,fox,avoiders,14.294686317443848,19.988418102264404
Sibilant Plural,foxes,avoiders,20.703765869140625,21.82036304473877
Regular Singular,shock,avoiders,16.852731704711914,19.67731809616089
Regular Plural,shocks,avoiders,17.330768585205078,21.31911563873291
Sibilant Singular,maze,expert,23.406278610229492,12.994948387145996
Sibilant Plural,mazes,expert,25.156943798065186,11.831050872802734
Regular Singular,bay,expert,13.593939781188965,13.27583122253418
Regular Plural,bays,expert,18.429358959197998,12.316107749938965
Sibilant Singular,breeze,protector,26.733370780944824,14.61189079284668
Sibilant Plural,breezes,protector,26.9412841796875,18.34247589111328
Regular Singular,tree,protector,13.372053146362305,17.633471488952637
Regular Plural,trees,protector,14.884973049163818,17.227380752563477
Sibilant Singular,cause,evaluator,13.775918006896973,15.74554443359375
Sibilant Plural,causes,evaluator,17.32820177078247,20.422072410583496
Regular Singular,paw,evaluator,22.861021995544434,15.959036350250244
Regular Plural,paws,evaluator,23.301737785339355,21.021408081054688
Sibilant Singular,phase,fanatic,18.969449281692505,12.985134601593018
Sibilant Plural,phases,fanatic,19.62625825405121,13.522266864776611
Regular Singular,fee,fanatic,18.738871574401855,14.725746154785156
Regular Plural,fees,fanatic,17.74483299255371,13.105276584625244
Sibilant Singular,fax,man,16.429368495941162,9.647366523742676
Sibilant Plural,faxes,man,19.40642476081848,10.227425575256348
Regular Singular,shack,man,17.73683738708496,8.977058410644531
Regular Plural,shacks,man,20.572510719299316,9.686419486999512
