Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,19.18752384185791,14.264790534973145
Sibilant Plural,hoses,collector,19.83394503593445,14.308143615722656
Regular Singular,hoe,collector,19.140185832977295,14.142732620239258
Regular Plural,hoes,collector,20.484804153442383,14.929750442504883
Sibilant Singular,rose,organizer,17.793636798858643,18.657890796661377
Sibilant Plural,roses,organizer,24.26195240020752,19.602466583251953
Regular Singular,row,organizer,17.90257453918457,19.577168464660645
Regular Plural,rows,organizer,18.752588987350464,19.358905792236328
Sibilant Singular,rise,addict,19.151796340942383,15.353128433227539
Sibilant Plural,rises,addict,19.52608585357666,15.819178581237793
Regular Singular,lie,addict,14.43857192993164,14.603262424468994
Regular Plural,lies,addict,14.518051624298096,15.268513679504395
Sibilant Singular,clause,hider,21.315707683563232,16.324048042297363
Sibilant Plural,clauses,hider,22.894785404205322,17.025960445404053
Regular Singular,claw,hider,21.578292846679688,15.592157363891602
Regular Plural,claws,hider,21.24739408493042,16.772355556488037
Sibilant Singular,gaze,attractor,20.17353582382202,16.42898464202881
Sibilant Plural,gazes,attractor,21.283862113952637,16.93642234802246
Regular Singular,guy,attractor,15.801915884017944,16.86910581588745
Regular Plural,guys,attractor,17.925320625305176,18.3917293548584
Sibilant Singular,box,horde,15.078870296478271,19.009729385375977
Sibilant Plural,boxes,horde,20.323302268981934,20.16607666015625
Regular Singular,book,horde,13.518619537353516,19.47087001800537
Regular Plural,books,horde,13.826035976409912,19.796420097351074
Sibilant Singular,sex,distinctions,17.842411041259766,13.145902633666992
Sibilant Plural,sexes,distinctions,22.494885444641113,14.817540168762207
Regular Singular,sack,distinctions,23.034517288208008,14.706973552703857
Regular Plural,sacks,distinctions,23.79605531692505,15.215827465057373
Sibilant Singular,tax,repayment,18.315503120422363,16.611234426498413
Sibilant Plural,taxes,repayment,22.550419807434082,17.368091583251953
Regular Singular,tack,repayment,20.12333583831787,17.83217716217041
Regular Plural,tacks,repayment,21.06999659538269,17.89767861366272
Sibilant Singular,size,device,21.330904960632324,12.122336864471436
Sibilant Plural,sizes,device,24.723769664764404,12.587826013565063
Regular Singular,sigh,device,21.550379753112793,11.974441289901733
Regular Plural,sighs,device,21.465261459350586,12.277986526489258
Sibilant Singular,praise,getter,23.856210231781006,19.075928211212158
Sibilant Plural,praises,getter,25.081676483154297,19.508366107940674
Regular Singular,tray,getter,20.143333435058594,19.282047271728516
Regular Plural,trays,getter,23.972962379455566,18.982666969299316
Sibilant Singular,bruise,expert,18.97576904296875,11.924436807632446
Sibilant Plural,bruises,expert,20.20444393157959,13.446576356887817
Regular Singular,brew,expert,17.73470401763916,12.646259307861328
Regular Plural,brews,expert,19.369518995285034,13.798476696014404
Sibilant Singular,raise,seeker,19.81361961364746,16.2254638671875
Sibilant Plural,raises,seeker,20.974111557006836,16.74754571914673
Regular Singular,ray,seeker,17.47361183166504,17.86518144607544
Regular Plural,rays,seeker,18.75141215324402,15.025036811828613
Sibilant Singular,blaze,admirer,24.058974504470825,21.955890655517578
Sibilant Plural,blazes,admirer,24.691385984420776,22.111610412597656
Regular Singular,play,admirer,15.601615905761719,22.264421463012695
Regular Plural,plays,admirer,17.817076683044434,22.911836624145508
Sibilant Singular,vase,steward,21.58259868621826,17.06676197052002
Sibilant Plural,vases,steward,22.094487190246582,17.97891902923584
Regular Singular,bee,steward,16.84697723388672,17.453813552856445
Regular Plural,bees,steward,19.020256996154785,17.72966194152832
Sibilant Singular,fox,avoiders,15.486475944519043,18.901116371154785
Sibilant Plural,foxes,avoiders,19.569550037384033,19.295966148376465
Regular Singular,shock,avoiders,15.208825588226318,19.726295471191406
Regular Plural,shocks,avoiders,16.532390117645264,19.775166511535645
Sibilant Singular,maze,expert,21.363343000411987,13.320716619491577
Sibilant Plural,mazes,expert,22.20960545539856,14.305521726608276
Regular Singular,bay,expert,19.747218132019043,12.98607611656189
Regular Plural,bays,expert,21.087085723876953,14.192433595657349
Sibilant Singular,breeze,protector,20.777419328689575,14.930633544921875
Sibilant Plural,breezes,protector,25.75813388824463,14.49127721786499
Regular Singular,tree,protector,19.582927703857422,15.709346771240234
Regular Plural,trees,protector,21.81727409362793,14.61548137664795
Sibilant Singular,cause,evaluator,17.2597599029541,26.69663715362549
Sibilant Plural,causes,evaluator,22.599021911621094,24.51722288131714
Regular Singular,paw,evaluator,20.333688735961914,24.073105335235596
Regular Plural,paws,evaluator,20.597426176071167,25.302478790283203
Sibilant Singular,phase,fanatic,21.899588584899902,19.460952281951904
Sibilant Plural,phases,fanatic,22.816382884979248,19.871013164520264
Regular Singular,fee,fanatic,20.87076187133789,19.788277626037598
Regular Plural,fees,fanatic,20.7507004737854,20.880723476409912
Sibilant Singular,fax,man,17.623449325561523,8.009489059448242
Sibilant Plural,faxes,man,20.017228841781616,9.148052215576172
Regular Singular,shack,man,20.59677791595459,7.513382911682129
Regular Plural,shacks,man,22.463003158569336,8.625775337219238
