Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,20.92705774307251,16.3670711517334
Sibilant Plural,hoses,collector,26.16644287109375,17.601919174194336
Regular Singular,hoe,collector,15.95562744140625,14.139687299728394
Regular Plural,hoes,collector,21.85603141784668,15.670628547668457
Sibilant Singular,rose,organizer,17.20856285095215,15.558463096618652
Sibilant Plural,roses,organizer,23.274566650390625,16.2110915184021
Regular Singular,row,organizer,17.604984283447266,16.714468002319336
Regular Plural,rows,organizer,20.09291648864746,19.494309425354004
Sibilant Singular,rise,addict,18.20571517944336,12.70500922203064
Sibilant Plural,rises,addict,19.996017456054688,11.63960862159729
Regular Singular,lie,addict,15.555588722229004,17.01877474784851
Regular Plural,lies,addict,17.874507904052734,9.402879476547241
Sibilant Singular,clause,hider,21.979872703552246,22.44766616821289
Sibilant Plural,clauses,hider,24.72182846069336,19.232175827026367
Regular Singular,claw,hider,18.911221027374268,19.98694133758545
Regular Plural,claws,hider,20.941486358642578,18.787732124328613
Sibilant Singular,gaze,attractor,29.604660987854004,20.569286346435547
Sibilant Plural,gazes,attractor,32.152183055877686,20.258383750915527
Regular Singular,guy,attractor,24.558799743652344,22.19777488708496
Regular Plural,guys,attractor,21.47538471221924,21.69902801513672
Sibilant Singular,box,horde,13.937032699584961,26.077778816223145
Sibilant Plural,boxes,horde,16.09908676147461,21.54687261581421
Regular Singular,book,horde,21.563732147216797,21.90751075744629
Regular Plural,books,horde,19.29636788368225,23.63306188583374
Sibilant Singular,sex,distinctions,17.724315643310547,13.6867356300354
Sibilant Plural,sexes,distinctions,23.77719783782959,18.580864906311035
Regular Singular,sack,distinctions,24.74704933166504,17.668107509613037
Regular Plural,sacks,distinctions,24.931601524353027,18.76448631286621
Sibilant Singular,tax,repayment,29.584843635559082,18.943763732910156
Sibilant Plural,taxes,repayment,33.667832374572754,22.68626880645752
Regular Singular,tack,repayment,21.66179847717285,17.47436761856079
Regular Plural,tacks,repayment,22.91447353363037,18.0625319480896
Sibilant Singular,size,device,25.358749389648438,11.94935417175293
Sibilant Plural,sizes,device,29.892086029052734,13.975454330444336
Regular Singular,sigh,device,24.58896255493164,12.30132007598877
Regular Plural,sighs,device,18.380090713500977,13.692253112792969
Sibilant Singular,praise,getter,26.628254413604736,23.872361183166504
Sibilant Plural,praises,getter,26.760852813720703,23.77411651611328
Regular Singular,tray,getter,19.208674430847168,25.128989219665527
Regular Plural,trays,getter,22.177017211914062,22.010079383850098
Sibilant Singular,bruise,expert,34.60369300842285,13.74509334564209
Sibilant Plural,bruises,expert,32.41184711456299,13.864541053771973
Regular Singular,brew,expert,22.886213302612305,11.970741271972656
Regular Plural,brews,expert,26.111948490142822,12.924488067626953
Sibilant Singular,raise,seeker,21.38401222229004,17.310319423675537
Sibilant Plural,raises,seeker,20.240185260772705,20.22161102294922
Regular Singular,ray,seeker,20.474308013916016,21.164077758789062
Regular Plural,rays,seeker,19.14792776107788,20.589180946350098
Sibilant Singular,blaze,admirer,24.68253517150879,25.617456436157227
Sibilant Plural,blazes,admirer,26.694617748260498,22.92764949798584
Regular Singular,play,admirer,17.423986434936523,20.549649715423584
Regular Plural,plays,admirer,17.947893142700195,19.872413158416748
Sibilant Singular,vase,steward,25.44016170501709,15.365543365478516
Sibilant Plural,vases,steward,30.31641387939453,17.59521770477295
Regular Singular,bee,steward,16.875669479370117,15.125050067901611
Regular Plural,bees,steward,19.75507354736328,15.156274318695068
Sibilant Singular,fox,avoiders,21.668782234191895,19.81786298751831
Sibilant Plural,foxes,avoiders,23.372976303100586,23.521550178527832
Regular Singular,shock,avoiders,26.747300624847412,19.4378981590271
Regular Plural,shocks,avoiders,28.387889862060547,22.988566398620605
Sibilant Singular,maze,expert,27.6966609954834,14.612833023071289
Sibilant Plural,mazes,expert,31.773906707763672,13.321722984313965
Regular Singular,bay,expert,20.756332397460938,9.972253799438477
Regular Plural,bays,expert,23.989941596984863,14.399531364440918
Sibilant Singular,breeze,protector,20.7037296295166,14.085334777832031
Sibilant Plural,breezes,protector,26.146119594573975,15.013979434967041
Regular Singular,tree,protector,14.134264945983887,18.07156753540039
Regular Plural,trees,protector,20.735981941223145,15.948793411254883
Sibilant Singular,cause,evaluator,16.449792861938477,26.513904571533203
Sibilant Plural,causes,evaluator,26.150561332702637,28.367908477783203
Regular Singular,paw,evaluator,19.968082427978516,23.738555431365967
Regular Plural,paws,evaluator,22.3338041305542,28.218995094299316
Sibilant Singular,phase,fanatic,26.30311632156372,16.53062391281128
Sibilant Plural,phases,fanatic,23.436265468597412,17.489974975585938
Regular Singular,fee,fanatic,18.663809537887573,18.325254440307617
Regular Plural,fees,fanatic,23.718690872192383,18.380624771118164
Sibilant Singular,fax,man,21.501585960388184,8.348609924316406
Sibilant Plural,faxes,man,23.956935167312622,14.203457832336426
Regular Singular,shack,man,22.46140480041504,10.278725624084473
Regular Plural,shacks,man,26.789283752441406,9.745133399963379
