Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,12.319360256195068,11.80183458328247
Sibilant Plural,hoses,collector,15.149631261825562,12.369540214538574
Regular Singular,hoe,collector,6.7892327308654785,18.559195518493652
Regular Plural,hoes,collector,12.319360256195068,11.80183458328247
Sibilant Singular,rose,organizer,9.155192852020264,15.824398279190063
Sibilant Plural,roses,organizer,11.775903701782227,14.395864486694336
Regular Singular,row,organizer,7.31264591217041,16.15071749687195
Regular Plural,rows,organizer,9.155192852020264,15.824398279190063
Sibilant Singular,rise,addict,10.708754539489746,13.562288045883179
Sibilant Plural,rises,addict,13.474287033081055,14.657971858978271
Regular Singular,lie,addict,6.720237731933594,21.11280083656311
Regular Plural,lies,addict,11.467942237854004,12.769356727600098
Sibilant Singular,clause,hider,12.176330804824829,13.958331108093262
Sibilant Plural,clauses,hider,13.527743816375732,14.228485107421875
Regular Singular,claw,hider,10.0593421459198,15.86098575592041
Regular Plural,claws,hider,12.176330804824829,13.958331108093262
Sibilant Singular,gaze,attractor,11.961739540100098,16.32243800163269
Sibilant Plural,gazes,attractor,13.97207260131836,17.47810411453247
Regular Singular,guy,attractor,8.798620700836182,17.935603618621826
Regular Plural,guys,attractor,9.19757890701294,16.42851495742798
Sibilant Singular,box,horde,10.912664651870728,16.071732997894287
Sibilant Plural,boxes,horde,13.242708206176758,12.959571838378906
Regular Singular,book,horde,10.446146488189697,14.327144622802734
Regular Plural,books,horde,11.222643375396729,14.45695447921753
Sibilant Singular,sex,distinctions,10.673161506652832,13.987557649612427
Sibilant Plural,sexes,distinctions,13.18555212020874,17.04183077812195
Regular Singular,sack,distinctions,10.663703441619873,20.773499965667725
Regular Plural,sacks,distinctions,12.431201696395874,17.404635190963745
Sibilant Singular,tax,repayment,10.615581035614014,10.736937522888184
Sibilant Plural,taxes,repayment,13.708390474319458,10.883504867553711
Regular Singular,tack,repayment,9.646347522735596,16.374554872512817
Regular Plural,tacks,repayment,10.615581035614014,10.736937522888184
Sibilant Singular,size,device,8.210692167282104,12.827104091644287
Sibilant Plural,sizes,device,14.058731317520142,12.774713516235352
Regular Singular,sigh,device,7.119271516799927,16.973376989364624
Regular Plural,sighs,device,8.210692167282104,12.827104091644287
Sibilant Singular,praise,getter,11.442467212677002,15.117978572845459
Sibilant Plural,praises,getter,15.276658773422241,15.072153568267822
Regular Singular,tray,getter,9.348535537719727,15.611247777938843
Regular Plural,trays,getter,14.81342363357544,12.917944431304932
Sibilant Singular,bruise,expert,13.258918046951294,15.29324460029602
Sibilant Plural,bruises,expert,14.615382432937622,11.377323627471924
Regular Singular,brew,expert,9.830865859985352,18.93183708190918
Regular Plural,brews,expert,13.258918046951294,15.29324460029602
Sibilant Singular,raise,seeker,10.332053661346436,15.444819211959839
Sibilant Plural,raises,seeker,13.233373641967773,16.015392303466797
Regular Singular,ray,seeker,8.18497896194458,16.531991243362427
Regular Plural,rays,seeker,10.332053661346436,15.444819211959839
Sibilant Singular,blaze,admirer,13.118799448013306,15.935259342193604
Sibilant Plural,blazes,admirer,15.100983142852783,15.181315660476685
Regular Singular,play,admirer,7.697380781173706,13.65605092048645
Regular Plural,plays,admirer,9.863741636276245,13.053449630737305
Sibilant Singular,vase,steward,12.39568567276001,14.877712488174438
Sibilant Plural,vases,steward,15.116671085357666,14.340217113494873
Regular Singular,bee,steward,4.940762996673584,16.683845043182373
Regular Plural,bees,steward,12.470991611480713,15.332354068756104
Sibilant Singular,fox,avoiders,10.988060474395752,21.83513116836548
Sibilant Plural,foxes,avoiders,13.197841882705688,22.173988819122314
Regular Singular,shock,avoiders,11.06267786026001,18.984835147857666
Regular Plural,shocks,avoiders,13.651274919509888,19.576782941818237
Sibilant Singular,maze,expert,12.298994064331055,16.026034355163574
Sibilant Plural,mazes,expert,16.31309175491333,11.22005009651184
Regular Singular,bay,expert,8.126540660858154,17.29692268371582
Regular Plural,bays,expert,11.814308166503906,16.937989711761475
Sibilant Singular,breeze,protector,14.377845525741577,12.267909526824951
Sibilant Plural,breezes,protector,15.904248714447021,13.650824069976807
Regular Singular,tree,protector,10.012946128845215,14.918293237686157
Regular Plural,trees,protector,12.01228666305542,13.283895492553711
Sibilant Singular,cause,evaluator,8.424187421798706,18.228261470794678
Sibilant Plural,causes,evaluator,11.891648530960083,17.55014443397522
Regular Singular,paw,evaluator,8.31760549545288,23.614465951919556
Regular Plural,paws,evaluator,9.615571975708008,23.310787677764893
Sibilant Singular,phase,fanatic,12.059058666229248,13.478413581848145
Sibilant Plural,phases,fanatic,15.42393445968628,13.675607442855835
Regular Singular,fee,fanatic,8.82749319076538,16.209714889526367
Regular Plural,fees,fanatic,14.640069484710693,12.447815895080566
Sibilant Singular,fax,man,12.955649852752686,5.463243722915649
Sibilant Plural,faxes,man,15.972768306732178,7.283931255340576
Regular Singular,shack,man,12.132755279541016,7.930790662765503
Regular Plural,shacks,man,15.048964500427246,9.685639381408691
