Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,15.389997482299805,10.071476221084595
Sibilant Plural,hoses,collector,17.309115409851074,13.706720352172852
Regular Singular,hoe,collector,15.027090072631836,13.362557649612427
Regular Plural,hoes,collector,16.55370283126831,14.432785511016846
Sibilant Singular,rose,organizer,10.267399787902832,15.3939790725708
Sibilant Plural,roses,organizer,12.912412643432617,23.018857955932617
Regular Singular,row,organizer,12.823979377746582,17.892815589904785
Regular Plural,rows,organizer,14.877927780151367,16.93474006652832
Sibilant Singular,rise,addict,11.471661567687988,16.3542799949646
Sibilant Plural,rises,addict,15.925933837890625,20.328513145446777
Regular Singular,lie,addict,11.586318969726562,17.177917003631592
Regular Plural,lies,addict,13.538244247436523,17.04231548309326
Sibilant Singular,clause,hider,16.155423164367676,21.397432327270508
Sibilant Plural,clauses,hider,18.740736961364746,22.708348274230957
Regular Singular,claw,hider,14.48004674911499,18.99525260925293
Regular Plural,claws,hider,15.82036304473877,20.156014442443848
Sibilant Singular,gaze,attractor,14.77901840209961,23.71926975250244
Sibilant Plural,gazes,attractor,18.79512071609497,16.80629539489746
Regular Singular,guy,attractor,11.041418075561523,19.077601432800293
Regular Plural,guys,attractor,11.622407913208008,22.490741729736328
Sibilant Singular,box,horde,11.726469993591309,15.16460132598877
Sibilant Plural,boxes,horde,15.235551834106445,15.12444281578064
Regular Singular,book,horde,11.032057762145996,19.355276823043823
Regular Plural,books,horde,12.478960037231445,19.7142813205719
Sibilant Singular,sex,distinctions,11.244321823120117,16.197266459465027
Sibilant Plural,sexes,distinctions,17.461917877197266,17.8069167137146
Regular Singular,sack,distinctions,14.06640911102295,17.46094524860382
Regular Plural,sacks,distinctions,15.635000228881836,13.78069543838501
Sibilant Singular,tax,repayment,12.82720947265625,11.030202269554138
Sibilant Plural,taxes,repayment,14.246369361877441,11.893466830253601
Regular Singular,tack,repayment,15.602290153503418,15.989707350730896
Regular Plural,tacks,repayment,16.499505043029785,18.35598659515381
Sibilant Singular,size,device,12.00175952911377,12.269704818725586
Sibilant Plural,sizes,device,14.843632698059082,13.268534660339355
Regular Singular,sigh,device,14.93020248413086,14.90381145477295
Regular Plural,sighs,device,16.51464080810547,19.886253356933594
Sibilant Singular,praise,getter,11.812132835388184,21.35270118713379
Sibilant Plural,praises,getter,16.74764108657837,19.9104585647583
Regular Singular,tray,getter,15.379669189453125,16.31161594390869
Regular Plural,trays,getter,15.509955406188965,20.313197135925293
Sibilant Singular,bruise,expert,16.301176071166992,13.903078079223633
Sibilant Plural,bruises,expert,14.913793087005615,13.020575523376465
Regular Singular,brew,expert,15.757791519165039,13.279349327087402
Regular Plural,brews,expert,18.0767822265625,14.678808212280273
Sibilant Singular,raise,seeker,11.669188499450684,16.19731330871582
Sibilant Plural,raises,seeker,14.476160049438477,12.175681114196777
Regular Singular,ray,seeker,12.034537315368652,13.050302505493164
Regular Plural,rays,seeker,14.356245994567871,17.583414554595947
Sibilant Singular,blaze,admirer,14.492066383361816,17.598498344421387
Sibilant Plural,blazes,admirer,17.168380856513977,16.579107761383057
Regular Singular,play,admirer,10.622020721435547,16.174319982528687
Regular Plural,plays,admirer,13.080328941345215,17.48200285434723
Sibilant Singular,vase,steward,14.538400650024414,12.46868371963501
Sibilant Plural,vases,steward,15.501386642456055,19.064395427703857
Regular Singular,bee,steward,13.061748504638672,15.226423740386963
Regular Plural,bees,steward,13.337979316711426,21.03294086456299
Sibilant Singular,fox,avoiders,11.775041580200195,21.57226848602295
Sibilant Plural,foxes,avoiders,13.821070671081543,19.18661880493164
Regular Singular,shock,avoiders,12.929282188415527,25.334285736083984
Regular Plural,shocks,avoiders,16.878417015075684,22.576956748962402
Sibilant Singular,maze,expert,16.362552165985107,16.330188751220703
Sibilant Plural,mazes,expert,18.79948139190674,15.757298469543457
Regular Singular,bay,expert,12.868385314941406,14.24716567993164
Regular Plural,bays,expert,18.346606254577637,13.046501159667969
Sibilant Singular,breeze,protector,13.604968070983887,11.348857045173645
Sibilant Plural,breezes,protector,19.142175674438477,16.750702381134033
Regular Singular,tree,protector,12.830683708190918,13.832215547561646
Regular Plural,trees,protector,12.549881935119629,16.862515449523926
Sibilant Singular,cause,evaluator,10.638847351074219,18.787582397460938
Sibilant Plural,causes,evaluator,12.720211029052734,17.91126251220703
Regular Singular,paw,evaluator,13.913747787475586,20.484320640563965
Regular Plural,paws,evaluator,15.006699562072754,22.34698724746704
Sibilant Singular,phase,fanatic,13.300436973571777,20.286712646484375
Sibilant Plural,phases,fanatic,14.699833631515503,18.518699645996094
Regular Singular,fee,fanatic,14.933551788330078,21.48271656036377
Regular Plural,fees,fanatic,15.399361610412598,19.210692405700684
Sibilant Singular,fax,man,14.230620384216309,9.490979194641113
Sibilant Plural,faxes,man,16.19027328491211,10.644790649414062
Regular Singular,shack,man,18.575149536132812,8.754817962646484
Regular Plural,shacks,man,18.8591890335083,9.041569709777832
