Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,13.477321147918701,10.979745388031006
Sibilant Plural,hoses,collector,16.00110125541687,13.822799444198608
Regular Singular,hoe,collector,12.915571212768555,14.431145668029785
Regular Plural,hoes,collector,15.610681533813477,13.379597425460815
Sibilant Singular,rose,organizer,9.799569129943848,15.82536005973816
Sibilant Plural,roses,organizer,12.069634675979614,15.142969846725464
Regular Singular,row,organizer,10.956685066223145,16.603949308395386
Regular Plural,rows,organizer,13.288580656051636,17.115140438079834
Sibilant Singular,rise,addict,11.214215278625488,18.165705680847168
Sibilant Plural,rises,addict,15.729275226593018,14.710051536560059
Regular Singular,lie,addict,9.63210391998291,15.086306095123291
Regular Plural,lies,addict,12.703031778335571,14.01177716255188
Sibilant Singular,clause,hider,14.979984045028687,17.244158029556274
Sibilant Plural,clauses,hider,17.281259059906006,18.049070358276367
Regular Singular,claw,hider,14.125325918197632,12.188393115997314
Regular Plural,claws,hider,15.709274291992188,16.226818799972534
Sibilant Singular,gaze,attractor,12.31310224533081,17.498050212860107
Sibilant Plural,gazes,attractor,17.231483221054077,14.914443016052246
Regular Singular,guy,attractor,9.35562515258789,20.0763738155365
Regular Plural,guys,attractor,9.635386943817139,19.043787717819214
Sibilant Singular,box,horde,10.878130674362183,15.920232772827148
Sibilant Plural,boxes,horde,14.230607986450195,17.35053038597107
Regular Singular,book,horde,10.151946783065796,15.850204706192017
Regular Plural,books,horde,10.998628854751587,22.57529330253601
Sibilant Singular,sex,distinctions,10.095156908035278,12.570207834243774
Sibilant Plural,sexes,distinctions,15.791191816329956,15.87421464920044
Regular Singular,sack,distinctions,13.522074699401855,16.736904621124268
Regular Plural,sacks,distinctions,15.341150283813477,20.066589832305908
Sibilant Singular,tax,repayment,10.387147188186646,10.953022003173828
Sibilant Plural,taxes,repayment,13.002090215682983,12.227165222167969
Regular Singular,tack,repayment,13.280688047409058,18.6914484500885
Regular Plural,tacks,repayment,17.5649197101593,16.111520051956177
Sibilant Singular,size,device,12.099689245223999,11.504953861236572
Sibilant Plural,sizes,device,14.467815399169922,13.870235204696655
Regular Singular,sigh,device,11.77890944480896,17.361876010894775
Regular Plural,sighs,device,15.080350160598755,15.18387246131897
Sibilant Singular,praise,getter,11.934329986572266,17.59154486656189
Sibilant Plural,praises,getter,15.278694152832031,15.547137975692749
Regular Singular,tray,getter,13.678313493728638,18.56808042526245
Regular Plural,trays,getter,15.548497438430786,15.687968730926514
Sibilant Singular,bruise,expert,13.293884038925171,11.756678819656372
Sibilant Plural,bruises,expert,14.291191816329956,13.592671155929565
Regular Singular,brew,expert,12.729862213134766,12.72481632232666
Regular Plural,brews,expert,13.61338186264038,17.814760208129883
Sibilant Singular,raise,seeker,11.325541019439697,14.39882230758667
Sibilant Plural,raises,seeker,15.522873401641846,17.06743550300598
Regular Singular,ray,seeker,9.430656433105469,15.700807571411133
Regular Plural,rays,seeker,13.10273027420044,17.29659342765808
Sibilant Singular,blaze,admirer,13.25393795967102,15.133763551712036
Sibilant Plural,blazes,admirer,15.071194648742676,15.078858852386475
Regular Singular,play,admirer,9.065731048583984,13.5955650806427
Regular Plural,plays,admirer,11.996939420700073,12.107088088989258
Sibilant Singular,vase,steward,13.785251379013062,14.00264286994934
Sibilant Plural,vases,steward,15.784436702728271,14.856327533721924
Regular Singular,bee,steward,9.213135719299316,15.12137508392334
Regular Plural,bees,steward,13.108554363250732,12.445276498794556
Sibilant Singular,fox,avoiders,10.8491792678833,20.763277292251587
Sibilant Plural,foxes,avoiders,14.095373153686523,18.983113050460815
Regular Singular,shock,avoiders,11.591591835021973,20.993713855743408
Regular Plural,shocks,avoiders,14.194804430007935,20.14928102493286
Sibilant Singular,maze,expert,13.012205123901367,17.22708511352539
Sibilant Plural,mazes,expert,17.946485996246338,12.375201225280762
Regular Singular,bay,expert,11.166507720947266,12.859607219696045
Regular Plural,bays,expert,14.415147066116333,13.432890892028809
Sibilant Singular,breeze,protector,13.992244243621826,13.301061868667603
Sibilant Plural,breezes,protector,15.82269549369812,13.4908287525177
Regular Singular,tree,protector,11.778595924377441,12.356704473495483
Regular Plural,trees,protector,12.918810367584229,12.878666400909424
Sibilant Singular,cause,evaluator,10.43494987487793,19.782129526138306
Sibilant Plural,causes,evaluator,12.01799726486206,20.31538462638855
Regular Singular,paw,evaluator,12.394286394119263,24.142784357070923
Regular Plural,paws,evaluator,15.392473220825195,20.625770568847656
Sibilant Singular,phase,fanatic,12.69689416885376,16.257288694381714
Sibilant Plural,phases,fanatic,15.414068222045898,16.411148071289062
Regular Singular,fee,fanatic,9.377247333526611,21.302613019943237
Regular Plural,fees,fanatic,14.92971658706665,15.199551582336426
Sibilant Singular,fax,man,13.85999870300293,3.5220565795898438
Sibilant Plural,faxes,man,17.29006028175354,7.563503265380859
Regular Singular,shack,man,13.049391984939575,7.28444766998291
Regular Plural,shacks,man,16.232985258102417,8.298185348510742
