Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,16.808472633361816,13.161844491958618
Sibilant Plural,hoses,collector,17.607772827148438,14.26981520652771
Regular Singular,hoe,collector,12.112528800964355,13.317710161209106
Regular Plural,hoes,collector,13.854657173156738,16.68781089782715
Sibilant Singular,rose,organizer,13.49930477142334,12.62579894065857
Sibilant Plural,roses,organizer,13.661437749862671,15.125398397445679
Regular Singular,row,organizer,10.668503761291504,13.845125198364258
Regular Plural,rows,organizer,12.586347579956055,13.896859169006348
Sibilant Singular,rise,addict,11.255605697631836,18.25951862335205
Sibilant Plural,rises,addict,12.4964017868042,19.5079984664917
Regular Singular,lie,addict,12.403145790100098,18.607869148254395
Regular Plural,lies,addict,10.352213382720947,19.50814437866211
Sibilant Singular,clause,hider,18.570277214050293,16.67055606842041
Sibilant Plural,clauses,hider,25.760643482208252,15.940650939941406
Regular Singular,claw,hider,17.967226028442383,15.904986381530762
Regular Plural,claws,hider,17.662694454193115,15.876977920532227
Sibilant Singular,gaze,attractor,17.649409294128418,18.90011692047119
Sibilant Plural,gazes,attractor,18.944268226623535,20.884583473205566
Regular Singular,guy,attractor,16.118867874145508,19.910548210144043
Regular Plural,guys,attractor,14.29788327217102,20.651235580444336
Sibilant Singular,box,horde,10.336750030517578,18.87655210494995
Sibilant Plural,boxes,horde,13.026345252990723,19.55613899230957
Regular Singular,book,horde,10.241533279418945,18.31207013130188
Regular Plural,books,horde,13.33087682723999,19.74259877204895
Sibilant Singular,sex,distinctions,11.618281364440918,14.79449987411499
Sibilant Plural,sexes,distinctions,17.783071517944336,15.546112537384033
Regular Singular,sack,distinctions,20.44368267059326,15.686847925186157
Regular Plural,sacks,distinctions,20.049814224243164,15.975992679595947
Sibilant Singular,tax,repayment,17.245826721191406,15.812572479248047
Sibilant Plural,taxes,repayment,22.10813808441162,17.72107195854187
Regular Singular,tack,repayment,14.533723831176758,15.506909847259521
Regular Plural,tacks,repayment,15.540631771087646,17.562684059143066
Sibilant Singular,size,device,17.147235870361328,9.458343505859375
Sibilant Plural,sizes,device,19.881447792053223,11.250494956970215
Regular Singular,sigh,device,18.384387016296387,9.89066219329834
Regular Plural,sighs,device,15.196547508239746,11.106539726257324
Sibilant Singular,praise,getter,21.745877265930176,20.182129859924316
Sibilant Plural,praises,getter,22.222942352294922,20.103723526000977
Regular Singular,tray,getter,13.048445224761963,19.419736862182617
Regular Plural,trays,getter,17.168046951293945,20.038339614868164
Sibilant Singular,bruise,expert,20.591854095458984,12.391975402832031
Sibilant Plural,bruises,expert,22.20179557800293,13.535978317260742
Regular Singular,brew,expert,13.390621662139893,12.146799087524414
Regular Plural,brews,expert,15.558305501937866,12.428967475891113
Sibilant Singular,raise,seeker,15.673139572143555,19.799396514892578
Sibilant Plural,raises,seeker,16.4729061126709,20.567620277404785
Regular Singular,ray,seeker,11.51832389831543,19.581496238708496
Regular Plural,rays,seeker,10.771086692810059,19.906350135803223
Sibilant Singular,blaze,admirer,15.736078262329102,15.973827838897705
Sibilant Plural,blazes,admirer,19.960845947265625,17.375012397766113
Regular Singular,play,admirer,10.512712478637695,16.609370708465576
Regular Plural,plays,admirer,12.79414176940918,16.643521308898926
Sibilant Singular,vase,steward,16.48641872406006,13.573169469833374
Sibilant Plural,vases,steward,15.937050819396973,14.725731611251831
Regular Singular,bee,steward,9.64143180847168,13.416522979736328
Regular Plural,bees,steward,12.2246994972229,14.6651132106781
Sibilant Singular,fox,avoiders,14.560693264007568,22.829644203186035
Sibilant Plural,foxes,avoiders,18.577017307281494,22.371581077575684
Regular Singular,shock,avoiders,14.06437873840332,22.744750022888184
Regular Plural,shocks,avoiders,14.677886009216309,23.13571834564209
Sibilant Singular,maze,expert,15.403066635131836,12.386417388916016
Sibilant Plural,mazes,expert,20.10294818878174,13.648843765258789
Regular Singular,bay,expert,12.130012035369873,11.461549758911133
Regular Plural,bays,expert,15.43205738067627,13.271038055419922
Sibilant Singular,breeze,protector,19.333505153656006,13.859646558761597
Sibilant Plural,breezes,protector,22.965335845947266,15.585471868515015
Regular Singular,tree,protector,11.39962387084961,16.622276782989502
Regular Plural,trees,protector,14.548290729522705,18.44188404083252
Sibilant Singular,cause,evaluator,11.163797378540039,20.126120567321777
Sibilant Plural,causes,evaluator,20.86422348022461,19.357826232910156
Regular Singular,paw,evaluator,14.78389310836792,19.1143159866333
Regular Plural,paws,evaluator,14.56078815460205,19.953904151916504
Sibilant Singular,phase,fanatic,19.40652847290039,13.630598068237305
Sibilant Plural,phases,fanatic,17.40114688873291,13.60568356513977
Regular Singular,fee,fanatic,14.750915050506592,13.551508903503418
Regular Plural,fees,fanatic,16.007148265838623,13.049082279205322
Sibilant Singular,fax,man,13.637495517730713,8.331905364990234
Sibilant Plural,faxes,man,17.432340145111084,10.088825225830078
Regular Singular,shack,man,15.537258625030518,8.540247917175293
Regular Plural,shacks,man,18.253522872924805,9.1627197265625
