Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,18.11576271057129,14.219180345535278
Sibilant Plural,hoses,collector,19.192593574523926,14.918931007385254
Regular Singular,hoe,collector,12.556544303894043,12.885764122009277
Regular Plural,hoes,collector,18.460618019104004,15.697338104248047
Sibilant Singular,rose,organizer,13.53938102722168,13.21741509437561
Sibilant Plural,roses,organizer,16.695565700531006,15.081596612930298
Regular Singular,row,organizer,12.116851806640625,15.439703226089478
Regular Plural,rows,organizer,11.985090255737305,16.928378582000732
Sibilant Singular,rise,addict,11.913703918457031,15.668275833129883
Sibilant Plural,rises,addict,18.643729209899902,14.258463859558105
Regular Singular,lie,addict,12.46898078918457,16.723443031311035
Regular Plural,lies,addict,15.248368263244629,14.189507007598877
Sibilant Singular,clause,hider,16.782264709472656,19.649828910827637
Sibilant Plural,clauses,hider,24.420517444610596,18.64384174346924
Regular Singular,claw,hider,17.16072654724121,16.92030906677246
Regular Plural,claws,hider,17.734543800354004,16.643805980682373
Sibilant Singular,gaze,attractor,19.323440551757812,17.04773235321045
Sibilant Plural,gazes,attractor,19.73043179512024,18.025087356567383
Regular Singular,guy,attractor,15.404520988464355,17.280808448791504
Regular Plural,guys,attractor,14.185615062713623,19.450763702392578
Sibilant Singular,box,horde,12.743593215942383,19.559977769851685
Sibilant Plural,boxes,horde,15.62145709991455,18.500394821166992
Regular Singular,book,horde,10.680488586425781,19.348292350769043
Regular Plural,books,horde,12.47830843925476,18.854475259780884
Sibilant Singular,sex,distinctions,12.799949645996094,13.34692656993866
Sibilant Plural,sexes,distinctions,20.788402557373047,15.61137580871582
Regular Singular,sack,distinctions,17.189529418945312,12.779513120651245
Regular Plural,sacks,distinctions,16.702083587646484,14.455394983291626
Sibilant Singular,tax,repayment,18.479910850524902,18.90683364868164
Sibilant Plural,taxes,repayment,23.033771514892578,20.15866231918335
Regular Singular,tack,repayment,16.357362270355225,20.030694484710693
Regular Plural,tacks,repayment,17.20168447494507,20.83627462387085
Sibilant Singular,size,device,15.50680923461914,9.544916152954102
Sibilant Plural,sizes,device,16.777908325195312,11.943821907043457
Regular Singular,sigh,device,16.58847141265869,9.949956893920898
Regular Plural,sighs,device,14.481732368469238,11.467947959899902
Sibilant Singular,praise,getter,18.235271692276,18.633102416992188
Sibilant Plural,praises,getter,21.18765354156494,19.30413007736206
Regular Singular,tray,getter,16.05345582962036,16.603336334228516
Regular Plural,trays,getter,18.433210849761963,19.38968801498413
Sibilant Singular,bruise,expert,25.798245429992676,12.101978302001953
Sibilant Plural,bruises,expert,27.90935707092285,14.69405746459961
Regular Singular,brew,expert,18.240139961242676,12.225262641906738
Regular Plural,brews,expert,19.74914312362671,13.738709449768066
Sibilant Singular,raise,seeker,14.179166793823242,17.321533203125
Sibilant Plural,raises,seeker,17.244077682495117,16.938023567199707
Regular Singular,ray,seeker,11.454691886901855,16.572989463806152
Regular Plural,rays,seeker,17.430465698242188,17.34566593170166
Sibilant Singular,blaze,admirer,16.999431133270264,13.009827852249146
Sibilant Plural,blazes,admirer,18.19558835029602,15.235886335372925
Regular Singular,play,admirer,11.468152046203613,13.320371150970459
Regular Plural,plays,admirer,13.100797653198242,16.883821487426758
Sibilant Singular,vase,steward,17.823829174041748,13.539367914199829
Sibilant Plural,vases,steward,18.822607040405273,16.467922687530518
Regular Singular,bee,steward,12.868842124938965,10.54785966873169
Regular Plural,bees,steward,16.950241565704346,16.717754364013672
Sibilant Singular,fox,avoiders,17.876943588256836,18.440999031066895
Sibilant Plural,foxes,avoiders,21.588736534118652,20.38570213317871
Regular Singular,shock,avoiders,17.62611484527588,20.08559226989746
Regular Plural,shocks,avoiders,17.81997776031494,21.19864559173584
Sibilant Singular,maze,expert,20.39482593536377,11.50354290008545
Sibilant Plural,mazes,expert,23.73168182373047,13.789467811584473
Regular Singular,bay,expert,16.910332679748535,11.876920700073242
Regular Plural,bays,expert,19.441798210144043,14.576480865478516
Sibilant Singular,breeze,protector,21.956568717956543,14.385669469833374
Sibilant Plural,breezes,protector,25.610886573791504,15.908776760101318
Regular Singular,tree,protector,11.699682235717773,16.137669563293457
Regular Plural,trees,protector,17.80278730392456,16.433350086212158
Sibilant Singular,cause,evaluator,10.555089950561523,20.121228218078613
Sibilant Plural,causes,evaluator,20.30058765411377,17.506429195404053
Regular Singular,paw,evaluator,17.08199691772461,14.78454303741455
Regular Plural,paws,evaluator,18.565178871154785,17.42115592956543
Sibilant Singular,phase,fanatic,17.55059576034546,13.430840015411377
Sibilant Plural,phases,fanatic,18.94308066368103,13.72463345527649
Regular Singular,fee,fanatic,15.43696928024292,13.097056865692139
Regular Plural,fees,fanatic,16.33860969543457,13.813388109207153
Sibilant Singular,fax,man,16.500067234039307,8.04069709777832
Sibilant Plural,faxes,man,18.754724502563477,10.134269714355469
Regular Singular,shack,man,16.111863613128662,8.183507919311523
Regular Plural,shacks,man,18.777596473693848,8.972223281860352
