Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,18.139336585998535,13.73216462135315
Sibilant Plural,hoses,collector,19.565171241760254,14.97850751876831
Regular Singular,hoe,collector,12.437026977539062,13.363124132156372
Regular Plural,hoes,collector,16.58114719390869,14.177241563796997
Sibilant Singular,rose,organizer,14.062652587890625,12.514464974403381
Sibilant Plural,roses,organizer,18.330318450927734,13.684559106826782
Regular Singular,row,organizer,12.399337768554688,14.74865198135376
Regular Plural,rows,organizer,13.219498634338379,14.46024203300476
Sibilant Singular,rise,addict,12.24259090423584,17.928019046783447
Sibilant Plural,rises,addict,14.881185531616211,17.687270641326904
Regular Singular,lie,addict,11.511890411376953,19.10247039794922
Regular Plural,lies,addict,13.604061603546143,18.632246017456055
Sibilant Singular,clause,hider,17.472332000732422,20.049153327941895
Sibilant Plural,clauses,hider,22.84049892425537,19.5698299407959
Regular Singular,claw,hider,17.661526679992676,18.582202911376953
Regular Plural,claws,hider,17.553536415100098,18.356467247009277
Sibilant Singular,gaze,attractor,19.496870040893555,18.127429008483887
Sibilant Plural,gazes,attractor,21.248896598815918,20.00415802001953
Regular Singular,guy,attractor,14.822123527526855,18.755104541778564
Regular Plural,guys,attractor,13.720559358596802,20.01235055923462
Sibilant Singular,box,horde,11.167997360229492,22.14516258239746
Sibilant Plural,boxes,horde,13.972744941711426,22.305368900299072
Regular Singular,book,horde,11.669564247131348,22.401469469070435
Regular Plural,books,horde,14.543013572692871,22.679172039031982
Sibilant Singular,sex,distinctions,13.0210542678833,15.208621978759766
Sibilant Plural,sexes,distinctions,20.87228775024414,15.707447528839111
Regular Singular,sack,distinctions,17.541842937469482,15.827528476715088
Regular Plural,sacks,distinctions,17.67422342300415,15.93242597579956
Sibilant Singular,tax,repayment,17.92205047607422,16.56136465072632
Sibilant Plural,taxes,repayment,22.346057415008545,16.798712730407715
Regular Singular,tack,repayment,15.763447761535645,15.617212772369385
Regular Plural,tacks,repayment,17.209895133972168,16.931519031524658
Sibilant Singular,size,device,15.35678243637085,9.67149829864502
Sibilant Plural,sizes,device,17.13852834701538,11.3223295211792
Regular Singular,sigh,device,15.152742862701416,10.292673110961914
Regular Plural,sighs,device,14.843391418457031,11.762838363647461
Sibilant Singular,praise,getter,20.397146224975586,19.660420417785645
Sibilant Plural,praises,getter,22.193781852722168,20.442331314086914
Regular Singular,tray,getter,15.930733680725098,18.946975708007812
Regular Plural,trays,getter,17.41694736480713,19.457478523254395
Sibilant Singular,bruise,expert,21.073713779449463,12.105146408081055
Sibilant Plural,bruises,expert,22.393288612365723,13.480695724487305
Regular Singular,brew,expert,15.01979398727417,12.202018737792969
Regular Plural,brews,expert,17.123920679092407,12.733800888061523
Sibilant Singular,raise,seeker,16.35127353668213,18.516895294189453
Sibilant Plural,raises,seeker,18.468270301818848,19.522951126098633
Regular Singular,ray,seeker,12.862354278564453,18.504752159118652
Regular Plural,rays,seeker,15.19345235824585,18.927743911743164
Sibilant Singular,blaze,admirer,17.680813789367676,16.662227153778076
Sibilant Plural,blazes,admirer,19.859264373779297,17.456042289733887
Regular Singular,play,admirer,11.013118743896484,16.20569372177124
Regular Plural,plays,admirer,13.592121124267578,17.43097972869873
Sibilant Singular,vase,steward,16.496864318847656,13.349488019943237
Sibilant Plural,vases,steward,18.054673194885254,14.553401470184326
Regular Singular,bee,steward,12.353720664978027,13.23464584350586
Regular Plural,bees,steward,15.561968803405762,15.228891372680664
Sibilant Singular,fox,avoiders,16.25357961654663,21.67931365966797
Sibilant Plural,foxes,avoiders,19.621758460998535,22.05230712890625
Regular Singular,shock,avoiders,15.235488653182983,21.37430477142334
Regular Plural,shocks,avoiders,18.007033348083496,22.131404876708984
Sibilant Singular,maze,expert,17.729043006896973,12.241867065429688
Sibilant Plural,mazes,expert,22.210981369018555,13.344761848449707
Regular Singular,bay,expert,14.193012237548828,12.056659698486328
Regular Plural,bays,expert,16.682190895080566,12.973724365234375
Sibilant Singular,breeze,protector,20.040557384490967,14.446751594543457
Sibilant Plural,breezes,protector,23.550220012664795,14.897146701812744
Regular Singular,tree,protector,12.52879810333252,16.86426305770874
Regular Plural,trees,protector,16.063870429992676,17.006433486938477
Sibilant Singular,cause,evaluator,11.131880760192871,22.237332820892334
Sibilant Plural,causes,evaluator,22.654539108276367,20.736401557922363
Regular Singular,paw,evaluator,15.78097677230835,20.085742950439453
Regular Plural,paws,evaluator,16.230758666992188,22.330119132995605
Sibilant Singular,phase,fanatic,20.061691284179688,15.247964859008789
Sibilant Plural,phases,fanatic,18.724981784820557,14.638026475906372
Regular Singular,fee,fanatic,13.690458536148071,15.602669715881348
Regular Plural,fees,fanatic,16.6416974067688,14.954447746276855
Sibilant Singular,fax,man,14.7191481590271,8.652477264404297
Sibilant Plural,faxes,man,18.72882318496704,10.787851333618164
Regular Singular,shack,man,16.756978511810303,8.699243545532227
Regular Plural,shacks,man,18.128862857818604,9.076018333435059
