Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,13.04747486114502,11.915728330612183
Sibilant Plural,hoses,collector,14.979872703552246,13.12040376663208
Regular Singular,hoe,collector,14.302307605743408,13.369851112365723
Regular Plural,hoes,collector,15.174547672271729,15.846770286560059
Sibilant Singular,rose,organizer,10.958633422851562,18.843382358551025
Sibilant Plural,roses,organizer,12.051828384399414,19.99260711669922
Regular Singular,row,organizer,10.838299751281738,18.282536506652832
Regular Plural,rows,organizer,11.800875663757324,19.309165000915527
Sibilant Singular,rise,addict,11.270956039428711,18.653477668762207
Sibilant Plural,rises,addict,13.748475074768066,21.688335418701172
Regular Singular,lie,addict,10.767232894897461,16.83619213104248
Regular Plural,lies,addict,11.16844367980957,17.60066795349121
Sibilant Singular,clause,hider,14.136588096618652,21.35145378112793
Sibilant Plural,clauses,hider,14.588606357574463,19.085915088653564
Regular Singular,claw,hider,14.5585618019104,18.010100841522217
Regular Plural,claws,hider,12.35004997253418,18.89737606048584
Sibilant Singular,gaze,attractor,11.757723808288574,23.383642196655273
Sibilant Plural,gazes,attractor,16.011442184448242,23.067500114440918
Regular Singular,guy,attractor,9.542582511901855,22.479032516479492
Regular Plural,guys,attractor,10.274072647094727,23.20046329498291
Sibilant Singular,box,horde,9.471776008605957,19.924665689468384
Sibilant Plural,boxes,horde,11.441662788391113,20.88509726524353
Regular Singular,book,horde,9.066044807434082,19.094404458999634
Regular Plural,books,horde,10.022229194641113,20.447500944137573
Sibilant Singular,sex,distinctions,10.664773941040039,14.421945929527283
Sibilant Plural,sexes,distinctions,16.089033126831055,18.348576545715332
Regular Singular,sack,distinctions,12.64522933959961,16.328783988952637
Regular Plural,sacks,distinctions,14.42456579208374,19.135528087615967
Sibilant Singular,tax,repayment,11.09320068359375,8.03183889389038
Sibilant Plural,taxes,repayment,13.277339935302734,12.39949345588684
Regular Singular,tack,repayment,13.598276138305664,16.70456314086914
Regular Plural,tacks,repayment,16.076868534088135,15.180148720741272
Sibilant Singular,size,device,10.518157958984375,13.09832763671875
Sibilant Plural,sizes,device,12.957463264465332,13.537798881530762
Regular Singular,sigh,device,12.591720581054688,17.549150466918945
Regular Plural,sighs,device,13.848475933074951,15.403416633605957
Sibilant Singular,praise,getter,12.984107971191406,21.771305084228516
Sibilant Plural,praises,getter,12.551628708839417,21.28200054168701
Regular Singular,tray,getter,11.934212684631348,19.0721492767334
Regular Plural,trays,getter,13.389568090438843,19.02510690689087
Sibilant Singular,bruise,expert,15.609688520431519,15.175766944885254
Sibilant Plural,bruises,expert,14.293559074401855,14.368311882019043
Regular Singular,brew,expert,14.144588708877563,13.499455451965332
Regular Plural,brews,expert,14.335869312286377,11.830404281616211
Sibilant Singular,raise,seeker,11.191311836242676,18.44496440887451
Sibilant Plural,raises,seeker,11.52337396144867,20.801980018615723
Regular Singular,ray,seeker,11.427520275115967,21.083958625793457
Regular Plural,rays,seeker,11.939629554748535,18.459752082824707
Sibilant Singular,blaze,admirer,12.699668407440186,16.892590045928955
Sibilant Plural,blazes,admirer,13.933802127838135,19.796142578125
Regular Singular,play,admirer,7.991559982299805,18.349374771118164
Regular Plural,plays,admirer,10.16073989868164,17.537673950195312
Sibilant Singular,vase,steward,14.352947235107422,13.45750904083252
Sibilant Plural,vases,steward,13.682547569274902,18.013205528259277
Regular Singular,bee,steward,12.906363487243652,14.03743314743042
Regular Plural,bees,steward,14.196178436279297,18.649202346801758
Sibilant Singular,fox,avoiders,11.711369514465332,22.60089874267578
Sibilant Plural,foxes,avoiders,13.105732917785645,24.48025417327881
Regular Singular,shock,avoiders,13.071539878845215,20.141679286956787
Regular Plural,shocks,avoiders,15.392588138580322,24.05425262451172
Sibilant Singular,maze,expert,14.098793983459473,11.933025360107422
Sibilant Plural,mazes,expert,15.802339792251587,12.174479484558105
Regular Singular,bay,expert,12.215597152709961,13.96412467956543
Regular Plural,bays,expert,15.093667984008789,10.781376838684082
Sibilant Singular,breeze,protector,12.609171867370605,16.80144500732422
Sibilant Plural,breezes,protector,14.6950044631958,17.045181274414062
Regular Singular,tree,protector,10.365610122680664,12.689143896102905
Regular Plural,trees,protector,11.090182304382324,16.697449684143066
Sibilant Singular,cause,evaluator,10.06832504272461,20.602138996124268
Sibilant Plural,causes,evaluator,11.135222434997559,18.071813583374023
Regular Singular,paw,evaluator,12.253155708312988,23.93912649154663
Regular Plural,paws,evaluator,12.366743087768555,24.249806880950928
Sibilant Singular,phase,fanatic,12.144497871398926,18.77027702331543
Sibilant Plural,phases,fanatic,13.925670862197876,16.52633762359619
Regular Singular,fee,fanatic,13.63231086730957,14.273818731307983
Regular Plural,fees,fanatic,12.501518487930298,16.884861946105957
Sibilant Singular,fax,man,14.514247417449951,8.925086975097656
Sibilant Plural,faxes,man,18.336116313934326,10.364456176757812
Regular Singular,shack,man,14.613513946533203,9.364365577697754
Regular Plural,shacks,man,15.970266342163086,10.64915943145752
