Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,12.851587295532227,10.190031290054321
Sibilant Plural,hoses,collector,14.392480850219727,13.540053367614746
Regular Singular,hoe,collector,14.052563667297363,11.176596641540527
Regular Plural,hoes,collector,16.363713264465332,15.620769023895264
Sibilant Singular,rose,organizer,11.117488861083984,17.662850379943848
Sibilant Plural,roses,organizer,12.510870933532715,18.444822788238525
Regular Singular,row,organizer,10.860099792480469,17.366294860839844
Regular Plural,rows,organizer,12.928194999694824,21.29121494293213
Sibilant Singular,rise,addict,11.385387420654297,17.647536277770996
Sibilant Plural,rises,addict,13.262139320373535,19.153618812561035
Regular Singular,lie,addict,10.742766380310059,17.175232887268066
Regular Plural,lies,addict,11.762332916259766,17.234511375427246
Sibilant Singular,clause,hider,15.231930255889893,23.039504051208496
Sibilant Plural,clauses,hider,15.80652666091919,17.766530990600586
Regular Singular,claw,hider,13.940030097961426,17.268760681152344
Regular Plural,claws,hider,12.899764060974121,17.39608860015869
Sibilant Singular,gaze,attractor,12.661166191101074,18.32046127319336
Sibilant Plural,gazes,attractor,16.195590496063232,19.76204776763916
Regular Singular,guy,attractor,10.292726516723633,20.78166675567627
Regular Plural,guys,attractor,9.619585037231445,20.470170974731445
Sibilant Singular,box,horde,9.623764991760254,18.466517448425293
Sibilant Plural,boxes,horde,12.358774185180664,19.693158388137817
Regular Singular,book,horde,9.594586372375488,19.043325662612915
Regular Plural,books,horde,10.62253189086914,21.225276231765747
Sibilant Singular,sex,distinctions,11.981429100036621,14.045873641967773
Sibilant Plural,sexes,distinctions,16.106050968170166,15.292224168777466
Regular Singular,sack,distinctions,13.328238487243652,17.021358728408813
Regular Plural,sacks,distinctions,13.74092960357666,16.263482332229614
Sibilant Singular,tax,repayment,12.118587493896484,10.548970222473145
Sibilant Plural,taxes,repayment,13.623404502868652,15.215702056884766
Regular Singular,tack,repayment,14.395012855529785,16.33513355255127
Regular Plural,tacks,repayment,14.833505630493164,18.72717809677124
Sibilant Singular,size,device,11.68382453918457,14.196795463562012
Sibilant Plural,sizes,device,13.861835479736328,14.249785423278809
Regular Singular,sigh,device,12.908631324768066,14.420551300048828
Regular Plural,sighs,device,13.436638832092285,15.085493087768555
Sibilant Singular,praise,getter,11.817584037780762,20.403727531433105
Sibilant Plural,praises,getter,13.202900409698486,20.89029026031494
Regular Singular,tray,getter,11.934616088867188,18.88398790359497
Regular Plural,trays,getter,14.011306762695312,19.84499740600586
Sibilant Singular,bruise,expert,14.583141565322876,13.223532676696777
Sibilant Plural,bruises,expert,14.34351110458374,13.42592716217041
Regular Singular,brew,expert,14.720242261886597,12.454267501831055
Regular Plural,brews,expert,16.572129249572754,12.496667861938477
Sibilant Singular,raise,seeker,11.134761810302734,17.79527759552002
Sibilant Plural,raises,seeker,12.339955925941467,20.83719539642334
Regular Singular,ray,seeker,13.353401184082031,19.313868522644043
Regular Plural,rays,seeker,12.431463241577148,21.843050003051758
Sibilant Singular,blaze,admirer,13.74926471710205,15.932446956634521
Sibilant Plural,blazes,admirer,14.236180067062378,21.197755813598633
Regular Singular,play,admirer,8.644660949707031,15.007546424865723
Regular Plural,plays,admirer,10.416863441467285,14.448432683944702
Sibilant Singular,vase,steward,13.98995304107666,14.352086305618286
Sibilant Plural,vases,steward,15.647313594818115,15.111982345581055
Regular Singular,bee,steward,12.827339172363281,15.80970573425293
Regular Plural,bees,steward,12.472358703613281,19.85601043701172
Sibilant Singular,fox,avoiders,11.666812896728516,17.740766048431396
Sibilant Plural,foxes,avoiders,14.013073444366455,21.55557632446289
Regular Singular,shock,avoiders,12.846478462219238,19.17654800415039
Regular Plural,shocks,avoiders,15.564948797225952,20.297794342041016
Sibilant Singular,maze,expert,15.087825775146484,13.18283462524414
Sibilant Plural,mazes,expert,19.35367703437805,12.924726486206055
Regular Singular,bay,expert,12.056310653686523,13.642375946044922
Regular Plural,bays,expert,15.602065563201904,13.325461387634277
Sibilant Singular,breeze,protector,12.077820777893066,15.92439603805542
Sibilant Plural,breezes,protector,14.66138243675232,17.44366216659546
Regular Singular,tree,protector,10.42752456665039,13.82371711730957
Regular Plural,trees,protector,10.6546630859375,18.1971435546875
Sibilant Singular,cause,evaluator,9.47430419921875,18.62370491027832
Sibilant Plural,causes,evaluator,11.458499908447266,17.66843605041504
Regular Singular,paw,evaluator,13.101191520690918,22.42616081237793
Regular Plural,paws,evaluator,13.175703048706055,25.144192695617676
Sibilant Singular,phase,fanatic,12.81328010559082,15.29544448852539
Sibilant Plural,phases,fanatic,14.482493877410889,15.199217557907104
Regular Singular,fee,fanatic,13.416565895080566,12.44434380531311
Regular Plural,fees,fanatic,12.837128162384033,14.286348342895508
Sibilant Singular,fax,man,14.581223011016846,7.908897876739502
Sibilant Plural,faxes,man,18.878939151763916,10.737739562988281
Regular Singular,shack,man,14.851262092590332,8.193087577819824
Regular Plural,shacks,man,17.26887607574463,9.44977855682373
