Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,14.029889583587646,13.480207204818726
Sibilant Plural,hoses,collector,17.64704704284668,16.341769695281982
Regular Singular,hoe,collector,15.882644653320312,13.590447664260864
Regular Plural,hoes,collector,17.407806396484375,16.492350101470947
Sibilant Singular,rose,organizer,10.573602676391602,16.5601806640625
Sibilant Plural,roses,organizer,14.018033981323242,19.132622003555298
Regular Singular,row,organizer,11.437933921813965,18.06649160385132
Regular Plural,rows,organizer,12.818703651428223,18.570610761642456
Sibilant Singular,rise,addict,11.574240684509277,14.973233222961426
Sibilant Plural,rises,addict,14.512017726898193,14.40603256225586
Regular Singular,lie,addict,10.146825790405273,16.66502285003662
Regular Plural,lies,addict,11.80290699005127,16.484366416931152
Sibilant Singular,clause,hider,13.62996530532837,18.344172477722168
Sibilant Plural,clauses,hider,14.321409702301025,19.123180389404297
Regular Singular,claw,hider,14.35069227218628,18.927427291870117
Regular Plural,claws,hider,14.35033130645752,18.574398040771484
Sibilant Singular,gaze,attractor,12.911683082580566,21.111342430114746
Sibilant Plural,gazes,attractor,17.587860345840454,20.617594718933105
Regular Singular,guy,attractor,10.462114334106445,19.71286392211914
Regular Plural,guys,attractor,9.691620826721191,21.7587251663208
Sibilant Singular,box,horde,9.823383331298828,21.59060764312744
Sibilant Plural,boxes,horde,11.479026794433594,22.69833540916443
Regular Singular,book,horde,9.160431861877441,20.96426749229431
Regular Plural,books,horde,10.220324516296387,20.82380175590515
Sibilant Singular,sex,distinctions,11.99995231628418,14.437330722808838
Sibilant Plural,sexes,distinctions,15.33979320526123,16.056951761245728
Regular Singular,sack,distinctions,12.77558708190918,17.963083744049072
Regular Plural,sacks,distinctions,15.283979415893555,16.858466148376465
Sibilant Singular,tax,repayment,11.672248840332031,12.586433410644531
Sibilant Plural,taxes,repayment,12.904916763305664,17.532219886779785
Regular Singular,tack,repayment,14.75539779663086,18.55962610244751
Regular Plural,tacks,repayment,15.737551212310791,18.854248046875
Sibilant Singular,size,device,10.74981689453125,11.891846656799316
Sibilant Plural,sizes,device,12.519086360931396,11.504195213317871
Regular Singular,sigh,device,12.868437767028809,13.143917083740234
Regular Plural,sighs,device,14.09748888015747,12.875988960266113
Sibilant Singular,praise,getter,12.051513671875,20.114181518554688
Sibilant Plural,praises,getter,14.229326009750366,22.385955810546875
Regular Singular,tray,getter,12.51724910736084,18.56201410293579
Regular Plural,trays,getter,18.02449369430542,20.927209854125977
Sibilant Singular,bruise,expert,14.46151876449585,14.187261581420898
Sibilant Plural,bruises,expert,13.138316988945007,14.079497337341309
Regular Singular,brew,expert,14.286977291107178,11.826231002807617
Regular Plural,brews,expert,16.268348932266235,12.92718505859375
Sibilant Singular,raise,seeker,10.837980270385742,20.46385097503662
Sibilant Plural,raises,seeker,14.043127059936523,19.589204788208008
Regular Singular,ray,seeker,13.961355686187744,20.399941444396973
Regular Plural,rays,seeker,13.905957221984863,20.8882474899292
Sibilant Singular,blaze,admirer,13.555178880691528,14.016421556472778
Sibilant Plural,blazes,admirer,16.69296360015869,17.433260679244995
Regular Singular,play,admirer,8.019037246704102,13.639860391616821
Regular Plural,plays,admirer,10.363478660583496,14.239303350448608
Sibilant Singular,vase,steward,14.691736221313477,12.34096097946167
Sibilant Plural,vases,steward,15.500174045562744,15.266735553741455
Regular Singular,bee,steward,13.001100540161133,14.327730655670166
Regular Plural,bees,steward,12.987075805664062,16.554970741271973
Sibilant Singular,fox,avoiders,11.639019966125488,24.44027328491211
Sibilant Plural,foxes,avoiders,15.012067556381226,24.09004020690918
Regular Singular,shock,avoiders,12.138922691345215,22.162073135375977
Regular Plural,shocks,avoiders,16.605242252349854,22.778828620910645
Sibilant Singular,maze,expert,14.487072944641113,12.926647186279297
Sibilant Plural,mazes,expert,18.71638798713684,13.00670337677002
Regular Singular,bay,expert,13.068227767944336,12.901893615722656
Regular Plural,bays,expert,15.224915504455566,14.32761287689209
Sibilant Singular,breeze,protector,13.733696937561035,18.602692127227783
Sibilant Plural,breezes,protector,14.323986291885376,15.232175827026367
Regular Singular,tree,protector,9.749345779418945,16.051920413970947
Regular Plural,trees,protector,10.263192176818848,18.985804080963135
Sibilant Singular,cause,evaluator,10.424360275268555,20.527064323425293
Sibilant Plural,causes,evaluator,12.257073402404785,19.336990356445312
Regular Singular,paw,evaluator,13.689019203186035,18.572608947753906
Regular Plural,paws,evaluator,14.780753135681152,21.99376678466797
Sibilant Singular,phase,fanatic,13.016034126281738,15.057223081588745
Sibilant Plural,phases,fanatic,15.67652440071106,12.45738410949707
Regular Singular,fee,fanatic,13.555217742919922,14.46337103843689
Regular Plural,fees,fanatic,14.873103618621826,12.136560678482056
Sibilant Singular,fax,man,14.148072242736816,7.2092132568359375
Sibilant Plural,faxes,man,15.696107387542725,8.875656127929688
Regular Singular,shack,man,16.380812644958496,9.106861114501953
Regular Plural,shacks,man,18.91327953338623,10.0477933883667
