Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,11.420844554901123,13.49674916267395
Sibilant Plural,hoses,collector,16.97986078262329,11.97442364692688
Regular Singular,hoe,collector,11.857915878295898,11.120879650115967
Regular Plural,hoes,collector,15.949370384216309,11.863375186920166
Sibilant Singular,rose,organizer,10.79940390586853,15.201141357421875
Sibilant Plural,roses,organizer,13.906336545944214,15.032284498214722
Regular Singular,row,organizer,10.279353618621826,14.092432260513306
Regular Plural,rows,organizer,12.61542820930481,15.020054340362549
Sibilant Singular,rise,addict,10.468477249145508,14.400161504745483
Sibilant Plural,rises,addict,12.990293025970459,14.645941734313965
Regular Singular,lie,addict,10.262898921966553,13.257277965545654
Regular Plural,lies,addict,11.99883508682251,15.942364931106567
Sibilant Singular,clause,hider,14.487234592437744,15.53967809677124
Sibilant Plural,clauses,hider,14.395148754119873,19.211735725402832
Regular Singular,claw,hider,14.497462511062622,16.70654296875
Regular Plural,claws,hider,14.311145544052124,18.447141408920288
Sibilant Singular,gaze,attractor,16.882400035858154,14.970723628997803
Sibilant Plural,gazes,attractor,20.69939923286438,15.716044187545776
Regular Singular,guy,attractor,10.292972803115845,18.00951075553894
Regular Plural,guys,attractor,10.6508629322052,19.107287645339966
Sibilant Singular,box,horde,11.030777931213379,20.463213443756104
Sibilant Plural,boxes,horde,12.85813307762146,20.54969620704651
Regular Singular,book,horde,10.62820053100586,16.80022954940796
Regular Plural,books,horde,11.352066993713379,21.727871656417847
Sibilant Singular,sex,distinctions,12.902129411697388,13.01180911064148
Sibilant Plural,sexes,distinctions,16.461386919021606,14.837494850158691
Regular Singular,sack,distinctions,12.372918844223022,15.623018026351929
Regular Plural,sacks,distinctions,13.776170492172241,18.520183086395264
Sibilant Singular,tax,repayment,15.006017923355103,11.799639225006104
Sibilant Plural,taxes,repayment,15.28442668914795,14.758467674255371
Regular Singular,tack,repayment,12.678617715835571,14.029608726501465
Regular Plural,tacks,repayment,13.698912143707275,15.816778182983398
Sibilant Singular,size,device,12.94080638885498,8.419605731964111
Sibilant Plural,sizes,device,17.189922332763672,11.145936012268066
Regular Singular,sigh,device,15.588303327560425,14.354824542999268
Regular Plural,sighs,device,16.599565267562866,15.502958297729492
Sibilant Singular,praise,getter,12.918506383895874,17.183037281036377
Sibilant Plural,praises,getter,15.900952100753784,15.633571147918701
Regular Singular,tray,getter,14.438026905059814,14.695888042449951
Regular Plural,trays,getter,17.51947855949402,15.06351613998413
Sibilant Singular,bruise,expert,16.38284683227539,15.855809926986694
Sibilant Plural,bruises,expert,16.644947052001953,13.670364379882812
Regular Singular,brew,expert,15.232025623321533,12.49397611618042
Regular Plural,brews,expert,14.788585424423218,12.320975542068481
Sibilant Singular,raise,seeker,9.35593318939209,16.590850830078125
Sibilant Plural,raises,seeker,10.570974349975586,17.241129398345947
Regular Singular,ray,seeker,8.615978002548218,14.744628429412842
Regular Plural,rays,seeker,12.263000965118408,17.11392831802368
Sibilant Singular,blaze,admirer,16.992829084396362,14.777673959732056
Sibilant Plural,blazes,admirer,16.067861318588257,17.766356945037842
Regular Singular,play,admirer,10.795458316802979,14.380744218826294
Regular Plural,plays,admirer,12.708588123321533,15.213487148284912
Sibilant Singular,vase,steward,13.447251558303833,13.353265047073364
Sibilant Plural,vases,steward,14.783723592758179,19.68357825279236
Regular Singular,bee,steward,12.117479801177979,14.302365779876709
Regular Plural,bees,steward,12.856258869171143,17.327685594558716
Sibilant Singular,fox,avoiders,12.953626155853271,18.791195154190063
Sibilant Plural,foxes,avoiders,14.658624410629272,22.96688175201416
Regular Singular,shock,avoiders,14.012099742889404,16.395898818969727
Regular Plural,shocks,avoiders,17.331820964813232,20.125396728515625
Sibilant Singular,maze,expert,14.856895685195923,11.365850925445557
Sibilant Plural,mazes,expert,18.445956468582153,14.308668613433838
Regular Singular,bay,expert,12.817142009735107,12.17301082611084
Regular Plural,bays,expert,16.08393955230713,12.23115348815918
Sibilant Singular,breeze,protector,15.935685396194458,11.047292232513428
Sibilant Plural,breezes,protector,18.57919430732727,13.204407215118408
Regular Singular,tree,protector,14.847322940826416,13.253770351409912
Regular Plural,trees,protector,14.479917049407959,14.69394826889038
Sibilant Singular,cause,evaluator,10.56879448890686,17.61892080307007
Sibilant Plural,causes,evaluator,16.183879613876343,16.104079961776733
Regular Singular,paw,evaluator,16.170345783233643,14.92416763305664
Regular Plural,paws,evaluator,15.200591564178467,19.314106941223145
Sibilant Singular,phase,fanatic,14.206355571746826,19.207844972610474
Sibilant Plural,phases,fanatic,15.925052165985107,18.68617820739746
Regular Singular,fee,fanatic,14.109193086624146,16.834805250167847
Regular Plural,fees,fanatic,18.830743551254272,17.094171047210693
Sibilant Singular,fax,man,14.657464027404785,7.518288850784302
Sibilant Plural,faxes,man,16.62878704071045,10.672606945037842
Regular Singular,shack,man,15.560672521591187,8.438989639282227
Regular Plural,shacks,man,16.451881170272827,11.781286239624023
