Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,16.114755153656006,11.801883935928345
Sibilant Plural,hoses,collector,16.883105754852295,13.52600383758545
Regular Singular,hoe,collector,13.876185417175293,14.359581232070923
Regular Plural,hoes,collector,16.114755153656006,11.801883935928345
Sibilant Singular,rose,organizer,9.223390340805054,17.847004890441895
Sibilant Plural,roses,organizer,12.690847158432007,17.841923236846924
Regular Singular,row,organizer,10.743616104125977,14.405685424804688
Regular Plural,rows,organizer,9.223390340805054,17.847004890441895
Sibilant Singular,rise,addict,9.925935983657837,15.785593032836914
Sibilant Plural,rises,addict,13.346116781234741,15.554900407791138
Regular Singular,lie,addict,9.025448560714722,15.60994553565979
Regular Plural,lies,addict,10.727524280548096,15.735364437103271
Sibilant Singular,clause,hider,14.168178081512451,15.053253889083862
Sibilant Plural,clauses,hider,16.06107234954834,15.024028778076172
Regular Singular,claw,hider,15.516338348388672,12.329032897949219
Regular Plural,claws,hider,14.168178081512451,15.053253889083862
Sibilant Singular,gaze,attractor,13.597850322723389,0.0
Sibilant Plural,gazes,attractor,15.751868724822998,0.0
Regular Singular,guy,attractor,12.298491954803467,0.0
Regular Plural,guys,attractor,11.161756992340088,0.0
Sibilant Singular,box,horde,13.102705240249634,13.984241008758545
Sibilant Plural,boxes,horde,14.074230432510376,16.50581431388855
Regular Singular,book,horde,11.982085227966309,15.918694972991943
Regular Plural,books,horde,11.788899898529053,16.08065938949585
Sibilant Singular,sex,distinctions,12.844208717346191,14.269338369369507
Sibilant Plural,sexes,distinctions,17.38298511505127,13.429693698883057
Regular Singular,sack,distinctions,14.915251731872559,14.440053939819336
Regular Plural,sacks,distinctions,13.381128787994385,16.135155200958252
Sibilant Singular,tax,repayment,12.268853425979614,13.27037763595581
Sibilant Plural,taxes,repayment,14.467521667480469,14.518803119659424
Regular Singular,tack,repayment,12.913913011550903,15.473084449768066
Regular Plural,tacks,repayment,12.268853425979614,13.27037763595581
Sibilant Singular,size,device,10.447047710418701,11.822793960571289
Sibilant Plural,sizes,device,13.848445415496826,11.346164226531982
Regular Singular,sigh,device,12.451380729675293,12.416761875152588
Regular Plural,sighs,device,10.447047710418701,11.822793960571289
Sibilant Singular,praise,getter,12.992968797683716,19.21373748779297
Sibilant Plural,praises,getter,15.704611539840698,15.622820377349854
Regular Singular,tray,getter,13.186683654785156,16.167527675628662
Regular Plural,trays,getter,15.987213611602783,16.877821445465088
Sibilant Singular,bruise,expert,16.39644169807434,13.913403034210205
Sibilant Plural,bruises,expert,15.112987279891968,14.907933712005615
Regular Singular,brew,expert,17.60657000541687,12.679152011871338
Regular Plural,brews,expert,16.39644169807434,13.913403034210205
Sibilant Singular,raise,seeker,9.460211038589478,14.440353393554688
Sibilant Plural,raises,seeker,10.293203115463257,15.923947095870972
Regular Singular,ray,seeker,7.6900951862335205,15.608842849731445
Regular Plural,rays,seeker,9.460211038589478,14.440353393554688
Sibilant Singular,blaze,admirer,15.63179898262024,16.056641340255737
Sibilant Plural,blazes,admirer,17.03486466407776,16.723766326904297
Regular Singular,play,admirer,10.391035556793213,13.268789291381836
Regular Plural,plays,admirer,11.217607021331787,14.198272705078125
Sibilant Singular,vase,steward,14.4200439453125,14.627453804016113
Sibilant Plural,vases,steward,17.360962390899658,14.764794826507568
Regular Singular,bee,steward,8.901850938796997,14.569715023040771
Regular Plural,bees,steward,12.307741403579712,15.837743997573853
Sibilant Singular,fox,avoiders,11.610005855560303,0.0
Sibilant Plural,foxes,avoiders,13.24260687828064,0.0
Regular Singular,shock,avoiders,14.036756992340088,0.0
Regular Plural,shocks,avoiders,17.033167362213135,0.0
Sibilant Singular,maze,expert,13.993125915527344,11.359764099121094
Sibilant Plural,mazes,expert,15.995241641998291,12.498742580413818
Regular Singular,bay,expert,14.584710121154785,12.026346683502197
Regular Plural,bays,expert,17.123075485229492,10.798236846923828
Sibilant Singular,breeze,protector,14.630706310272217,14.755556106567383
Sibilant Plural,breezes,protector,16.536560773849487,14.189290523529053
Regular Singular,tree,protector,10.388700485229492,10.607999324798584
Regular Plural,trees,protector,11.148869514465332,13.122486591339111
Sibilant Singular,cause,evaluator,10.297548294067383,0.0
Sibilant Plural,causes,evaluator,15.29042911529541,0.0
Regular Singular,paw,evaluator,14.647096157073975,0.0
Regular Plural,paws,evaluator,11.564328908920288,0.0
Sibilant Singular,phase,fanatic,14.701089859008789,18.829209327697754
Sibilant Plural,phases,fanatic,15.46881628036499,16.66554880142212
Regular Singular,fee,fanatic,14.051239490509033,14.992573738098145
Regular Plural,fees,fanatic,16.525171279907227,17.840245008468628
Sibilant Singular,fax,man,16.17513084411621,7.264294147491455
Sibilant Plural,faxes,man,17.48460865020752,7.280583620071411
Regular Singular,shack,man,15.402878761291504,7.0150065422058105
Regular Plural,shacks,man,18.29473304748535,9.090178728103638
