"File","formula","AIC"
"results_experiment_3_babble_phonetic_BPE_with_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance * plurality | Head)",408.581019299252
"results_experiment_3_babble_phonetic_char_no_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + sibilance_num * plurality_num || Head)",369.606339602812
"results_experiment_3_babble_phonetic_char_with_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance * plurality | Head)",366.090521326767
"results_experiment_3_babble_txt_BPE_with_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance | set) + (1 | Head)",408.462485216386
"results_experiment_3_babble_txt_char_no_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + plurality_num || set) + (1 | Head)",394.763346050365
"results_experiment_3_babble_txt_char_with_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num || set) + (1 + plurality_num || Head)",358.463118319642
"results_experiment_3_babyLlama_100M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance * plurality | Head)",317.374338452713
"results_experiment_3_babyLlama_10M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + sibilance_num * plurality_num || Head)",270.503671670162
"results_experiment_3_babyLlama_2_10M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance * plurality | Head)",317.77853745924
"results_experiment_3_CLASS_IT.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num + plurality_num || set) + (1 | Head)",399.089084747506
"results_experiment_3_distill_tree__360_10M.csv.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + sibilance_num * plurality_num || Head)",263.164347843865
"results_experiment_3_distill_tree__58_10M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance_num * plurality_num || Head)",256.816321569953
"results_experiment_3_distill_tree__95_10M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + sibilance_num || Head)",263.860461962987
"results_experiment_3_gpt_2_100M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num || set) + (1 | Head)",382.751100863354
"results_experiment_3_gpt_2_10M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num || set) + (1 + sibilance_num * plurality_num || Head)",332.059752317249
"results_experiment_3_gpt_bert_100M_causal.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance_num * plurality_num || Head)",375.065450035298
"results_experiment_3_gpt_bert_100M_masked.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num + plurality_num || set) + (1 + sibilance_num * plurality_num || Head)",367.612099169334
"results_experiment_3_gpt_bert_100M_mixed.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance | set) + (1 + plurality_num || Head)",380.534803740519
"results_experiment_3_gpt_bert_10M_causal.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 | Head)",377.394266132347
"results_experiment_3_gpt_bert_10M_masked.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + sibilance_num + plurality_num || Head)",328.890448883598
"results_experiment_3_gpt_bert_10M_mixed.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + plurality | Head)",348.984153481745
"results_experiment_3_gpt_wee_large.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + plurality | Head)",323.113167727125
"results_experiment_3_gpt_wee_medium.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 | Head)",285.007181983425
"results_experiment_3_gpt_wee_small.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 | Head)",259.878549391804
"results_experiment_3_grapheme_llama_no_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num || set) + (1 | Head)",355.978919345547
"results_experiment_3_grapheme_llama_with_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance | Head)",354.166312415445
"results_experiment_3_MOEP.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + plurality_num || set) + (1 + sibilance_num * plurality_num || Head)",323.107506269105
"results_experiment_3_MOP.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + sibilance_num + plurality_num || Head)",362.362991829639
"results_experiment_3_OPT_100M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + plurality | Head)",372.998125456788
"results_experiment_3_OPT_10M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 | Head)",395.271151183196
"results_experiment_3_phoneme_llama_no_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + plurality_num || set) + (1 + plurality_num || Head)",393.290447481475
"results_experiment_3_phoneme_llama_with_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 | Head)",342.526556081598
"results_experiment_3_what_if_baseline.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + sibilance_num || Head)",392.541991954244
"results_experiment_3_ZLATA.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance_num * plurality_num || Head)",291.178368358421
