Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,15.342004299163818,10.732940673828125
Sibilant Plural,hoses,collector,17.580265045166016,12.72473430633545
Regular Singular,hoe,collector,16.341711044311523,12.63127326965332
Regular Plural,hoes,collector,17.614145278930664,11.687938690185547
Sibilant Singular,rose,organizer,13.796529769897461,13.460180282592773
Sibilant Plural,roses,organizer,24.293269157409668,15.445076942443848
Regular Singular,row,organizer,13.205405235290527,13.776623725891113
Regular Plural,rows,organizer,12.91702938079834,16.826488494873047
Sibilant Singular,rise,addict,14.32928466796875,13.501310348510742
Sibilant Plural,rises,addict,15.378570556640625,14.133807182312012
Regular Singular,lie,addict,14.021879196166992,14.443084716796875
Regular Plural,lies,addict,14.185556411743164,16.15573501586914
Sibilant Singular,clause,hider,17.13927459716797,16.749788284301758
Sibilant Plural,clauses,hider,17.86162495613098,17.274261474609375
Regular Singular,claw,hider,15.968802452087402,15.936359405517578
Regular Plural,claws,hider,17.690383434295654,16.88820743560791
Sibilant Singular,gaze,attractor,17.23358154296875,13.267842769622803
Sibilant Plural,gazes,attractor,21.000901222229004,17.57225227355957
Regular Singular,guy,attractor,14.519956588745117,15.163323640823364
Regular Plural,guys,attractor,14.822768211364746,19.97818660736084
Sibilant Singular,box,horde,12.872581481933594,14.120328903198242
Sibilant Plural,boxes,horde,15.009673118591309,15.794452667236328
Regular Singular,book,horde,12.263527870178223,16.180187225341797
Regular Plural,books,horde,12.792518615722656,17.75930404663086
Sibilant Singular,sex,distinctions,12.640335083007812,12.755041122436523
Sibilant Plural,sexes,distinctions,19.509611129760742,11.466312408447266
Regular Singular,sack,distinctions,18.33149003982544,15.192408561706543
Regular Plural,sacks,distinctions,19.554380893707275,14.61295223236084
Sibilant Singular,tax,repayment,14.263057708740234,10.993324279785156
Sibilant Plural,taxes,repayment,16.768075942993164,11.796370506286621
Regular Singular,tack,repayment,17.161537647247314,13.653523445129395
Regular Plural,tacks,repayment,20.28498125076294,13.952177047729492
Sibilant Singular,size,device,12.557947158813477,9.055886268615723
Sibilant Plural,sizes,device,15.909836292266846,10.695733070373535
Regular Singular,sigh,device,17.27926015853882,12.326231956481934
Regular Plural,sighs,device,19.21273899078369,12.614956855773926
Sibilant Singular,praise,getter,16.378722667694092,12.930252313613892
Sibilant Plural,praises,getter,18.82478380203247,14.6179838180542
Regular Singular,tray,getter,17.663562774658203,14.840613842010498
Regular Plural,trays,getter,21.12468719482422,13.43081283569336
Sibilant Singular,bruise,expert,19.695562839508057,10.559843063354492
Sibilant Plural,bruises,expert,19.759838581085205,11.097304344177246
Regular Singular,brew,expert,14.862884521484375,9.82989501953125
Regular Plural,brews,expert,16.794550895690918,13.98066520690918
Sibilant Singular,raise,seeker,20.086734771728516,16.75756072998047
Sibilant Plural,raises,seeker,16.345723152160645,16.82080078125
Regular Singular,ray,seeker,12.41174602508545,12.091302871704102
Regular Plural,rays,seeker,14.28559684753418,15.504732131958008
Sibilant Singular,blaze,admirer,15.98800802230835,15.930401802062988
Sibilant Plural,blazes,admirer,18.833974838256836,15.242475032806396
Regular Singular,play,admirer,12.43104076385498,20.167024612426758
Regular Plural,plays,admirer,14.7373685836792,17.023566722869873
Sibilant Singular,vase,steward,17.041653633117676,13.369037389755249
Sibilant Plural,vases,steward,17.91030788421631,15.444528102874756
Regular Singular,bee,steward,14.373571395874023,13.749714851379395
Regular Plural,bees,steward,15.596918106079102,12.972420692443848
Sibilant Singular,fox,avoiders,14.27295970916748,18.969226360321045
Sibilant Plural,foxes,avoiders,18.523464679718018,20.540260314941406
Regular Singular,shock,avoiders,14.623525619506836,16.367328643798828
Regular Plural,shocks,avoiders,17.74143695831299,16.80823040008545
Sibilant Singular,maze,expert,16.627086639404297,9.731306076049805
Sibilant Plural,mazes,expert,19.07942485809326,10.04637336730957
Regular Singular,bay,expert,14.285085678100586,11.065093994140625
Regular Plural,bays,expert,20.20147705078125,9.306283950805664
Sibilant Singular,breeze,protector,17.579734802246094,10.308585166931152
Sibilant Plural,breezes,protector,20.055511474609375,11.698173522949219
Regular Singular,tree,protector,13.930932998657227,11.450464248657227
Regular Plural,trees,protector,15.8091139793396,13.132440567016602
Sibilant Singular,cause,evaluator,12.671090126037598,15.909036874771118
Sibilant Plural,causes,evaluator,15.66037368774414,18.405656814575195
Regular Singular,paw,evaluator,17.252780437469482,14.097668409347534
Regular Plural,paws,evaluator,17.192116260528564,14.922126770019531
Sibilant Singular,phase,fanatic,13.15172290802002,15.45672607421875
Sibilant Plural,phases,fanatic,16.069833278656006,15.896066665649414
Regular Singular,fee,fanatic,15.503820419311523,13.24986457824707
Regular Plural,fees,fanatic,17.184986114501953,14.681577682495117
Sibilant Singular,fax,man,15.90491771697998,9.151618957519531
Sibilant Plural,faxes,man,19.431553840637207,11.00990104675293
Regular Singular,shack,man,19.52506923675537,7.22910213470459
Regular Plural,shacks,man,21.72864532470703,8.893149375915527
