Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,13.714628219604492,12.803865432739258
Sibilant Plural,hoses,collector,18.439095497131348,12.060653686523438
Regular Singular,hoe,collector,15.438450813293457,11.528647422790527
Regular Plural,hoes,collector,15.690181732177734,12.802226066589355
Sibilant Singular,rose,organizer,12.222238540649414,13.810100555419922
Sibilant Plural,roses,organizer,16.85734224319458,17.0340576171875
Regular Singular,row,organizer,13.105283737182617,12.408862113952637
Regular Plural,rows,organizer,11.157753944396973,14.007675170898438
Sibilant Singular,rise,addict,15.662178039550781,14.312278747558594
Sibilant Plural,rises,addict,23.672727584838867,15.94810676574707
Regular Singular,lie,addict,15.972458839416504,14.822253227233887
Regular Plural,lies,addict,18.599262237548828,14.079964637756348
Sibilant Singular,clause,hider,15.513298034667969,17.019185066223145
Sibilant Plural,clauses,hider,19.275205850601196,16.525399684906006
Regular Singular,claw,hider,22.395910263061523,14.911734104156494
Regular Plural,claws,hider,17.740477085113525,15.629551887512207
Sibilant Singular,gaze,attractor,14.893938064575195,13.131941556930542
Sibilant Plural,gazes,attractor,18.918160438537598,14.628318786621094
Regular Singular,guy,attractor,15.441880226135254,18.02851104736328
Regular Plural,guys,attractor,11.722601652145386,19.26253652572632
Sibilant Singular,box,horde,14.030357360839844,12.974111557006836
Sibilant Plural,boxes,horde,17.946693420410156,14.727986335754395
Regular Singular,book,horde,12.844316482543945,14.175020217895508
Regular Plural,books,horde,13.737811088562012,19.717714309692383
Sibilant Singular,sex,distinctions,13.291877746582031,11.367050170898438
Sibilant Plural,sexes,distinctions,19.524356842041016,14.075446128845215
Regular Singular,sack,distinctions,14.035243034362793,15.299501419067383
Regular Plural,sacks,distinctions,18.22032928466797,15.951143264770508
Sibilant Singular,tax,repayment,12.515701293945312,11.07458782196045
Sibilant Plural,taxes,repayment,12.42438554763794,14.812000274658203
Regular Singular,tack,repayment,12.93024730682373,16.397981643676758
Regular Plural,tacks,repayment,16.915161609649658,18.196983337402344
Sibilant Singular,size,device,11.67139720916748,11.825366020202637
Sibilant Plural,sizes,device,15.48093032836914,10.925626754760742
Regular Singular,sigh,device,16.598512649536133,11.184989929199219
Regular Plural,sighs,device,19.035794734954834,11.236964225769043
Sibilant Singular,praise,getter,16.364530563354492,15.405187606811523
Sibilant Plural,praises,getter,19.025909185409546,15.533053398132324
Regular Singular,tray,getter,14.287139892578125,13.156025648117065
Regular Plural,trays,getter,15.122719764709473,17.835145950317383
Sibilant Singular,bruise,expert,17.29223871231079,12.048962593078613
Sibilant Plural,bruises,expert,18.39469337463379,10.634906768798828
Regular Singular,brew,expert,15.193485260009766,9.885236740112305
Regular Plural,brews,expert,18.538708686828613,10.764449119567871
Sibilant Singular,raise,seeker,19.63888168334961,19.627506256103516
Sibilant Plural,raises,seeker,18.192564964294434,14.809511184692383
Regular Singular,ray,seeker,16.708393096923828,10.622570037841797
Regular Plural,rays,seeker,17.539817810058594,15.61005973815918
Sibilant Singular,blaze,admirer,15.444812774658203,16.16475820541382
Sibilant Plural,blazes,admirer,20.751218795776367,18.32763147354126
Regular Singular,play,admirer,15.204418182373047,20.8765230178833
Regular Plural,plays,admirer,16.600587844848633,16.22037386894226
Sibilant Singular,vase,steward,14.549992561340332,15.453464984893799
Sibilant Plural,vases,steward,16.169562339782715,16.010046243667603
Regular Singular,bee,steward,17.09900665283203,12.885703086853027
Regular Plural,bees,steward,20.178035736083984,14.733520746231079
Sibilant Singular,fox,avoiders,13.724488258361816,20.641393184661865
Sibilant Plural,foxes,avoiders,17.20174217224121,21.84754753112793
Regular Singular,shock,avoiders,16.87685203552246,15.509368896484375
Regular Plural,shocks,avoiders,16.230252265930176,21.37040615081787
Sibilant Singular,maze,expert,13.443078994750977,10.43159294128418
Sibilant Plural,mazes,expert,18.610337734222412,10.369096755981445
Regular Singular,bay,expert,16.094158172607422,10.31700325012207
Regular Plural,bays,expert,16.299468994140625,10.82895565032959
Sibilant Singular,breeze,protector,15.45412802696228,13.610210418701172
Sibilant Plural,breezes,protector,18.142502784729004,12.69562816619873
Regular Singular,tree,protector,15.468091011047363,13.408187866210938
Regular Plural,trees,protector,14.873133182525635,15.005528450012207
Sibilant Singular,cause,evaluator,15.399002075195312,14.636277437210083
Sibilant Plural,causes,evaluator,17.59058666229248,15.934837579727173
Regular Singular,paw,evaluator,16.701786994934082,13.81836485862732
Regular Plural,paws,evaluator,18.114001274108887,14.90765643119812
Sibilant Singular,phase,fanatic,11.763266563415527,16.567777633666992
Sibilant Plural,phases,fanatic,14.789501190185547,15.733551025390625
Regular Singular,fee,fanatic,15.07889461517334,13.787172317504883
Regular Plural,fees,fanatic,17.27579402923584,13.748600959777832
Sibilant Singular,fax,man,16.193552017211914,8.377330780029297
Sibilant Plural,faxes,man,19.400184631347656,10.421348571777344
Regular Singular,shack,man,16.85661792755127,9.183694839477539
Regular Plural,shacks,man,19.402328491210938,9.2227201461792
