Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,15.18881607055664,11.022911071777344
Sibilant Plural,hoses,collector,18.55609130859375,12.381673812866211
Regular Singular,hoe,collector,17.412578582763672,11.861724853515625
Regular Plural,hoes,collector,20.658662796020508,12.579977989196777
Sibilant Singular,rose,organizer,14.652215957641602,12.290393829345703
Sibilant Plural,roses,organizer,14.978765964508057,14.36662483215332
Regular Singular,row,organizer,13.158723831176758,15.417356491088867
Regular Plural,rows,organizer,11.959136962890625,17.957969665527344
Sibilant Singular,rise,addict,15.455235481262207,17.190176010131836
Sibilant Plural,rises,addict,18.201425552368164,16.359975814819336
Regular Singular,lie,addict,14.95384693145752,15.778948783874512
Regular Plural,lies,addict,14.715506553649902,16.350685119628906
Sibilant Singular,clause,hider,16.027100563049316,17.427353858947754
Sibilant Plural,clauses,hider,17.11341118812561,16.676666259765625
Regular Singular,claw,hider,15.770772933959961,15.097280979156494
Regular Plural,claws,hider,17.754194259643555,19.069361686706543
Sibilant Singular,gaze,attractor,15.059606075286865,13.295114636421204
Sibilant Plural,gazes,attractor,17.463547706604004,18.005218982696533
Regular Singular,guy,attractor,15.166109085083008,14.468208074569702
Regular Plural,guys,attractor,14.561957359313965,18.397124767303467
Sibilant Singular,box,horde,12.468952178955078,16.539112091064453
Sibilant Plural,boxes,horde,14.44184398651123,16.731735229492188
Regular Singular,book,horde,11.666276931762695,16.144182205200195
Regular Plural,books,horde,13.982128143310547,17.379234313964844
Sibilant Singular,sex,distinctions,12.738465309143066,13.18187141418457
Sibilant Plural,sexes,distinctions,19.723960399627686,13.298970222473145
Regular Singular,sack,distinctions,16.125555992126465,15.599895477294922
Regular Plural,sacks,distinctions,17.761740684509277,16.19178009033203
Sibilant Singular,tax,repayment,14.425362586975098,8.874268531799316
Sibilant Plural,taxes,repayment,17.10939359664917,12.233133316040039
Regular Singular,tack,repayment,17.388864517211914,11.91944408416748
Regular Plural,tacks,repayment,18.765610694885254,14.366146087646484
Sibilant Singular,size,device,12.564825057983398,11.079246520996094
Sibilant Plural,sizes,device,15.978758811950684,13.273993492126465
Regular Singular,sigh,device,18.030426025390625,12.793377876281738
Regular Plural,sighs,device,20.836244583129883,12.992663383483887
Sibilant Singular,praise,getter,15.89988899230957,16.312435150146484
Sibilant Plural,praises,getter,20.0128755569458,15.68493127822876
Regular Singular,tray,getter,17.048152446746826,12.960069417953491
Regular Plural,trays,getter,19.846524238586426,14.247984886169434
Sibilant Singular,bruise,expert,20.14957571029663,10.664498329162598
Sibilant Plural,bruises,expert,20.26216459274292,11.233638763427734
Regular Singular,brew,expert,17.117965698242188,11.236443519592285
Regular Plural,brews,expert,19.674903392791748,10.727010726928711
Sibilant Singular,raise,seeker,14.478610038757324,16.094022750854492
Sibilant Plural,raises,seeker,17.790245056152344,20.683143615722656
Regular Singular,ray,seeker,13.014253616333008,13.714271545410156
Regular Plural,rays,seeker,14.945223808288574,16.3531436920166
Sibilant Singular,blaze,admirer,15.88534164428711,13.687005281448364
Sibilant Plural,blazes,admirer,18.94639301300049,17.48996353149414
Regular Singular,play,admirer,11.99894905090332,14.076921463012695
Regular Plural,plays,admirer,15.767508506774902,16.295448541641235
Sibilant Singular,vase,steward,16.964797019958496,14.93348479270935
Sibilant Plural,vases,steward,18.03419589996338,15.717228889465332
Regular Singular,bee,steward,14.440004348754883,15.228992462158203
Regular Plural,bees,steward,16.432334899902344,15.275076150894165
Sibilant Singular,fox,avoiders,14.708440780639648,19.6928653717041
Sibilant Plural,foxes,avoiders,17.794119834899902,20.03641128540039
Regular Singular,shock,avoiders,16.25885009765625,15.225870847702026
Regular Plural,shocks,avoiders,18.307087898254395,18.251745223999023
Sibilant Singular,maze,expert,15.464872360229492,10.044951438903809
Sibilant Plural,mazes,expert,17.339984893798828,11.616191864013672
Regular Singular,bay,expert,15.688783645629883,11.213966369628906
Regular Plural,bays,expert,19.039894104003906,11.401021957397461
Sibilant Singular,breeze,protector,17.325148940086365,11.038805961608887
Sibilant Plural,breezes,protector,19.646761894226074,11.935903549194336
Regular Singular,tree,protector,13.856598854064941,13.472662925720215
Regular Plural,trees,protector,15.987083435058594,14.188140869140625
Sibilant Singular,cause,evaluator,13.65223503112793,12.950673937797546
Sibilant Plural,causes,evaluator,14.634477376937866,16.25042462348938
Regular Singular,paw,evaluator,16.693852424621582,14.018397748470306
Regular Plural,paws,evaluator,16.805516242980957,15.670575976371765
Sibilant Singular,phase,fanatic,13.469219207763672,18.478744506835938
Sibilant Plural,phases,fanatic,15.85507869720459,19.334060668945312
Regular Singular,fee,fanatic,15.678675651550293,16.18743133544922
Regular Plural,fees,fanatic,16.209469318389893,16.770715713500977
Sibilant Singular,fax,man,16.365562438964844,9.28474235534668
Sibilant Plural,faxes,man,20.56412410736084,11.755805969238281
Regular Singular,shack,man,19.40129280090332,8.73427963256836
Regular Plural,shacks,man,19.976818084716797,10.516609191894531
