Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,6.677921772003174,9.041707634925842
Sibilant Plural,hoses,collector,10.561076164245605,11.62389612197876
Regular Singular,hoe,collector,7.810830116271973,11.218817710876465
Regular Plural,hoes,collector,7.23466157913208,9.975556015968323
Sibilant Singular,rose,organizer,1.9335851669311523,19.120964407920837
Sibilant Plural,roses,organizer,5.51420783996582,18.64449405670166
Regular Singular,row,organizer,10.411380767822266,7.528886795043945
Regular Plural,rows,organizer,2.761451244354248,15.64810585975647
Sibilant Singular,rise,addict,11.962394714355469,11.677231311798096
Sibilant Plural,rises,addict,14.11689567565918,11.032275199890137
Regular Singular,lie,addict,5.719218730926514,12.7541184425354
Regular Plural,lies,addict,8.257240295410156,11.491715431213379
Sibilant Singular,clause,hider,7.358872890472412,18.62544059753418
Sibilant Plural,clauses,hider,10.817305564880371,17.000768184661865
Regular Singular,claw,hider,7.6789844036102295,8.09566617012024
Regular Plural,claws,hider,9.714470863342285,11.231333017349243
Sibilant Singular,gaze,attractor,7.851454734802246,12.506290435791016
Sibilant Plural,gazes,attractor,11.054837465286255,16.733895301818848
Regular Singular,guy,attractor,9.761478424072266,17.958557605743408
Regular Plural,guys,attractor,8.868830680847168,14.975648880004883
Sibilant Singular,box,horde,5.075904846191406,17.4559268951416
Sibilant Plural,boxes,horde,8.375250816345215,14.92799425125122
Regular Singular,book,horde,5.662205696105957,16.9848690032959
Regular Plural,books,horde,8.292460441589355,16.22483253479004
Sibilant Singular,sex,distinctions,5.080774784088135,11.621792554855347
Sibilant Plural,sexes,distinctions,8.296611547470093,13.23074197769165
Regular Singular,sack,distinctions,8.843221664428711,13.561822891235352
Regular Plural,sacks,distinctions,9.593038558959961,15.022225856781006
Sibilant Singular,tax,repayment,4.624456882476807,10.170498490333557
Sibilant Plural,taxes,repayment,9.822338104248047,8.796026706695557
Regular Singular,tack,repayment,10.636152267456055,16.692984461784363
Regular Plural,tacks,repayment,6.2056379318237305,11.358694791793823
Sibilant Singular,size,device,8.416207313537598,7.229284763336182
Sibilant Plural,sizes,device,13.640399932861328,9.374853134155273
Regular Singular,sigh,device,13.426459312438965,8.648481369018555
Regular Plural,sighs,device,6.385760307312012,9.348495483398438
Sibilant Singular,praise,getter,11.805337905883789,16.960498332977295
Sibilant Plural,praises,getter,13.118113040924072,18.75875949859619
Regular Singular,tray,getter,9.206789016723633,15.319490432739258
Regular Plural,trays,getter,6.481462240219116,14.16440200805664
Sibilant Singular,bruise,expert,10.219891548156738,8.82454776763916
Sibilant Plural,bruises,expert,14.002179622650146,8.998159408569336
Regular Singular,brew,expert,8.208649635314941,8.758124351501465
Regular Plural,brews,expert,8.67424488067627,9.426189422607422
Sibilant Singular,raise,seeker,7.725067138671875,16.26400852203369
Sibilant Plural,raises,seeker,11.141888618469238,16.409520149230957
Regular Singular,ray,seeker,11.657381057739258,13.76661741733551
Regular Plural,rays,seeker,12.565690040588379,15.340210914611816
Sibilant Singular,blaze,admirer,6.408724784851074,12.162996888160706
Sibilant Plural,blazes,admirer,9.548806428909302,10.472401142120361
Regular Singular,play,admirer,6.804801940917969,11.111249446868896
Regular Plural,plays,admirer,7.321503162384033,10.717854857444763
Sibilant Singular,vase,steward,4.512546420097351,12.045101165771484
Sibilant Plural,vases,steward,7.243927001953125,12.68478012084961
Regular Singular,bee,steward,3.1262319087982178,20.068267822265625
Regular Plural,bees,steward,3.3446176052093506,14.680364608764648
Sibilant Singular,fox,avoiders,4.167231559753418,22.56758689880371
Sibilant Plural,foxes,avoiders,4.8669891357421875,20.16491413116455
Regular Singular,shock,avoiders,8.6842622756958,15.06703805923462
Regular Plural,shocks,avoiders,4.951852083206177,19.283306121826172
Sibilant Singular,maze,expert,7.510809421539307,9.849957466125488
Sibilant Plural,mazes,expert,8.895938396453857,10.20811653137207
Regular Singular,bay,expert,5.03938102722168,10.045431137084961
Regular Plural,bays,expert,4.583679914474487,14.480572700500488
Sibilant Singular,breeze,protector,12.109155654907227,13.081091046333313
Sibilant Plural,breezes,protector,14.454425573348999,14.319205284118652
Regular Singular,tree,protector,4.847787380218506,12.790105104446411
Regular Plural,trees,protector,10.15822982788086,8.858514070510864
Sibilant Singular,cause,evaluator,6.595112323760986,14.086491107940674
Sibilant Plural,causes,evaluator,12.210844039916992,15.055415868759155
Regular Singular,paw,evaluator,14.672080993652344,18.353511333465576
Regular Plural,paws,evaluator,9.188726425170898,18.51962900161743
Sibilant Singular,phase,fanatic,8.078222274780273,11.399474501609802
Sibilant Plural,phases,fanatic,10.750712156295776,11.592607498168945
Regular Singular,fee,fanatic,12.175045013427734,17.987510204315186
Regular Plural,fees,fanatic,11.903345108032227,11.606567144393921
Sibilant Singular,fax,man,4.735775947570801,4.8123273849487305
Sibilant Plural,faxes,man,11.189664840698242,5.526829719543457
Regular Singular,shack,man,14.47352409362793,5.287544250488281
Regular Plural,shacks,man,7.632693529129028,3.422680377960205
