Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,5.402085304260254,9.847348690032959
Sibilant Plural,hoses,collector,7.082294225692749,10.989827394485474
Regular Singular,hoe,collector,4.3139636516571045,16.456788063049316
Regular Plural,hoes,collector,5.45025897026062,9.645347595214844
Sibilant Singular,rose,organizer,4.51959753036499,15.933772087097168
Sibilant Plural,roses,organizer,5.279911518096924,17.108291625976562
Regular Singular,row,organizer,4.2021379470825195,21.004155158996582
Regular Plural,rows,organizer,4.309545040130615,16.15563678741455
Sibilant Singular,rise,addict,7.774028301239014,12.826013803482056
Sibilant Plural,rises,addict,11.183632850646973,12.501652240753174
Regular Singular,lie,addict,4.693324089050293,14.248053073883057
Regular Plural,lies,addict,9.077597856521606,11.716491937637329
Sibilant Singular,clause,hider,4.545950412750244,11.959155321121216
Sibilant Plural,clauses,hider,7.1402201652526855,13.050540208816528
Regular Singular,claw,hider,4.687882900238037,11.65479826927185
Regular Plural,claws,hider,4.886018753051758,10.030763626098633
Sibilant Singular,gaze,attractor,4.543537616729736,11.316010236740112
Sibilant Plural,gazes,attractor,7.020847320556641,12.529443264007568
Regular Singular,guy,attractor,3.5593738555908203,10.850818872451782
Regular Plural,guys,attractor,3.9731948375701904,8.701943635940552
Sibilant Singular,box,horde,4.293047189712524,13.360278606414795
Sibilant Plural,boxes,horde,5.1367809772491455,12.566314220428467
Regular Singular,book,horde,4.529059171676636,13.72106146812439
Regular Plural,books,horde,5.586308002471924,12.836048603057861
Sibilant Singular,sex,distinctions,12.212406158447266,33.590720891952515
Sibilant Plural,sexes,distinctions,17.565194368362427,32.49879837036133
Regular Singular,sack,distinctions,9.191190719604492,31.24484658241272
Regular Plural,sacks,distinctions,12.361168384552002,31.481746435165405
Sibilant Singular,tax,repayment,4.223917007446289,12.602813243865967
Sibilant Plural,taxes,repayment,9.079954147338867,12.27269983291626
Regular Singular,tack,repayment,4.485113143920898,18.019851684570312
Regular Plural,tacks,repayment,4.500261306762695,13.409848690032959
Sibilant Singular,size,device,6.3640172481536865,8.560358047485352
Sibilant Plural,sizes,device,9.677497148513794,5.305860996246338
Regular Singular,sigh,device,2.766465663909912,16.07370138168335
Regular Plural,sighs,device,5.755483388900757,9.264749765396118
Sibilant Singular,praise,getter,5.365447044372559,10.666481018066406
Sibilant Plural,praises,getter,6.406913995742798,13.94920563697815
Regular Singular,tray,getter,5.203264951705933,11.129186868667603
Regular Plural,trays,getter,6.702616930007935,10.145951271057129
Sibilant Singular,bruise,expert,4.319514274597168,10.642563343048096
Sibilant Plural,bruises,expert,6.06174898147583,8.79578161239624
Regular Singular,brew,expert,4.074921131134033,15.569580316543579
Regular Plural,brews,expert,4.14581298828125,11.433456897735596
Sibilant Singular,raise,seeker,3.847386121749878,13.2640860080719
Sibilant Plural,raises,seeker,5.537663459777832,13.970958232879639
Regular Singular,ray,seeker,5.453090190887451,17.952429056167603
Regular Plural,rays,seeker,8.325365781784058,14.019723176956177
Sibilant Singular,blaze,admirer,3.1373605728149414,6.945711612701416
Sibilant Plural,blazes,admirer,4.416130065917969,8.779855251312256
Regular Singular,play,admirer,4.208341121673584,9.514445781707764
Regular Plural,plays,admirer,5.106395244598389,8.842637777328491
Sibilant Singular,vase,steward,2.9277303218841553,13.275096416473389
Sibilant Plural,vases,steward,4.481956958770752,15.18559455871582
Regular Singular,bee,steward,1.1007709503173828,14.421539306640625
Regular Plural,bees,steward,1.6042017936706543,13.144689559936523
Sibilant Singular,fox,avoiders,2.812894344329834,14.716165542602539
Sibilant Plural,foxes,avoiders,3.0812253952026367,14.656800746917725
Regular Singular,shock,avoiders,3.979949951171875,13.095686912536621
Regular Plural,shocks,avoiders,4.786972999572754,16.42668128013611
Sibilant Singular,maze,expert,3.0218071937561035,9.672571182250977
Sibilant Plural,mazes,expert,3.4798951148986816,9.091886520385742
Regular Singular,bay,expert,3.5055885314941406,10.963080883026123
Regular Plural,bays,expert,4.453471422195435,10.077452421188354
Sibilant Singular,breeze,protector,9.142184495925903,13.687159776687622
Sibilant Plural,breezes,protector,12.778794527053833,13.59610366821289
Regular Singular,tree,protector,5.271316051483154,12.203757762908936
Regular Plural,trees,protector,9.265887260437012,13.928125858306885
Sibilant Singular,cause,evaluator,6.0738654136657715,32.720425605773926
Sibilant Plural,causes,evaluator,14.932852983474731,28.508362770080566
Regular Singular,paw,evaluator,2.8341379165649414,40.29917907714844
Regular Plural,paws,evaluator,11.251483917236328,33.36533284187317
Sibilant Singular,phase,fanatic,4.2583582401275635,12.783811330795288
Sibilant Plural,phases,fanatic,5.563994407653809,13.82911491394043
Regular Singular,fee,fanatic,5.839348793029785,13.9351966381073
Regular Plural,fees,fanatic,6.698758602142334,12.53827452659607
Sibilant Singular,fax,man,2.2010116577148438,4.501870632171631
Sibilant Plural,faxes,man,8.79326343536377,4.066033840179443
Regular Singular,shack,man,4.0156049728393555,6.075093746185303
Regular Plural,shacks,man,4.240723133087158,5.195869207382202
