Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,7.4417771100997925,8.04023265838623
Sibilant Plural,hoses,collector,9.209248065948486,10.081802368164062
Regular Singular,hoe,collector,6.013418912887573,8.977972030639648
Regular Plural,hoes,collector,5.142729640007019,10.799205780029297
Sibilant Singular,rose,organizer,4.382326126098633,13.862337112426758
Sibilant Plural,roses,organizer,8.062667846679688,18.616709232330322
Regular Singular,row,organizer,13.662004470825195,12.682717323303223
Regular Plural,rows,organizer,12.771690368652344,12.417838096618652
Sibilant Singular,rise,addict,12.995162963867188,9.223943710327148
Sibilant Plural,rises,addict,12.823124408721924,12.114087104797363
Regular Singular,lie,addict,5.3947343826293945,11.619768142700195
Regular Plural,lies,addict,8.275134086608887,11.2769193649292
Sibilant Singular,clause,hider,13.132372379302979,17.111565113067627
Sibilant Plural,clauses,hider,8.025376558303833,17.175062656402588
Regular Singular,claw,hider,10.311600685119629,18.042531967163086
Regular Plural,claws,hider,8.772042274475098,21.620697021484375
Sibilant Singular,gaze,attractor,11.935722351074219,15.608572006225586
Sibilant Plural,gazes,attractor,10.511804580688477,11.775959014892578
Regular Singular,guy,attractor,9.605588912963867,15.615790843963623
Regular Plural,guys,attractor,12.065620422363281,17.030883312225342
Sibilant Singular,box,horde,5.627017021179199,12.588229656219482
Sibilant Plural,boxes,horde,7.539999961853027,14.138304233551025
Regular Singular,book,horde,5.351495742797852,17.576575756072998
Regular Plural,books,horde,7.921929359436035,18.166747570037842
Sibilant Singular,sex,distinctions,5.627096652984619,13.871027946472168
Sibilant Plural,sexes,distinctions,8.014659643173218,18.7491455078125
Regular Singular,sack,distinctions,12.13402271270752,13.686202049255371
Regular Plural,sacks,distinctions,5.116965293884277,14.953062057495117
Sibilant Singular,tax,repayment,6.402590751647949,10.793861389160156
Sibilant Plural,taxes,repayment,9.813941955566406,8.938789367675781
Regular Singular,tack,repayment,13.459870338439941,18.30320930480957
Regular Plural,tacks,repayment,7.517074704170227,15.624500274658203
Sibilant Singular,size,device,10.322591781616211,8.399272918701172
Sibilant Plural,sizes,device,14.912395477294922,7.466151237487793
Regular Singular,sigh,device,8.765301704406738,8.025163650512695
Regular Plural,sighs,device,8.897205352783203,8.918259620666504
Sibilant Singular,praise,getter,13.479537963867188,16.211843013763428
Sibilant Plural,praises,getter,9.289478540420532,15.283114433288574
Regular Singular,tray,getter,8.865886688232422,15.015995502471924
Regular Plural,trays,getter,7.772865891456604,14.948130130767822
Sibilant Singular,bruise,expert,11.517077445983887,3.4310872554779053
Sibilant Plural,bruises,expert,11.561645984649658,4.8371405601501465
Regular Singular,brew,expert,9.069907188415527,8.392580032348633
Regular Plural,brews,expert,12.558465480804443,10.118900299072266
Sibilant Singular,raise,seeker,12.802173614501953,9.151415824890137
Sibilant Plural,raises,seeker,14.331642150878906,9.147798538208008
Regular Singular,ray,seeker,10.303515434265137,13.286336898803711
Regular Plural,rays,seeker,12.667832374572754,11.528390884399414
Sibilant Singular,blaze,admirer,9.144416809082031,11.616918563842773
Sibilant Plural,blazes,admirer,5.591588973999023,14.704790115356445
Regular Singular,play,admirer,5.800283432006836,10.12477970123291
Regular Plural,plays,admirer,7.682775497436523,8.993609428405762
Sibilant Singular,vase,steward,4.820724129676819,9.308549880981445
Sibilant Plural,vases,steward,10.394536018371582,13.981695175170898
Regular Singular,bee,steward,2.6849989891052246,13.1461763381958
Regular Plural,bees,steward,5.127966403961182,13.153279304504395
Sibilant Singular,fox,avoiders,3.9714670181274414,11.509445190429688
Sibilant Plural,foxes,avoiders,3.5578346252441406,12.564233779907227
Regular Singular,shock,avoiders,9.804038047790527,11.652702331542969
Regular Plural,shocks,avoiders,8.222268879413605,15.61179256439209
Sibilant Singular,maze,expert,5.529080629348755,13.16720962524414
Sibilant Plural,mazes,expert,5.8529099225997925,11.290279388427734
Regular Singular,bay,expert,8.042808532714844,9.94475269317627
Regular Plural,bays,expert,4.172518253326416,10.357666969299316
Sibilant Singular,breeze,protector,11.420546531677246,11.14342975616455
Sibilant Plural,breezes,protector,11.481469631195068,11.954760551452637
Regular Singular,tree,protector,5.67078971862793,13.808619499206543
Regular Plural,trees,protector,11.881417274475098,9.369744300842285
Sibilant Singular,cause,evaluator,8.600234985351562,16.154705047607422
Sibilant Plural,causes,evaluator,14.433996200561523,18.180269241333008
Regular Singular,paw,evaluator,9.441404342651367,13.280325889587402
Regular Plural,paws,evaluator,9.960591316223145,15.386019706726074
Sibilant Singular,phase,fanatic,13.563304901123047,15.448562622070312
Sibilant Plural,phases,fanatic,9.778012037277222,13.705049514770508
Regular Singular,fee,fanatic,12.283975601196289,17.09608507156372
Regular Plural,fees,fanatic,12.816028594970703,12.60197639465332
Sibilant Singular,fax,man,7.418378829956055,4.692763328552246
Sibilant Plural,faxes,man,12.929306030273438,3.3591644763946533
Regular Singular,shack,man,11.197564601898193,3.825918197631836
Regular Plural,shacks,man,10.981740474700928,2.907179355621338
