Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,3.7246437072753906,9.85457706451416
Sibilant Plural,hoses,collector,4.458471298217773,10.556361675262451
Regular Singular,hoe,collector,4.029527187347412,10.72091269493103
Regular Plural,hoes,collector,5.54543662071228,11.229854822158813
Sibilant Singular,rose,organizer,4.8028340339660645,15.238779544830322
Sibilant Plural,roses,organizer,5.709863662719727,17.835506916046143
Regular Singular,row,organizer,5.9206883907318115,19.646705150604248
Regular Plural,rows,organizer,6.395042657852173,22.066693544387817
Sibilant Singular,rise,addict,8.48190712928772,14.144001960754395
Sibilant Plural,rises,addict,8.847821474075317,14.313381910324097
Regular Singular,lie,addict,7.333828449249268,14.750313758850098
Regular Plural,lies,addict,9.500523805618286,14.775424718856812
Sibilant Singular,clause,hider,4.687727451324463,13.430266857147217
Sibilant Plural,clauses,hider,6.151190996170044,12.117857694625854
Regular Singular,claw,hider,4.6213905811309814,9.710976600646973
Regular Plural,claws,hider,5.617619037628174,10.407261848449707
Sibilant Singular,gaze,attractor,4.371808052062988,17.004804849624634
Sibilant Plural,gazes,attractor,5.389008045196533,14.71080207824707
Regular Singular,guy,attractor,5.523820400238037,10.814502239227295
Regular Plural,guys,attractor,6.27687931060791,11.736278057098389
Sibilant Singular,box,horde,4.238809823989868,15.709850788116455
Sibilant Plural,boxes,horde,5.294699430465698,15.169830083847046
Regular Singular,book,horde,4.193355321884155,15.707621574401855
Regular Plural,books,horde,5.116857290267944,17.713162422180176
Sibilant Singular,sex,distinctions,9.8551185131073,31.86482286453247
Sibilant Plural,sexes,distinctions,14.515491724014282,32.62185549736023
Regular Singular,sack,distinctions,15.755831956863403,39.186887979507446
Regular Plural,sacks,distinctions,19.460278749465942,38.73636841773987
Sibilant Singular,tax,repayment,4.31154990196228,8.876357555389404
Sibilant Plural,taxes,repayment,7.231072664260864,10.704265832901001
Regular Singular,tack,repayment,4.5986058712005615,15.35579776763916
Regular Plural,tacks,repayment,8.478370904922485,16.423168659210205
Sibilant Singular,size,device,13.52916169166565,16.443184852600098
Sibilant Plural,sizes,device,15.891412019729614,16.32194447517395
Regular Singular,sigh,device,14.09170937538147,19.80133628845215
Regular Plural,sighs,device,18.92116618156433,18.31896710395813
Sibilant Singular,praise,getter,4.1524481773376465,10.354461193084717
Sibilant Plural,praises,getter,4.584569931030273,12.938198566436768
Regular Singular,tray,getter,6.364144802093506,9.351840019226074
Regular Plural,trays,getter,7.417657375335693,11.596845149993896
Sibilant Singular,bruise,expert,4.240033864974976,9.72479772567749
Sibilant Plural,bruises,expert,4.7731616497039795,8.536569118499756
Regular Singular,brew,expert,4.5484044551849365,10.354135513305664
Regular Plural,brews,expert,4.726323366165161,9.133195638656616
Sibilant Singular,raise,seeker,4.047441244125366,10.260796546936035
Sibilant Plural,raises,seeker,4.660202264785767,13.306913375854492
Regular Singular,ray,seeker,6.18224835395813,9.068160057067871
Regular Plural,rays,seeker,8.63623595237732,11.93442440032959
Sibilant Singular,blaze,admirer,3.3789846897125244,9.491203784942627
Sibilant Plural,blazes,admirer,3.9664342403411865,9.52829623222351
Regular Singular,play,admirer,4.3261613845825195,11.303173780441284
Regular Plural,plays,admirer,4.734482288360596,9.922952651977539
Sibilant Singular,vase,steward,15.240853548049927,20.336923837661743
Sibilant Plural,vases,steward,16.284523725509644,23.790618419647217
Regular Singular,bee,steward,5.1235740184783936,23.273812294006348
Regular Plural,bees,steward,7.940311670303345,24.335015296936035
Sibilant Singular,fox,avoiders,2.823848247528076,13.275912284851074
Sibilant Plural,foxes,avoiders,3.0193662643432617,17.22114658355713
Regular Singular,shock,avoiders,4.842585802078247,8.89947247505188
Regular Plural,shocks,avoiders,5.331564664840698,11.422340393066406
Sibilant Singular,maze,expert,3.6386287212371826,9.477415323257446
Sibilant Plural,mazes,expert,4.208289861679077,9.264612197875977
Regular Singular,bay,expert,3.207301378250122,10.068559646606445
Regular Plural,bays,expert,3.9434831142425537,11.640284299850464
Sibilant Singular,breeze,protector,7.459889650344849,13.373111248016357
Sibilant Plural,breezes,protector,10.506404638290405,14.159039735794067
Regular Singular,tree,protector,5.042143106460571,15.167245864868164
Regular Plural,trees,protector,7.958565711975098,14.07899808883667
Sibilant Singular,cause,evaluator,12.802038192749023,27.42600154876709
Sibilant Plural,causes,evaluator,15.293176651000977,26.473742485046387
Regular Singular,paw,evaluator,8.93791675567627,25.582006454467773
Regular Plural,paws,evaluator,13.969120502471924,26.533018350601196
Sibilant Singular,phase,fanatic,10.54279351234436,21.60110569000244
Sibilant Plural,phases,fanatic,13.357412099838257,23.241086721420288
Regular Singular,fee,fanatic,13.012156009674072,16.309725522994995
Regular Plural,fees,fanatic,16.594523429870605,20.470893144607544
Sibilant Singular,fax,man,2.882422685623169,3.7630295753479004
Sibilant Plural,faxes,man,6.124675512313843,3.7814908027648926
Regular Singular,shack,man,5.13197922706604,3.068171977996826
Regular Plural,shacks,man,6.166520118713379,2.27103590965271
