Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,5.084153890609741,9.299461603164673
Sibilant Plural,hoses,collector,6.503830671310425,10.006447076797485
Regular Singular,hoe,collector,5.9507973194122314,8.362526893615723
Regular Plural,hoes,collector,5.268687963485718,9.58178448677063
Sibilant Singular,rose,organizer,13.937055826187134,33.43345856666565
Sibilant Plural,roses,organizer,14.811195373535156,32.95635676383972
Regular Singular,row,organizer,13.583491563796997,24.501726627349854
Regular Plural,rows,organizer,17.21743679046631,23.284666299819946
Sibilant Singular,rise,addict,8.874969244003296,10.401802062988281
Sibilant Plural,rises,addict,14.238552331924438,9.900043487548828
Regular Singular,lie,addict,7.126843214035034,9.776880502700806
Regular Plural,lies,addict,12.531107664108276,10.403839111328125
Sibilant Singular,clause,hider,5.78888726234436,10.685754537582397
Sibilant Plural,clauses,hider,7.6709582805633545,14.117409467697144
Regular Singular,claw,hider,6.011366367340088,8.780790567398071
Regular Plural,claws,hider,5.805379867553711,13.588629722595215
Sibilant Singular,gaze,attractor,16.434285879135132,25.563929557800293
Sibilant Plural,gazes,attractor,20.565090894699097,25.16893696784973
Regular Singular,guy,attractor,5.312251806259155,10.169618129730225
Regular Plural,guys,attractor,5.5451531410217285,10.97545838356018
Sibilant Singular,box,horde,5.649633407592773,13.350707530975342
Sibilant Plural,boxes,horde,5.671101093292236,14.503251552581787
Regular Singular,book,horde,5.1194093227386475,13.49461841583252
Regular Plural,books,horde,5.941059827804565,15.636597871780396
Sibilant Singular,sex,distinctions,10.308895349502563,37.65166354179382
Sibilant Plural,sexes,distinctions,17.225770950317383,37.71463084220886
Regular Singular,sack,distinctions,15.497497797012329,35.593161821365356
Regular Plural,sacks,distinctions,18.904117822647095,35.56117630004883
Sibilant Singular,tax,repayment,4.399397850036621,9.03233551979065
Sibilant Plural,taxes,repayment,6.612178802490234,10.302375793457031
Regular Singular,tack,repayment,16.254786491394043,25.47689414024353
Regular Plural,tacks,repayment,19.757320404052734,25.301202058792114
Sibilant Singular,size,device,15.144132852554321,18.26023030281067
Sibilant Plural,sizes,device,18.983707427978516,18.30743169784546
Regular Singular,sigh,device,16.82881450653076,17.408340215682983
Regular Plural,sighs,device,19.3377685546875,17.521758794784546
Sibilant Singular,praise,getter,5.904680490493774,10.419419765472412
Sibilant Plural,praises,getter,5.306477785110474,13.248522758483887
Regular Singular,tray,getter,8.006789207458496,18.317702293395996
Regular Plural,trays,getter,10.642064094543457,18.324822664260864
Sibilant Singular,bruise,expert,5.96543025970459,7.563235759735107
Sibilant Plural,bruises,expert,6.323491096496582,7.864548683166504
Regular Singular,brew,expert,7.003923654556274,7.327619552612305
Regular Plural,brews,expert,6.86730432510376,8.988379955291748
Sibilant Singular,raise,seeker,5.971029281616211,11.88499665260315
Sibilant Plural,raises,seeker,6.228684902191162,12.166479110717773
Regular Singular,ray,seeker,6.601008415222168,11.582881689071655
Regular Plural,rays,seeker,8.498445272445679,11.095500707626343
Sibilant Singular,blaze,admirer,4.464388608932495,7.80522084236145
Sibilant Plural,blazes,admirer,4.124780893325806,9.392210245132446
Regular Singular,play,admirer,6.494955778121948,8.61851453781128
Regular Plural,plays,admirer,5.3458945751190186,9.612474918365479
Sibilant Singular,vase,steward,14.163217306137085,19.788368225097656
Sibilant Plural,vases,steward,16.36718249320984,19.738637685775757
Regular Singular,bee,steward,9.039855480194092,25.405454874038696
Regular Plural,bees,steward,11.017729043960571,25.374143362045288
Sibilant Singular,fox,avoiders,5.37339448928833,13.737058162689209
Sibilant Plural,foxes,avoiders,4.12165641784668,16.205800533294678
Regular Singular,shock,avoiders,5.642762660980225,10.344852209091187
Regular Plural,shocks,avoiders,4.610804080963135,14.390351295471191
Sibilant Singular,maze,expert,15.117290735244751,24.6272132396698
Sibilant Plural,mazes,expert,19.94339108467102,24.406704902648926
Regular Singular,bay,expert,4.497600555419922,9.412891387939453
Regular Plural,bays,expert,3.9522743225097656,10.797358989715576
Sibilant Singular,breeze,protector,19.101003885269165,28.313936948776245
Sibilant Plural,breezes,protector,21.992236614227295,28.053871393203735
Regular Singular,tree,protector,18.8630952835083,29.63480520248413
Regular Plural,trees,protector,19.973254680633545,28.5865216255188
Sibilant Singular,cause,evaluator,15.046873807907104,27.54201364517212
Sibilant Plural,causes,evaluator,18.466771364212036,27.371912240982056
Regular Singular,paw,evaluator,9.952460765838623,27.660283088684082
Regular Plural,paws,evaluator,14.086084365844727,27.666008949279785
Sibilant Singular,phase,fanatic,16.479098081588745,22.473872661590576
Sibilant Plural,phases,fanatic,18.922059535980225,22.15575385093689
Regular Singular,fee,fanatic,10.840169191360474,20.91395139694214
Regular Plural,fees,fanatic,13.861359357833862,20.920262575149536
Sibilant Singular,fax,man,3.3033125400543213,4.946921348571777
Sibilant Plural,faxes,man,6.230244874954224,5.673673152923584
Regular Singular,shack,man,6.03180456161499,3.9296185970306396
Regular Plural,shacks,man,8.247109413146973,5.07969331741333
