Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,13.210168838500977,8.85069751739502
Sibilant Plural,hoses,collector,9.03518009185791,10.518649101257324
Regular Singular,hoe,collector,6.395341634750366,10.050880432128906
Regular Plural,hoes,collector,7.835703372955322,11.027645111083984
Sibilant Singular,rose,organizer,7.362237930297852,15.103487491607666
Sibilant Plural,roses,organizer,8.549676895141602,16.015039443969727
Regular Singular,row,organizer,12.482810974121094,11.913657188415527
Regular Plural,rows,organizer,13.917865753173828,11.291377067565918
Sibilant Singular,rise,addict,12.490191459655762,12.213906288146973
Sibilant Plural,rises,addict,13.626145362854004,12.000030517578125
Regular Singular,lie,addict,8.456148147583008,11.911447525024414
Regular Plural,lies,addict,12.388882637023926,10.127983093261719
Sibilant Singular,clause,hider,12.801234245300293,15.642665386199951
Sibilant Plural,clauses,hider,10.07521402835846,15.499253749847412
Regular Singular,claw,hider,10.388362884521484,14.647216796875
Regular Plural,claws,hider,9.762490272521973,18.15702533721924
Sibilant Singular,gaze,attractor,12.112848281860352,14.658753395080566
Sibilant Plural,gazes,attractor,6.892170667648315,16.82068157196045
Regular Singular,guy,attractor,11.207283973693848,15.732443809509277
Regular Plural,guys,attractor,12.588722229003906,17.652937412261963
Sibilant Singular,box,horde,7.779660224914551,15.060791969299316
Sibilant Plural,boxes,horde,9.070647239685059,16.684280395507812
Regular Singular,book,horde,5.283793926239014,15.427658557891846
Regular Plural,books,horde,7.678384304046631,16.928688049316406
Sibilant Singular,sex,distinctions,5.730688095092773,10.7154541015625
Sibilant Plural,sexes,distinctions,7.140740394592285,15.161102294921875
Regular Singular,sack,distinctions,15.058185577392578,12.994375228881836
Regular Plural,sacks,distinctions,5.906361401081085,16.004136085510254
Sibilant Singular,tax,repayment,6.587360858917236,8.889087677001953
Sibilant Plural,taxes,repayment,9.694526672363281,9.124340057373047
Regular Singular,tack,repayment,12.229988098144531,14.336600303649902
Regular Plural,tacks,repayment,7.076008439064026,14.12122917175293
Sibilant Singular,size,device,9.695302963256836,7.944131851196289
Sibilant Plural,sizes,device,14.194840431213379,7.8154096603393555
Regular Singular,sigh,device,13.643980026245117,5.504537105560303
Regular Plural,sighs,device,5.761872291564941,6.882792949676514
Sibilant Singular,praise,getter,11.448750495910645,14.554550170898438
Sibilant Plural,praises,getter,9.00328254699707,17.824727058410645
Regular Singular,tray,getter,12.49740982055664,13.611875534057617
Regular Plural,trays,getter,8.750504493713379,13.792103290557861
Sibilant Singular,bruise,expert,11.990107536315918,7.369794845581055
Sibilant Plural,bruises,expert,14.599016666412354,7.772462368011475
Regular Singular,brew,expert,9.507083058357239,8.46975326538086
Regular Plural,brews,expert,11.038224697113037,8.62476921081543
Sibilant Singular,raise,seeker,13.72916316986084,13.866106033325195
Sibilant Plural,raises,seeker,8.646332263946533,14.647572040557861
Regular Singular,ray,seeker,9.288045406341553,14.601665496826172
Regular Plural,rays,seeker,14.29249095916748,11.790175437927246
Sibilant Singular,blaze,admirer,13.047247886657715,10.418651580810547
Sibilant Plural,blazes,admirer,7.503203868865967,12.025190353393555
Regular Singular,play,admirer,6.923841953277588,12.165782928466797
Regular Plural,plays,admirer,9.782848358154297,11.653087615966797
Sibilant Singular,vase,steward,5.454492568969727,9.039620399475098
Sibilant Plural,vases,steward,7.156654119491577,12.890864372253418
Regular Singular,bee,steward,2.310788631439209,12.702415466308594
Regular Plural,bees,steward,3.0911436080932617,13.802596092224121
Sibilant Singular,fox,avoiders,5.247952938079834,17.288068294525146
Sibilant Plural,foxes,avoiders,4.678662300109863,21.281953811645508
Regular Singular,shock,avoiders,9.802331924438477,14.744184017181396
Regular Plural,shocks,avoiders,10.026126742362976,19.27300786972046
Sibilant Singular,maze,expert,11.38004732131958,7.551671028137207
Sibilant Plural,mazes,expert,5.132744312286377,9.59636402130127
Regular Singular,bay,expert,8.887527465820312,11.39902400970459
Regular Plural,bays,expert,5.367607593536377,11.686522483825684
Sibilant Singular,breeze,protector,11.17073917388916,11.942353248596191
Sibilant Plural,breezes,protector,11.57907748222351,12.377842903137207
Regular Singular,tree,protector,5.361196994781494,12.942963600158691
Regular Plural,trees,protector,10.923014640808105,12.92467975616455
Sibilant Singular,cause,evaluator,8.549293518066406,18.063899993896484
Sibilant Plural,causes,evaluator,12.832446098327637,16.835308074951172
Regular Singular,paw,evaluator,11.197593688964844,16.442345142364502
Regular Plural,paws,evaluator,11.734369277954102,18.270948886871338
Sibilant Singular,phase,fanatic,11.573020935058594,15.407021522521973
Sibilant Plural,phases,fanatic,5.427460744976997,15.867803573608398
Regular Singular,fee,fanatic,12.545186996459961,16.693631172180176
Regular Plural,fees,fanatic,11.479074716567993,15.203131675720215
Sibilant Singular,fax,man,5.475060701370239,3.225515365600586
Sibilant Plural,faxes,man,8.072929859161377,4.133864402770996
Regular Singular,shack,man,9.782767057418823,3.1514933109283447
Regular Plural,shacks,man,12.460419178009033,2.6370816230773926
