Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,11.738569259643555,9.772839546203613
Sibilant Plural,hoses,collector,9.53688359260559,10.293620109558105
Regular Singular,hoe,collector,7.350473046302795,9.442031860351562
Regular Plural,hoes,collector,8.98494577407837,11.060929298400879
Sibilant Singular,rose,organizer,7.338501930236816,15.056637287139893
Sibilant Plural,roses,organizer,7.85845947265625,16.981645107269287
Regular Singular,row,organizer,13.618697166442871,14.917462348937988
Regular Plural,rows,organizer,16.00528907775879,16.095909118652344
Sibilant Singular,rise,addict,12.305479049682617,7.1694207191467285
Sibilant Plural,rises,addict,16.77221965789795,11.182901382446289
Regular Singular,lie,addict,8.917516708374023,10.42206859588623
Regular Plural,lies,addict,12.283329010009766,5.840009689331055
Sibilant Singular,clause,hider,12.21392822265625,19.737143516540527
Sibilant Plural,clauses,hider,10.503261089324951,19.082186698913574
Regular Singular,claw,hider,12.181212663650513,12.46190357208252
Regular Plural,claws,hider,11.835309982299805,15.392393112182617
Sibilant Singular,gaze,attractor,17.14030647277832,17.709691047668457
Sibilant Plural,gazes,attractor,10.990286827087402,19.497336387634277
Regular Singular,guy,attractor,11.47817611694336,13.503290176391602
Regular Plural,guys,attractor,13.352951049804688,14.038792610168457
Sibilant Singular,box,horde,9.505818367004395,12.898587226867676
Sibilant Plural,boxes,horde,12.05376148223877,14.286970615386963
Regular Singular,book,horde,7.44638729095459,14.368707656860352
Regular Plural,books,horde,10.742695808410645,14.75093126296997
Sibilant Singular,sex,distinctions,5.424444198608398,8.707045555114746
Sibilant Plural,sexes,distinctions,9.018341541290283,14.685209274291992
Regular Singular,sack,distinctions,13.956249237060547,12.035667419433594
Regular Plural,sacks,distinctions,6.65980589389801,15.812477588653564
Sibilant Singular,tax,repayment,5.733438491821289,7.537506580352783
Sibilant Plural,taxes,repayment,9.889898300170898,6.863861083984375
Regular Singular,tack,repayment,13.817065238952637,12.744993209838867
Regular Plural,tacks,repayment,8.28088641166687,9.573862075805664
Sibilant Singular,size,device,9.722745895385742,4.76161003112793
Sibilant Plural,sizes,device,13.210447311401367,4.17225980758667
Regular Singular,sigh,device,13.266380310058594,6.128452777862549
Regular Plural,sighs,device,9.078443050384521,6.317590236663818
Sibilant Singular,praise,getter,12.753171920776367,15.920713424682617
Sibilant Plural,praises,getter,12.462960004806519,17.710215091705322
Regular Singular,tray,getter,12.48511028289795,17.08748435974121
Regular Plural,trays,getter,12.047796964645386,19.664079666137695
Sibilant Singular,bruise,expert,11.885615825653076,6.977396011352539
Sibilant Plural,bruises,expert,14.032960653305054,8.108064651489258
Regular Singular,brew,expert,10.07634711265564,9.629209518432617
Regular Plural,brews,expert,13.553483009338379,9.783729553222656
Sibilant Singular,raise,seeker,14.136632919311523,11.754711151123047
Sibilant Plural,raises,seeker,11.916874408721924,12.080504417419434
Regular Singular,ray,seeker,10.413060665130615,11.730820655822754
Regular Plural,rays,seeker,16.495729446411133,7.342172145843506
Sibilant Singular,blaze,admirer,10.988250732421875,13.979043960571289
Sibilant Plural,blazes,admirer,8.185886561870575,12.751495361328125
Regular Singular,play,admirer,9.171670913696289,11.622602462768555
Regular Plural,plays,admirer,8.98742389678955,11.644163131713867
Sibilant Singular,vase,steward,4.372165203094482,8.82931137084961
Sibilant Plural,vases,steward,9.828296184539795,14.73438835144043
Regular Singular,bee,steward,2.428234100341797,10.693774223327637
Regular Plural,bees,steward,5.617514610290527,11.439903259277344
Sibilant Singular,fox,avoiders,10.029291152954102,16.48736572265625
Sibilant Plural,foxes,avoiders,5.769859433174133,21.91323471069336
Regular Singular,shock,avoiders,6.578166961669922,15.366035461425781
Regular Plural,shocks,avoiders,9.584373474121094,22.087194442749023
Sibilant Singular,maze,expert,12.701287269592285,11.877094268798828
Sibilant Plural,mazes,expert,7.179807782173157,15.801434516906738
Regular Singular,bay,expert,11.065848350524902,10.566593170166016
Regular Plural,bays,expert,9.95442008972168,8.943357467651367
Sibilant Singular,breeze,protector,11.456900596618652,13.767577171325684
Sibilant Plural,breezes,protector,12.705024242401123,10.588469505310059
Regular Singular,tree,protector,6.413365364074707,13.966248512268066
Regular Plural,trees,protector,11.110655784606934,12.363693237304688
Sibilant Singular,cause,evaluator,6.765140056610107,20.216630935668945
Sibilant Plural,causes,evaluator,11.926526069641113,15.865215301513672
Regular Singular,paw,evaluator,10.098137855529785,14.466911315917969
Regular Plural,paws,evaluator,10.48745059967041,14.30927562713623
Sibilant Singular,phase,fanatic,10.658036231994629,14.215675354003906
Sibilant Plural,phases,fanatic,8.767372488975525,16.939245223999023
Regular Singular,fee,fanatic,13.263328552246094,9.974555015563965
Regular Plural,fees,fanatic,12.908589601516724,11.463417053222656
Sibilant Singular,fax,man,7.153700590133667,2.151122808456421
Sibilant Plural,faxes,man,15.385785579681396,3.1466784477233887
Regular Singular,shack,man,10.579761028289795,2.8894810676574707
Regular Plural,shacks,man,15.445220470428467,1.9645354747772217
