Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,11.462146759033203,8.05080795288086
Sibilant Plural,hoses,collector,9.323328971862793,11.097274780273438
Regular Singular,hoe,collector,7.310059070587158,8.540445327758789
Regular Plural,hoes,collector,8.55465316772461,11.349303245544434
Sibilant Singular,rose,organizer,6.765115737915039,15.889944076538086
Sibilant Plural,roses,organizer,7.015048027038574,18.2815580368042
Regular Singular,row,organizer,11.893308639526367,12.32234001159668
Regular Plural,rows,organizer,13.59591293334961,15.430024147033691
Sibilant Singular,rise,addict,12.062707901000977,9.68942642211914
Sibilant Plural,rises,addict,11.78183364868164,11.078063011169434
Regular Singular,lie,addict,9.221284866333008,10.057987213134766
Regular Plural,lies,addict,11.183452606201172,9.47076416015625
Sibilant Singular,clause,hider,11.678308963775635,16.261329174041748
Sibilant Plural,clauses,hider,11.82110595703125,17.322609901428223
Regular Singular,claw,hider,9.807313919067383,16.96241569519043
Regular Plural,claws,hider,8.472804069519043,18.506518363952637
Sibilant Singular,gaze,attractor,11.155941009521484,14.75888967514038
Sibilant Plural,gazes,attractor,7.070863723754883,13.878142833709717
Regular Singular,guy,attractor,11.134689331054688,17.289061546325684
Regular Plural,guys,attractor,13.158300399780273,14.834503650665283
Sibilant Singular,box,horde,8.981606483459473,12.723799705505371
Sibilant Plural,boxes,horde,10.689663887023926,12.961496353149414
Regular Singular,book,horde,7.540866851806641,11.66955852508545
Regular Plural,books,horde,8.864095687866211,13.712890148162842
Sibilant Singular,sex,distinctions,4.115597724914551,9.54664134979248
Sibilant Plural,sexes,distinctions,5.041834354400635,12.611097812652588
Regular Singular,sack,distinctions,12.529670715332031,14.234463691711426
Regular Plural,sacks,distinctions,6.48125296831131,16.194026470184326
Sibilant Singular,tax,repayment,5.389904022216797,7.9893035888671875
Sibilant Plural,taxes,repayment,8.239060401916504,8.659521102905273
Regular Singular,tack,repayment,12.88316822052002,13.723254203796387
Regular Plural,tacks,repayment,11.165417671203613,14.1380934715271
Sibilant Singular,size,device,10.785750389099121,6.178174018859863
Sibilant Plural,sizes,device,13.96521282196045,5.567553997039795
Regular Singular,sigh,device,11.819170951843262,5.228594779968262
Regular Plural,sighs,device,6.726171970367432,4.616231441497803
Sibilant Singular,praise,getter,11.367058753967285,15.156203269958496
Sibilant Plural,praises,getter,7.932762861251831,15.06059455871582
Regular Singular,tray,getter,11.884492874145508,11.08612871170044
Regular Plural,trays,getter,9.227906465530396,12.52416181564331
Sibilant Singular,bruise,expert,9.432811737060547,4.940583229064941
Sibilant Plural,bruises,expert,14.282316207885742,5.443734169006348
Regular Singular,brew,expert,11.033254384994507,6.202228546142578
Regular Plural,brews,expert,15.334024429321289,8.32503604888916
Sibilant Singular,raise,seeker,12.588152885437012,11.415075778961182
Sibilant Plural,raises,seeker,7.994618892669678,14.303969860076904
Regular Singular,ray,seeker,9.408259630203247,13.022372722625732
Regular Plural,rays,seeker,13.608473777770996,11.334884643554688
Sibilant Singular,blaze,admirer,9.207728862762451,9.707000732421875
Sibilant Plural,blazes,admirer,6.858652830123901,11.357833862304688
Regular Singular,play,admirer,9.45272159576416,7.863894462585449
Regular Plural,plays,admirer,9.657034873962402,12.048006057739258
Sibilant Singular,vase,steward,9.204101800918579,8.809035301208496
Sibilant Plural,vases,steward,15.132179737091064,11.816975593566895
Regular Singular,bee,steward,2.1335458755493164,10.63336181640625
Regular Plural,bees,steward,4.803904056549072,12.92267370223999
Sibilant Singular,fox,avoiders,6.404884338378906,14.029331684112549
Sibilant Plural,foxes,avoiders,4.436655879020691,19.391701221466064
Regular Singular,shock,avoiders,7.61499547958374,14.337730884552002
Regular Plural,shocks,avoiders,9.175429344177246,18.740238189697266
Sibilant Singular,maze,expert,12.801218509674072,8.014238357543945
Sibilant Plural,mazes,expert,7.0274962186813354,9.701932907104492
Regular Singular,bay,expert,7.534598350524902,12.552751541137695
Regular Plural,bays,expert,6.168263912200928,11.534826278686523
Sibilant Singular,breeze,protector,11.751864433288574,12.490049362182617
Sibilant Plural,breezes,protector,13.443215608596802,12.476823806762695
Regular Singular,tree,protector,7.008402347564697,12.822052955627441
Regular Plural,trees,protector,10.986166000366211,12.965555191040039
Sibilant Singular,cause,evaluator,8.437567710876465,15.577645301818848
Sibilant Plural,causes,evaluator,11.687861442565918,14.226178169250488
Regular Singular,paw,evaluator,9.399271011352539,15.493049621582031
Regular Plural,paws,evaluator,9.935500144958496,15.259100437164307
Sibilant Singular,phase,fanatic,11.912150382995605,12.830174446105957
Sibilant Plural,phases,fanatic,8.052258014678955,14.342296600341797
Regular Singular,fee,fanatic,11.823946952819824,11.089348793029785
Regular Plural,fees,fanatic,12.613150954246521,8.519063472747803
Sibilant Singular,fax,man,6.28397011756897,3.4981777667999268
Sibilant Plural,faxes,man,12.863349437713623,3.824777364730835
Regular Singular,shack,man,10.596809387207031,2.60137939453125
Regular Plural,shacks,man,13.317841529846191,3.0075457096099854
