Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,8.00101089477539,11.32211685180664
Sibilant Plural,hoses,collector,10.722530841827393,13.316764831542969
Regular Singular,hoe,collector,7.693718910217285,11.45888352394104
Regular Plural,hoes,collector,8.583398818969727,12.476259231567383
Sibilant Singular,rose,organizer,14.172296285629272,28.2600736618042
Sibilant Plural,roses,organizer,19.234135150909424,31.1843523979187
Regular Singular,row,organizer,12.373648405075073,31.0092351436615
Regular Plural,rows,organizer,14.366604566574097,28.30554723739624
Sibilant Singular,rise,addict,9.102694034576416,11.617384910583496
Sibilant Plural,rises,addict,14.904994010925293,10.722456932067871
Regular Singular,lie,addict,9.871781826019287,11.308775424957275
Regular Plural,lies,addict,16.132522106170654,10.317867040634155
Sibilant Singular,clause,hider,7.281971216201782,12.380378246307373
Sibilant Plural,clauses,hider,8.341073274612427,15.188899040222168
Regular Singular,claw,hider,14.092161893844604,14.906965255737305
Regular Plural,claws,hider,18.406266450881958,19.857460498809814
Sibilant Singular,gaze,attractor,14.498742580413818,25.298042058944702
Sibilant Plural,gazes,attractor,15.976744651794434,29.01251530647278
Regular Singular,guy,attractor,12.234360694885254,30.713685035705566
Regular Plural,guys,attractor,14.904796123504639,27.698418140411377
Sibilant Singular,box,horde,7.484494686126709,15.254090785980225
Sibilant Plural,boxes,horde,6.524298667907715,14.922403573989868
Regular Singular,book,horde,5.7953033447265625,13.95345163345337
Regular Plural,books,horde,6.888660430908203,13.177831888198853
Sibilant Singular,sex,distinctions,13.031592607498169,34.686240911483765
Sibilant Plural,sexes,distinctions,17.90470814704895,36.68961763381958
Regular Singular,sack,distinctions,15.321653842926025,33.341179847717285
Regular Plural,sacks,distinctions,19.67333698272705,34.33648371696472
Sibilant Singular,tax,repayment,8.991409301757812,9.67051386833191
Sibilant Plural,taxes,repayment,21.384769439697266,10.607949256896973
Regular Singular,tack,repayment,12.933942079544067,27.74762487411499
Regular Plural,tacks,repayment,19.81362557411194,27.36835527420044
Sibilant Singular,size,device,13.862497091293335,20.22685432434082
Sibilant Plural,sizes,device,16.29563331604004,18.686647415161133
Regular Singular,sigh,device,14.95657205581665,19.678300619125366
Regular Plural,sighs,device,20.530325651168823,19.81789207458496
Sibilant Singular,praise,getter,6.155186653137207,14.069064140319824
Sibilant Plural,praises,getter,9.98979377746582,13.954143524169922
Regular Singular,tray,getter,12.499401569366455,18.22369384765625
Regular Plural,trays,getter,16.070566654205322,21.534614086151123
Sibilant Singular,bruise,expert,19.644904613494873,19.54103660583496
Sibilant Plural,bruises,expert,21.738032817840576,15.410060405731201
Regular Singular,brew,expert,10.918458938598633,10.65251874923706
Regular Plural,brews,expert,11.637996196746826,11.204097509384155
Sibilant Singular,raise,seeker,8.268884181976318,13.772076606750488
Sibilant Plural,raises,seeker,11.545888423919678,13.721436738967896
Regular Singular,ray,seeker,6.74128532409668,15.33491039276123
Regular Plural,rays,seeker,13.375195503234863,14.612344980239868
Sibilant Singular,blaze,admirer,12.985907077789307,21.2692813873291
Sibilant Plural,blazes,admirer,15.086528301239014,19.06689190864563
Regular Singular,play,admirer,12.685354948043823,22.118155241012573
Regular Plural,plays,admirer,16.642546892166138,21.670344591140747
Sibilant Singular,vase,steward,12.152316570281982,23.344539880752563
Sibilant Plural,vases,steward,16.562312126159668,21.595338106155396
Regular Singular,bee,steward,7.396326780319214,21.597232818603516
Regular Plural,bees,steward,11.066646814346313,20.73309898376465
Sibilant Singular,fox,avoiders,8.564475774765015,13.397718667984009
Sibilant Plural,foxes,avoiders,5.4861977100372314,15.640451908111572
Regular Singular,shock,avoiders,6.460401773452759,28.46723461151123
Regular Plural,shocks,avoiders,9.523578882217407,27.378307104110718
Sibilant Singular,maze,expert,14.057588338851929,25.506006717681885
Sibilant Plural,mazes,expert,18.674351930618286,22.30502963066101
Regular Singular,bay,expert,7.706003665924072,21.60895848274231
Regular Plural,bays,expert,10.287009716033936,20.783443689346313
Sibilant Singular,breeze,protector,19.788941144943237,27.909966945648193
Sibilant Plural,breezes,protector,23.872552156448364,26.390611171722412
Regular Singular,tree,protector,11.632817029953003,28.894580125808716
Regular Plural,trees,protector,14.108855247497559,28.062761783599854
Sibilant Singular,cause,evaluator,13.05580186843872,26.402621507644653
Sibilant Plural,causes,evaluator,13.994895696640015,27.087137699127197
Regular Singular,paw,evaluator,13.207483291625977,29.29841661453247
Regular Plural,paws,evaluator,17.74372434616089,28.95376467704773
Sibilant Singular,phase,fanatic,15.641041278839111,20.367671728134155
Sibilant Plural,phases,fanatic,19.395280838012695,20.096054315567017
Regular Singular,fee,fanatic,9.695285320281982,18.87921643257141
Regular Plural,fees,fanatic,15.541710376739502,18.311967134475708
Sibilant Singular,fax,man,10.90900206565857,6.4250946044921875
Sibilant Plural,faxes,man,16.93452763557434,6.616902828216553
Regular Singular,shack,man,17.69199299812317,6.553434371948242
Regular Plural,shacks,man,20.89812159538269,6.937122821807861
