Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,7.740372657775879,10.032577991485596
Sibilant Plural,hoses,collector,9.730290412902832,10.835500240325928
Regular Singular,hoe,collector,9.713828563690186,13.295050859451294
Regular Plural,hoes,collector,7.258744716644287,9.888543605804443
Sibilant Singular,rose,organizer,14.2589271068573,34.70180034637451
Sibilant Plural,roses,organizer,14.200979471206665,26.495954990386963
Regular Singular,row,organizer,8.699544906616211,27.643054962158203
Regular Plural,rows,organizer,14.146456718444824,32.253044843673706
Sibilant Singular,rise,addict,11.323101282119751,12.966331958770752
Sibilant Plural,rises,addict,14.99884819984436,10.473573207855225
Regular Singular,lie,addict,6.328405857086182,14.746290445327759
Regular Plural,lies,addict,12.435693264007568,12.734495162963867
Sibilant Singular,clause,hider,9.43727731704712,12.515710592269897
Sibilant Plural,clauses,hider,18.703551769256592,13.782143115997314
Regular Singular,claw,hider,9.508797883987427,16.477884769439697
Regular Plural,claws,hider,8.412867307662964,14.922005414962769
Sibilant Singular,gaze,attractor,7.045558214187622,17.682698965072632
Sibilant Plural,gazes,attractor,21.53517198562622,17.888176202774048
Regular Singular,guy,attractor,8.713889360427856,19.700188636779785
Regular Plural,guys,attractor,8.940231800079346,21.24360704421997
Sibilant Singular,box,horde,5.863439083099365,12.740220546722412
Sibilant Plural,boxes,horde,7.328354358673096,14.519415378570557
Regular Singular,book,horde,4.8686683177948,12.914206981658936
Regular Plural,books,horde,6.146878004074097,14.266016960144043
Sibilant Singular,sex,distinctions,9.215851068496704,38.187939405441284
Sibilant Plural,sexes,distinctions,16.03918981552124,37.14779043197632
Regular Singular,sack,distinctions,10.673026084899902,39.43208336830139
Regular Plural,sacks,distinctions,10.548792839050293,38.293639183044434
Sibilant Singular,tax,repayment,7.569074392318726,13.420011043548584
Sibilant Plural,taxes,repayment,9.663465738296509,13.589180707931519
Regular Singular,tack,repayment,14.22281527519226,34.133142709732056
Regular Plural,tacks,repayment,23.14275288581848,27.646942853927612
Sibilant Singular,size,device,8.74457573890686,22.181099891662598
Sibilant Plural,sizes,device,22.799248456954956,26.68708848953247
Regular Singular,sigh,device,9.128364324569702,30.264734268188477
Regular Plural,sighs,device,8.196112155914307,32.28645062446594
Sibilant Singular,praise,getter,8.988739728927612,16.515398502349854
Sibilant Plural,praises,getter,10.844270944595337,13.862926006317139
Regular Singular,tray,getter,7.697500467300415,10.24634337425232
Regular Plural,trays,getter,10.055667877197266,10.43255352973938
Sibilant Singular,bruise,expert,8.72042989730835,15.447946310043335
Sibilant Plural,bruises,expert,22.4989652633667,21.61818814277649
Regular Singular,brew,expert,10.430572986602783,10.423808097839355
Regular Plural,brews,expert,9.589256763458252,11.446911811828613
Sibilant Singular,raise,seeker,10.746784448623657,13.528387546539307
Sibilant Plural,raises,seeker,15.716933965682983,12.894531726837158
Regular Singular,ray,seeker,7.666299343109131,15.987955570220947
Regular Plural,rays,seeker,9.967318534851074,15.524818897247314
Sibilant Singular,blaze,admirer,10.887622356414795,27.72348666191101
Sibilant Plural,blazes,admirer,18.234880924224854,28.69751000404358
Regular Singular,play,admirer,9.231520175933838,25.591256618499756
Regular Plural,plays,admirer,11.644639015197754,21.664214372634888
Sibilant Singular,vase,steward,14.029893398284912,19.809513330459595
Sibilant Plural,vases,steward,17.516880989074707,20.359895706176758
Regular Singular,bee,steward,5.8609843254089355,21.832117080688477
Regular Plural,bees,steward,8.095451593399048,18.0589599609375
Sibilant Singular,fox,avoiders,7.4269797801971436,34.22424292564392
Sibilant Plural,foxes,avoiders,6.863904714584351,18.991817951202393
Regular Singular,shock,avoiders,8.660932064056396,15.972097396850586
Regular Plural,shocks,avoiders,10.2397141456604,20.68520212173462
Sibilant Singular,maze,expert,10.105865716934204,24.195632696151733
Sibilant Plural,mazes,expert,17.05153465270996,22.36322808265686
Regular Singular,bay,expert,6.06716775894165,20.252245903015137
Regular Plural,bays,expert,8.876055479049683,19.445221185684204
Sibilant Singular,breeze,protector,11.13338327407837,23.573964834213257
Sibilant Plural,breezes,protector,19.322779178619385,20.812015771865845
Regular Singular,tree,protector,9.56399154663086,29.950777530670166
Regular Plural,trees,protector,10.519323110580444,23.610870122909546
Sibilant Singular,cause,evaluator,8.001244068145752,48.42725849151611
Sibilant Plural,causes,evaluator,20.750866889953613,41.40420389175415
Regular Singular,paw,evaluator,11.692983627319336,40.123390674591064
Regular Plural,paws,evaluator,11.75400424003601,39.488399505615234
Sibilant Singular,phase,fanatic,10.307034015655518,22.92863631248474
Sibilant Plural,phases,fanatic,21.398396015167236,22.73708987236023
Regular Singular,fee,fanatic,8.194460391998291,21.858707666397095
Regular Plural,fees,fanatic,11.524649858474731,21.205360412597656
Sibilant Singular,fax,man,13.364094018936157,7.782870531082153
Sibilant Plural,faxes,man,17.227176427841187,7.5947489738464355
Regular Singular,shack,man,10.64858627319336,5.654050827026367
Regular Plural,shacks,man,15.014549732208252,8.195156574249268
