Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,10.150201797485352,10.348493576049805
Sibilant Plural,hoses,collector,10.99015188217163,10.026071548461914
Regular Singular,hoe,collector,11.437289237976074,8.306846618652344
Regular Plural,hoes,collector,13.752730369567871,12.128382682800293
Sibilant Singular,rose,organizer,10.746785163879395,14.164100646972656
Sibilant Plural,roses,organizer,5.971827030181885,16.352474212646484
Regular Singular,row,organizer,13.866353988647461,12.166057586669922
Regular Plural,rows,organizer,12.331965446472168,19.434783935546875
Sibilant Singular,rise,addict,13.84011459350586,10.957341194152832
Sibilant Plural,rises,addict,17.388744354248047,12.856443405151367
Regular Singular,lie,addict,12.308140754699707,11.380285263061523
Regular Plural,lies,addict,14.384000778198242,10.235640525817871
Sibilant Singular,clause,hider,11.053150177001953,24.07468032836914
Sibilant Plural,clauses,hider,11.388269424438477,23.984703063964844
Regular Singular,claw,hider,9.620972633361816,24.37913990020752
Regular Plural,claws,hider,6.573987007141113,21.44004249572754
Sibilant Singular,gaze,attractor,17.064876556396484,28.10271453857422
Sibilant Plural,gazes,attractor,15.28786563873291,22.48130989074707
Regular Singular,guy,attractor,14.690019607543945,19.462921142578125
Regular Plural,guys,attractor,13.805362701416016,22.133689403533936
Sibilant Singular,box,horde,11.743270874023438,13.074969291687012
Sibilant Plural,boxes,horde,12.692859649658203,16.833393096923828
Regular Singular,book,horde,7.3644609451293945,14.79164981842041
Regular Plural,books,horde,11.179082870483398,15.81831169128418
Sibilant Singular,sex,distinctions,8.828269958496094,14.26897144317627
Sibilant Plural,sexes,distinctions,17.0590877532959,17.775699615478516
Regular Singular,sack,distinctions,17.398344039916992,13.78780746459961
Regular Plural,sacks,distinctions,12.765101432800293,20.838844299316406
Sibilant Singular,tax,repayment,7.434823989868164,11.796884536743164
Sibilant Plural,taxes,repayment,12.883106231689453,12.221524238586426
Regular Singular,tack,repayment,14.270895957946777,12.09837532043457
Regular Plural,tacks,repayment,10.544119358062744,12.922660827636719
Sibilant Singular,size,device,12.72857666015625,13.207234382629395
Sibilant Plural,sizes,device,17.585100173950195,10.284346580505371
Regular Singular,sigh,device,10.934152603149414,10.342653274536133
Regular Plural,sighs,device,13.750085592269897,9.988384246826172
Sibilant Singular,praise,getter,12.261396408081055,22.551503658294678
Sibilant Plural,praises,getter,11.743427276611328,23.796985626220703
Regular Singular,tray,getter,12.31599235534668,23.372892379760742
Regular Plural,trays,getter,11.152355909347534,20.606271743774414
Sibilant Singular,bruise,expert,12.10837197303772,9.764044761657715
Sibilant Plural,bruises,expert,10.115769386291504,13.025334358215332
Regular Singular,brew,expert,12.117746353149414,10.03963851928711
Regular Plural,brews,expert,22.585899353027344,8.393132209777832
Sibilant Singular,raise,seeker,15.406678199768066,16.765804290771484
Sibilant Plural,raises,seeker,16.02585220336914,18.86398696899414
Regular Singular,ray,seeker,9.037361145019531,16.769607543945312
Regular Plural,rays,seeker,12.8939208984375,16.759567260742188
Sibilant Singular,blaze,admirer,11.966428756713867,13.464632987976074
Sibilant Plural,blazes,admirer,10.512174129486084,18.03700542449951
Regular Singular,play,admirer,9.471189498901367,16.137001037597656
Regular Plural,plays,admirer,9.93841552734375,15.560922622680664
Sibilant Singular,vase,steward,8.938254356384277,12.589107513427734
Sibilant Plural,vases,steward,10.865699529647827,18.706937789916992
Regular Singular,bee,steward,4.03987979888916,9.620884895324707
Regular Plural,bees,steward,5.349355697631836,12.907557487487793
Sibilant Singular,fox,avoiders,15.549734115600586,27.967062950134277
Sibilant Plural,foxes,avoiders,8.62560486793518,27.575624465942383
Regular Singular,shock,avoiders,7.634160041809082,28.834375381469727
Regular Plural,shocks,avoiders,9.11721134185791,34.6163215637207
Sibilant Singular,maze,expert,10.637842178344727,8.080398559570312
Sibilant Plural,mazes,expert,8.683818340301514,9.652030944824219
Regular Singular,bay,expert,11.73849105834961,8.444830894470215
Regular Plural,bays,expert,8.791205167770386,11.367273330688477
Sibilant Singular,breeze,protector,12.55219554901123,14.354580879211426
Sibilant Plural,breezes,protector,16.92469072341919,11.032447814941406
Regular Singular,tree,protector,6.955512046813965,13.188806533813477
Regular Plural,trees,protector,14.762898445129395,14.635278701782227
Sibilant Singular,cause,evaluator,9.268150329589844,20.47542667388916
Sibilant Plural,causes,evaluator,11.44140338897705,22.690360069274902
Regular Singular,paw,evaluator,12.6972074508667,22.978042125701904
Regular Plural,paws,evaluator,11.017241477966309,24.86929988861084
Sibilant Singular,phase,fanatic,12.622085571289062,17.68301010131836
Sibilant Plural,phases,fanatic,12.983355522155762,18.668445587158203
Regular Singular,fee,fanatic,12.895097732543945,14.890339851379395
Regular Plural,fees,fanatic,10.869781494140625,15.596372604370117
Sibilant Singular,fax,man,11.349027633666992,10.12166690826416
Sibilant Plural,faxes,man,16.797722339630127,8.217069625854492
Regular Singular,shack,man,16.788476943969727,7.190301418304443
Regular Plural,shacks,man,16.404979705810547,4.954065322875977
