Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,9.667272090911865,10.589044570922852
Sibilant Plural,hoses,collector,9.985707998275757,11.401537895202637
Regular Singular,hoe,collector,8.578248977661133,9.29502010345459
Regular Plural,hoes,collector,8.226768374443054,13.445114135742188
Sibilant Singular,rose,organizer,8.659936904907227,10.925976276397705
Sibilant Plural,roses,organizer,8.40719223022461,14.242193222045898
Regular Singular,row,organizer,11.630195617675781,11.941587924957275
Regular Plural,rows,organizer,12.212159156799316,13.442923069000244
Sibilant Singular,rise,addict,13.53919506072998,11.591395378112793
Sibilant Plural,rises,addict,13.86532211303711,10.922342300415039
Regular Singular,lie,addict,8.526509284973145,11.317322731018066
Regular Plural,lies,addict,12.170757293701172,11.209856986999512
Sibilant Singular,clause,hider,13.50620412826538,17.17215919494629
Sibilant Plural,clauses,hider,13.37472915649414,18.133851051330566
Regular Singular,claw,hider,12.512661933898926,15.97775936126709
Regular Plural,claws,hider,8.599824905395508,17.80462074279785
Sibilant Singular,gaze,attractor,11.486356735229492,17.97794532775879
Sibilant Plural,gazes,attractor,7.060574531555176,17.46094846725464
Regular Singular,guy,attractor,11.288533210754395,17.780909061431885
Regular Plural,guys,attractor,11.643657684326172,18.34918451309204
Sibilant Singular,box,horde,7.10231876373291,14.747417449951172
Sibilant Plural,boxes,horde,8.333609580993652,17.022013664245605
Regular Singular,book,horde,6.119629383087158,15.385780811309814
Regular Plural,books,horde,7.594634532928467,17.246086597442627
Sibilant Singular,sex,distinctions,4.095100402832031,10.378617286682129
Sibilant Plural,sexes,distinctions,7.440957069396973,14.430459976196289
Regular Singular,sack,distinctions,15.495911598205566,11.30713939666748
Regular Plural,sacks,distinctions,6.795784413814545,13.753795623779297
Sibilant Singular,tax,repayment,7.7465410232543945,16.296123027801514
Sibilant Plural,taxes,repayment,8.702938079833984,15.495420932769775
Regular Singular,tack,repayment,11.511381149291992,21.05481767654419
Regular Plural,tacks,repayment,9.883848905563354,21.013736248016357
Sibilant Singular,size,device,9.847087860107422,6.510185241699219
Sibilant Plural,sizes,device,9.499583005905151,8.53580093383789
Regular Singular,sigh,device,12.29140567779541,6.195408821105957
Regular Plural,sighs,device,10.744681358337402,7.581257343292236
Sibilant Singular,praise,getter,11.602583885192871,18.692581176757812
Sibilant Plural,praises,getter,11.535210013389587,19.907085418701172
Regular Singular,tray,getter,10.516401290893555,14.833184719085693
Regular Plural,trays,getter,9.188445568084717,18.83992099761963
Sibilant Singular,bruise,expert,11.977096557617188,9.670395851135254
Sibilant Plural,bruises,expert,13.345529556274414,10.391646385192871
Regular Singular,brew,expert,9.041364908218384,9.690616607666016
Regular Plural,brews,expert,10.505468130111694,9.198525428771973
Sibilant Singular,raise,seeker,11.781005859375,15.423784255981445
Sibilant Plural,raises,seeker,12.674644470214844,16.01872730255127
Regular Singular,ray,seeker,11.345156192779541,12.770396709442139
Regular Plural,rays,seeker,11.899925231933594,13.583103656768799
Sibilant Singular,blaze,admirer,14.347727298736572,9.15710735321045
Sibilant Plural,blazes,admirer,8.519556522369385,12.232660293579102
Regular Singular,play,admirer,8.608327865600586,10.059661865234375
Regular Plural,plays,admirer,10.524859428405762,10.376785278320312
Sibilant Singular,vase,steward,5.253957509994507,10.307775497436523
Sibilant Plural,vases,steward,7.950016021728516,15.595415592193604
Regular Singular,bee,steward,4.557835578918457,12.846668720245361
Regular Plural,bees,steward,6.140288352966309,17.39403200149536
Sibilant Singular,fox,avoiders,8.016530990600586,15.265818119049072
Sibilant Plural,foxes,avoiders,5.286655306816101,20.330537796020508
Regular Singular,shock,avoiders,10.779369354248047,14.375863075256348
Regular Plural,shocks,avoiders,6.9942755699157715,20.48102855682373
Sibilant Singular,maze,expert,14.221880435943604,8.832021713256836
Sibilant Plural,mazes,expert,7.354832649230957,10.457902908325195
Regular Singular,bay,expert,10.245160102844238,10.8894681930542
Regular Plural,bays,expert,6.9438581466674805,12.260233879089355
Sibilant Singular,breeze,protector,11.336404800415039,13.375490665435791
Sibilant Plural,breezes,protector,14.372339487075806,12.746213912963867
Regular Singular,tree,protector,7.883659362792969,13.96263313293457
Regular Plural,trees,protector,11.99149227142334,13.236352443695068
Sibilant Singular,cause,evaluator,6.784365653991699,16.922666549682617
Sibilant Plural,causes,evaluator,10.942575454711914,17.90134906768799
Regular Singular,paw,evaluator,9.733262062072754,13.88556957244873
Regular Plural,paws,evaluator,10.205889701843262,17.108847618103027
Sibilant Singular,phase,fanatic,11.687357902526855,15.366937160491943
Sibilant Plural,phases,fanatic,5.937128782272339,14.383592128753662
Regular Singular,fee,fanatic,10.843350410461426,15.274043560028076
Regular Plural,fees,fanatic,10.784384846687317,14.361416816711426
Sibilant Singular,fax,man,4.296311259269714,3.614016056060791
Sibilant Plural,faxes,man,7.425840377807617,6.451844215393066
Regular Singular,shack,man,11.765453577041626,5.224151611328125
Regular Plural,shacks,man,10.534440040588379,6.863807678222656
