Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,11.945939064025879,10.761194229125977
Sibilant Plural,hoses,collector,6.650464296340942,12.324814796447754
Regular Singular,hoe,collector,9.778173923492432,9.969390869140625
Regular Plural,hoes,collector,8.084743022918701,12.086111068725586
Sibilant Singular,rose,organizer,9.78503131866455,13.83642292022705
Sibilant Plural,roses,organizer,9.821192741394043,13.452843189239502
Regular Singular,row,organizer,11.317374229431152,13.993569374084473
Regular Plural,rows,organizer,11.497200012207031,13.42440128326416
Sibilant Singular,rise,addict,13.0488862991333,13.971160888671875
Sibilant Plural,rises,addict,14.742625713348389,13.405226707458496
Regular Singular,lie,addict,8.546098709106445,12.460700035095215
Regular Plural,lies,addict,13.800155639648438,11.48476791381836
Sibilant Singular,clause,hider,16.01329278945923,18.69600772857666
Sibilant Plural,clauses,hider,10.00953996181488,18.898159980773926
Regular Singular,claw,hider,13.31755256652832,16.941017627716064
Regular Plural,claws,hider,11.142087936401367,20.350316047668457
Sibilant Singular,gaze,attractor,12.3932523727417,18.695316314697266
Sibilant Plural,gazes,attractor,4.638164281845093,18.11057186126709
Regular Singular,guy,attractor,9.873825073242188,17.61089563369751
Regular Plural,guys,attractor,11.105138778686523,18.068933486938477
Sibilant Singular,box,horde,7.834489822387695,19.42480754852295
Sibilant Plural,boxes,horde,8.904784202575684,22.037370204925537
Regular Singular,book,horde,7.116559982299805,19.638574600219727
Regular Plural,books,horde,8.472335815429688,21.752912044525146
Sibilant Singular,sex,distinctions,5.815075874328613,10.77585506439209
Sibilant Plural,sexes,distinctions,7.135723114013672,13.847049236297607
Regular Singular,sack,distinctions,16.085737228393555,10.023214340209961
Regular Plural,sacks,distinctions,8.102859139442444,12.335686683654785
Sibilant Singular,tax,repayment,7.963479042053223,12.006940364837646
Sibilant Plural,taxes,repayment,9.22182559967041,12.330554962158203
Regular Singular,tack,repayment,10.110474586486816,18.186187267303467
Regular Plural,tacks,repayment,11.358710289001465,17.4723539352417
Sibilant Singular,size,device,9.128270149230957,9.255659103393555
Sibilant Plural,sizes,device,10.639835357666016,8.998046875
Regular Singular,sigh,device,13.552346229553223,7.46594762802124
Regular Plural,sighs,device,10.309607744216919,8.03559684753418
Sibilant Singular,praise,getter,11.583030700683594,20.251694679260254
Sibilant Plural,praises,getter,10.962153673171997,20.925189971923828
Regular Singular,tray,getter,11.289918899536133,17.518381118774414
Regular Plural,trays,getter,8.211247324943542,20.437429428100586
Sibilant Singular,bruise,expert,13.100709438323975,9.999022483825684
Sibilant Plural,bruises,expert,11.350716710090637,11.003410339355469
Regular Singular,brew,expert,9.170412302017212,11.019132614135742
Regular Plural,brews,expert,10.059864521026611,11.218374252319336
Sibilant Singular,raise,seeker,12.924376487731934,16.37339973449707
Sibilant Plural,raises,seeker,12.856354713439941,16.931123733520508
Regular Singular,ray,seeker,10.737809658050537,15.151275634765625
Regular Plural,rays,seeker,14.274820327758789,15.375408172607422
Sibilant Singular,blaze,admirer,13.760972023010254,13.989265441894531
Sibilant Plural,blazes,admirer,6.687334299087524,16.040310382843018
Regular Singular,play,admirer,7.918967247009277,12.995540618896484
Regular Plural,plays,admirer,9.882766723632812,13.637027740478516
Sibilant Singular,vase,steward,7.442813396453857,13.503203392028809
Sibilant Plural,vases,steward,9.10354232788086,15.88914966583252
Regular Singular,bee,steward,6.887505054473877,12.715764999389648
Regular Plural,bees,steward,7.262545585632324,16.2062931060791
Sibilant Singular,fox,avoiders,5.726397514343262,18.08552885055542
Sibilant Plural,foxes,avoiders,5.506184101104736,23.240914344787598
Regular Singular,shock,avoiders,9.061515808105469,17.696778297424316
Regular Plural,shocks,avoiders,8.429621994495392,21.48721981048584
Sibilant Singular,maze,expert,15.348021507263184,11.299381256103516
Sibilant Plural,mazes,expert,6.462881684303284,11.816539764404297
Regular Singular,bay,expert,10.115887641906738,11.347946166992188
Regular Plural,bays,expert,6.693986177444458,12.871964454650879
Sibilant Singular,breeze,protector,12.735135078430176,12.339332580566406
Sibilant Plural,breezes,protector,15.211658239364624,11.96131420135498
Regular Singular,tree,protector,6.8349103927612305,12.934399604797363
Regular Plural,trees,protector,12.0289945602417,13.053675651550293
Sibilant Singular,cause,evaluator,7.497879505157471,16.200989723205566
Sibilant Plural,causes,evaluator,12.600092887878418,16.754295349121094
Regular Singular,paw,evaluator,11.164393424987793,18.219226837158203
Regular Plural,paws,evaluator,12.423866271972656,20.61344623565674
Sibilant Singular,phase,fanatic,11.396990776062012,15.045328140258789
Sibilant Plural,phases,fanatic,5.509595990180969,14.074754238128662
Regular Singular,fee,fanatic,11.067126274108887,14.758121013641357
Regular Plural,fees,fanatic,10.21622771024704,13.522976398468018
Sibilant Singular,fax,man,5.707442283630371,5.046857833862305
Sibilant Plural,faxes,man,7.470056056976318,7.159072399139404
Regular Singular,shack,man,12.550122737884521,6.251084804534912
Regular Plural,shacks,man,14.669429779052734,5.75922966003418
