Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,10.890369415283203,13.596569538116455
Sibilant Plural,hoses,collector,7.352476716041565,14.051439762115479
Regular Singular,hoe,collector,9.613158702850342,12.088890552520752
Regular Plural,hoes,collector,7.999719619750977,16.105184078216553
Sibilant Singular,rose,organizer,10.10824203491211,13.595617771148682
Sibilant Plural,roses,organizer,9.959573745727539,17.103431224822998
Regular Singular,row,organizer,13.223382949829102,15.412553787231445
Regular Plural,rows,organizer,12.047355651855469,18.264296531677246
Sibilant Singular,rise,addict,11.4865083694458,16.106327056884766
Sibilant Plural,rises,addict,6.968290090560913,18.403656005859375
Regular Singular,lie,addict,7.937311172485352,17.151321411132812
Regular Plural,lies,addict,12.3787260055542,16.193909645080566
Sibilant Singular,clause,hider,11.783408641815186,16.1998233795166
Sibilant Plural,clauses,hider,11.778075337409973,16.589892387390137
Regular Singular,claw,hider,13.970823764801025,15.819935321807861
Regular Plural,claws,hider,9.734272003173828,16.41634750366211
Sibilant Singular,gaze,attractor,12.501933097839355,16.94550132751465
Sibilant Plural,gazes,attractor,9.016268968582153,17.004679679870605
Regular Singular,guy,attractor,7.132322311401367,15.789693832397461
Regular Plural,guys,attractor,9.66298770904541,17.128096103668213
Sibilant Singular,box,horde,6.870268821716309,22.040074348449707
Sibilant Plural,boxes,horde,8.063918113708496,23.51623249053955
Regular Singular,book,horde,5.475434303283691,21.12106466293335
Regular Plural,books,horde,7.065634727478027,23.596739292144775
Sibilant Singular,sex,distinctions,5.980273723602295,12.20604419708252
Sibilant Plural,sexes,distinctions,5.820491313934326,14.363544464111328
Regular Singular,sack,distinctions,14.447874069213867,16.84779167175293
Regular Plural,sacks,distinctions,8.394993543624878,14.721007347106934
Sibilant Singular,tax,repayment,6.376420974731445,13.807859897613525
Sibilant Plural,taxes,repayment,8.301501274108887,13.234741687774658
Regular Singular,tack,repayment,11.724821090698242,19.888712406158447
Regular Plural,tacks,repayment,6.727289915084839,18.06118154525757
Sibilant Singular,size,device,8.63287353515625,10.281805038452148
Sibilant Plural,sizes,device,7.918176770210266,7.698050022125244
Regular Singular,sigh,device,13.41685676574707,8.782503128051758
Regular Plural,sighs,device,8.011037826538086,7.828969955444336
Sibilant Singular,praise,getter,10.004354476928711,22.506893157958984
Sibilant Plural,praises,getter,8.031580090522766,22.552387237548828
Regular Singular,tray,getter,10.361948013305664,17.109110832214355
Regular Plural,trays,getter,7.540414810180664,19.612542152404785
Sibilant Singular,bruise,expert,13.117694854736328,7.914234161376953
Sibilant Plural,bruises,expert,12.01491117477417,9.461203575134277
Regular Singular,brew,expert,12.248135566711426,10.1323881149292
Regular Plural,brews,expert,16.25296974182129,11.343947410583496
Sibilant Singular,raise,seeker,12.165067672729492,22.01464557647705
Sibilant Plural,raises,seeker,12.948447227478027,22.082550048828125
Regular Singular,ray,seeker,10.9192214012146,19.076674938201904
Regular Plural,rays,seeker,15.237285614013672,18.686686515808105
Sibilant Singular,blaze,admirer,12.556257247924805,13.37039566040039
Sibilant Plural,blazes,admirer,5.385699391365051,17.630702018737793
Regular Singular,play,admirer,8.12759780883789,12.276119232177734
Regular Plural,plays,admirer,9.085986137390137,13.642971992492676
Sibilant Singular,vase,steward,3.215489685535431,10.991378784179688
Sibilant Plural,vases,steward,6.962317228317261,12.769133567810059
Regular Singular,bee,steward,3.668576240539551,13.87101936340332
Regular Plural,bees,steward,4.009134292602539,13.443265914916992
Sibilant Singular,fox,avoiders,5.685079574584961,20.558361053466797
Sibilant Plural,foxes,avoiders,8.48092246055603,21.907581329345703
Regular Singular,shock,avoiders,10.410346984863281,19.114869594573975
Regular Plural,shocks,avoiders,7.9256346225738525,21.12861204147339
Sibilant Singular,maze,expert,16.10298442840576,11.646892547607422
Sibilant Plural,mazes,expert,5.553524672985077,12.308256149291992
Regular Singular,bay,expert,11.500057220458984,11.289220809936523
Regular Plural,bays,expert,5.97667932510376,12.018549919128418
Sibilant Singular,breeze,protector,11.548891067504883,16.719936847686768
Sibilant Plural,breezes,protector,7.416226506233215,15.971228122711182
Regular Singular,tree,protector,8.281965255737305,14.616876602172852
Regular Plural,trees,protector,10.037073135375977,16.86996030807495
Sibilant Singular,cause,evaluator,7.036905765533447,21.781474113464355
Sibilant Plural,causes,evaluator,9.64846420288086,20.79023027420044
Regular Singular,paw,evaluator,13.573049545288086,20.046157360076904
Regular Plural,paws,evaluator,11.642908096313477,24.111075401306152
Sibilant Singular,phase,fanatic,12.195145606994629,14.97817087173462
Sibilant Plural,phases,fanatic,4.435952663421631,15.358920097351074
Regular Singular,fee,fanatic,12.289077758789062,16.34088706970215
Regular Plural,fees,fanatic,9.166601657867432,17.51204013824463
Sibilant Singular,fax,man,6.538735747337341,4.4918646812438965
Sibilant Plural,faxes,man,7.634495258331299,7.776934623718262
Regular Singular,shack,man,15.456430435180664,5.806552886962891
Regular Plural,shacks,man,9.330358386039734,6.737148284912109
