Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,12.213748931884766,9.637669563293457
Sibilant Plural,hoses,collector,13.794138431549072,11.046036720275879
Regular Singular,hoe,collector,14.223869323730469,10.941446304321289
Regular Plural,hoes,collector,15.50150442123413,10.622978210449219
Sibilant Singular,rose,organizer,10.212727546691895,16.46670961380005
Sibilant Plural,roses,organizer,9.263118743896484,16.44618797302246
Regular Singular,row,organizer,12.542083740234375,14.79423713684082
Regular Plural,rows,organizer,11.203145980834961,16.7763934135437
Sibilant Singular,rise,addict,12.932955741882324,12.775836944580078
Sibilant Plural,rises,addict,16.639759063720703,11.153915405273438
Regular Singular,lie,addict,8.58137321472168,14.477385520935059
Regular Plural,lies,addict,12.56243896484375,13.245769500732422
Sibilant Singular,clause,hider,12.818724632263184,14.796512126922607
Sibilant Plural,clauses,hider,13.360533595085144,15.751172542572021
Regular Singular,claw,hider,12.81344985961914,16.430954933166504
Regular Plural,claws,hider,9.978845596313477,14.07577896118164
Sibilant Singular,gaze,attractor,15.968250274658203,14.684252738952637
Sibilant Plural,gazes,attractor,14.103759765625,16.63728618621826
Regular Singular,guy,attractor,11.012899398803711,15.916804313659668
Regular Plural,guys,attractor,12.752602577209473,17.86746597290039
Sibilant Singular,box,horde,9.330364227294922,14.799345016479492
Sibilant Plural,boxes,horde,12.005157470703125,16.49149799346924
Regular Singular,book,horde,5.280157089233398,16.17219352722168
Regular Plural,books,horde,8.319303512573242,15.891489028930664
Sibilant Singular,sex,distinctions,6.109719276428223,13.165900230407715
Sibilant Plural,sexes,distinctions,11.165721416473389,14.908245086669922
Regular Singular,sack,distinctions,13.818510055541992,13.460938453674316
Regular Plural,sacks,distinctions,12.462458610534668,15.973137855529785
Sibilant Singular,tax,repayment,7.606930732727051,11.510601043701172
Sibilant Plural,taxes,repayment,9.722554206848145,11.609095573425293
Regular Singular,tack,repayment,12.557506561279297,16.896641731262207
Regular Plural,tacks,repayment,12.2903470993042,13.875782012939453
Sibilant Singular,size,device,9.453907012939453,8.500215530395508
Sibilant Plural,sizes,device,14.401032447814941,12.795019149780273
Regular Singular,sigh,device,14.353972434997559,8.919636726379395
Regular Plural,sighs,device,14.981005668640137,6.862390518188477
Sibilant Singular,praise,getter,9.557043075561523,16.24156665802002
Sibilant Plural,praises,getter,9.366458892822266,18.417198181152344
Regular Singular,tray,getter,10.977720260620117,18.515846252441406
Regular Plural,trays,getter,14.280681133270264,16.412281036376953
Sibilant Singular,bruise,expert,12.839092373847961,9.158308029174805
Sibilant Plural,bruises,expert,14.01302456855774,10.06873893737793
Regular Singular,brew,expert,12.700857162475586,12.084492683410645
Regular Plural,brews,expert,15.137579441070557,10.180986404418945
Sibilant Singular,raise,seeker,13.324332237243652,12.562722206115723
Sibilant Plural,raises,seeker,13.723773956298828,15.100520610809326
Regular Singular,ray,seeker,11.135122299194336,9.857139587402344
Regular Plural,rays,seeker,13.714102745056152,11.417428016662598
Sibilant Singular,blaze,admirer,11.75978708267212,15.010533332824707
Sibilant Plural,blazes,admirer,12.856792449951172,13.350765228271484
Regular Singular,play,admirer,7.97702693939209,14.997117042541504
Regular Plural,plays,admirer,8.363032341003418,14.57063102722168
Sibilant Singular,vase,steward,8.124910593032837,12.999732971191406
Sibilant Plural,vases,steward,13.420750617980957,13.85285758972168
Regular Singular,bee,steward,5.440056800842285,11.223203659057617
Regular Plural,bees,steward,5.451141357421875,13.89094352722168
Sibilant Singular,fox,avoiders,11.401949882507324,21.76893949508667
Sibilant Plural,foxes,avoiders,11.191981315612793,23.899423599243164
Regular Singular,shock,avoiders,9.08425235748291,18.807323932647705
Regular Plural,shocks,avoiders,10.958537101745605,23.237357139587402
Sibilant Singular,maze,expert,10.205284357070923,10.053303718566895
Sibilant Plural,mazes,expert,15.236729502677917,9.797338485717773
Regular Singular,bay,expert,10.610086441040039,12.287895202636719
Regular Plural,bays,expert,9.790501356124878,11.673510551452637
Sibilant Singular,breeze,protector,12.711069107055664,12.985231399536133
Sibilant Plural,breezes,protector,15.685801029205322,13.56693172454834
Regular Singular,tree,protector,7.168774127960205,12.4258451461792
Regular Plural,trees,protector,11.908136367797852,16.10065507888794
Sibilant Singular,cause,evaluator,8.861734390258789,19.53624153137207
Sibilant Plural,causes,evaluator,10.873498916625977,19.681476593017578
Regular Singular,paw,evaluator,14.822364807128906,18.877973556518555
Regular Plural,paws,evaluator,9.505008220672607,19.663142204284668
Sibilant Singular,phase,fanatic,13.499361038208008,15.71619176864624
Sibilant Plural,phases,fanatic,9.643635511398315,12.935872077941895
Regular Singular,fee,fanatic,10.837812423706055,14.742972373962402
Regular Plural,fees,fanatic,8.735946655273438,16.140374183654785
Sibilant Singular,fax,man,6.759778738021851,6.67933988571167
Sibilant Plural,faxes,man,10.051689147949219,5.782315254211426
Regular Singular,shack,man,13.444542407989502,5.259163856506348
Regular Plural,shacks,man,15.895174503326416,4.811737060546875
