Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,10.706501960754395,10.34787654876709
Sibilant Plural,hoses,collector,12.0538010597229,11.222757339477539
Regular Singular,hoe,collector,13.423724174499512,11.002452850341797
Regular Plural,hoes,collector,17.141465187072754,10.931042671203613
Sibilant Singular,rose,organizer,10.136215209960938,15.608913898468018
Sibilant Plural,roses,organizer,9.70610237121582,15.456825256347656
Regular Singular,row,organizer,10.642857551574707,16.420830726623535
Regular Plural,rows,organizer,10.515671253204346,17.057207107543945
Sibilant Singular,rise,addict,10.982685089111328,13.706344604492188
Sibilant Plural,rises,addict,13.40232253074646,12.829705238342285
Regular Singular,lie,addict,8.344088554382324,12.079163551330566
Regular Plural,lies,addict,12.565320014953613,12.807785987854004
Sibilant Singular,clause,hider,9.938064575195312,14.813624858856201
Sibilant Plural,clauses,hider,12.134432315826416,15.412717342376709
Regular Singular,claw,hider,12.50348949432373,14.846485614776611
Regular Plural,claws,hider,10.614136219024658,15.422938823699951
Sibilant Singular,gaze,attractor,12.43377685546875,15.966346740722656
Sibilant Plural,gazes,attractor,14.498816967010498,17.34984254837036
Regular Singular,guy,attractor,7.704931259155273,16.728846549987793
Regular Plural,guys,attractor,8.948625564575195,17.879634857177734
Sibilant Singular,box,horde,8.981514930725098,16.880053997039795
Sibilant Plural,boxes,horde,11.363779544830322,16.088245391845703
Regular Singular,book,horde,5.725693702697754,15.226389408111572
Regular Plural,books,horde,8.358475685119629,15.576709747314453
Sibilant Singular,sex,distinctions,6.791342258453369,12.300851821899414
Sibilant Plural,sexes,distinctions,12.05052900314331,13.258943557739258
Regular Singular,sack,distinctions,12.576332092285156,12.464879989624023
Regular Plural,sacks,distinctions,12.85933256149292,14.00752067565918
Sibilant Singular,tax,repayment,7.500319004058838,16.563711643218994
Sibilant Plural,taxes,repayment,10.048813819885254,16.728137016296387
Regular Singular,tack,repayment,12.239631652832031,17.130767822265625
Regular Plural,tacks,repayment,11.934008121490479,19.174251079559326
Sibilant Singular,size,device,6.978170394897461,9.511958122253418
Sibilant Plural,sizes,device,10.615714073181152,9.24687385559082
Regular Singular,sigh,device,12.175878524780273,9.077400207519531
Regular Plural,sighs,device,12.08208179473877,9.261308670043945
Sibilant Singular,praise,getter,9.980535507202148,18.23253631591797
Sibilant Plural,praises,getter,11.622691631317139,19.05547332763672
Regular Singular,tray,getter,13.173332214355469,16.473235607147217
Regular Plural,trays,getter,13.98175859451294,14.249329566955566
Sibilant Singular,bruise,expert,13.172268390655518,9.553174018859863
Sibilant Plural,bruises,expert,10.559516906738281,10.639123916625977
Regular Singular,brew,expert,13.3074369430542,10.099007606506348
Regular Plural,brews,expert,15.616928815841675,9.709657669067383
Sibilant Singular,raise,seeker,11.997650146484375,12.87187671661377
Sibilant Plural,raises,seeker,11.882607460021973,15.412584781646729
Regular Singular,ray,seeker,9.618974685668945,15.581191539764404
Regular Plural,rays,seeker,12.842434406280518,12.844581604003906
Sibilant Singular,blaze,admirer,12.056726932525635,16.28016710281372
Sibilant Plural,blazes,admirer,15.855264663696289,16.332848072052002
Regular Singular,play,admirer,6.491730213165283,16.415803909301758
Regular Plural,plays,admirer,8.423583984375,16.569413661956787
Sibilant Singular,vase,steward,13.540885925292969,14.436261177062988
Sibilant Plural,vases,steward,13.72350263595581,16.048721313476562
Regular Singular,bee,steward,8.620673179626465,13.454316139221191
Regular Plural,bees,steward,7.223641395568848,14.09855318069458
Sibilant Singular,fox,avoiders,8.635217666625977,22.830472946166992
Sibilant Plural,foxes,avoiders,9.82343578338623,22.128849983215332
Regular Singular,shock,avoiders,9.176653861999512,23.704023361206055
Regular Plural,shocks,avoiders,11.868786811828613,22.472320556640625
Sibilant Singular,maze,expert,12.729823589324951,11.630012512207031
Sibilant Plural,mazes,expert,16.27614402770996,11.053974151611328
Regular Singular,bay,expert,9.204280853271484,12.18396282196045
Regular Plural,bays,expert,13.325974464416504,12.713970184326172
Sibilant Singular,breeze,protector,11.93791675567627,11.099132061004639
Sibilant Plural,breezes,protector,17.21557855606079,13.37286901473999
Regular Singular,tree,protector,6.819301605224609,11.609265327453613
Regular Plural,trees,protector,10.974259376525879,13.977462768554688
Sibilant Singular,cause,evaluator,8.215608596801758,19.223795890808105
Sibilant Plural,causes,evaluator,10.640987396240234,16.701756477355957
Regular Singular,paw,evaluator,12.679924011230469,15.627839088439941
Regular Plural,paws,evaluator,10.343974590301514,18.005817413330078
Sibilant Singular,phase,fanatic,12.790350914001465,13.241196155548096
Sibilant Plural,phases,fanatic,12.555167198181152,11.907372951507568
Regular Singular,fee,fanatic,10.571574926376343,12.327169418334961
Regular Plural,fees,fanatic,11.338828086853027,11.829324722290039
Sibilant Singular,fax,man,10.53765082359314,7.256056785583496
Sibilant Plural,faxes,man,15.35034465789795,7.4863786697387695
Regular Singular,shack,man,11.649741172790527,5.376572608947754
Regular Plural,shacks,man,16.725826263427734,7.955775260925293
