Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,9.29403305053711,10.44678783416748
Sibilant Plural,hoses,collector,5.714109182357788,11.757197380065918
Regular Singular,hoe,collector,9.514864444732666,9.725532531738281
Regular Plural,hoes,collector,10.162932395935059,16.179893493652344
Sibilant Singular,rose,organizer,8.398744583129883,12.012835502624512
Sibilant Plural,roses,organizer,5.902376890182495,13.939249992370605
Regular Singular,row,organizer,13.233358383178711,18.46997356414795
Regular Plural,rows,organizer,6.424654603004456,19.358848571777344
Sibilant Singular,rise,addict,11.127388954162598,11.153319358825684
Sibilant Plural,rises,addict,5.772895336151123,10.389291763305664
Regular Singular,lie,addict,7.29360818862915,13.92770767211914
Regular Plural,lies,addict,13.486198425292969,12.808647155761719
Sibilant Singular,clause,hider,13.765308380126953,20.92954158782959
Sibilant Plural,clauses,hider,10.431610584259033,21.0601806640625
Regular Singular,claw,hider,9.023341417312622,20.189616203308105
Regular Plural,claws,hider,7.37401008605957,20.699792861938477
Sibilant Singular,gaze,attractor,13.095496416091919,20.175524711608887
Sibilant Plural,gazes,attractor,4.2563682198524475,19.944729804992676
Regular Singular,guy,attractor,10.314885139465332,20.078264236450195
Regular Plural,guys,attractor,11.381843566894531,20.507307052612305
Sibilant Singular,box,horde,10.296568870544434,18.101731300354004
Sibilant Plural,boxes,horde,9.54348087310791,19.315528869628906
Regular Singular,book,horde,6.995336532592773,15.622303009033203
Regular Plural,books,horde,7.27625036239624,19.244388580322266
Sibilant Singular,sex,distinctions,8.467187881469727,14.079449653625488
Sibilant Plural,sexes,distinctions,8.135154128074646,12.38208293914795
Regular Singular,sack,distinctions,15.025409698486328,13.733109474182129
Regular Plural,sacks,distinctions,8.623361110687256,12.863626480102539
Sibilant Singular,tax,repayment,7.696488380432129,20.83025360107422
Sibilant Plural,taxes,repayment,12.015328407287598,19.52306079864502
Regular Singular,tack,repayment,16.395641326904297,16.784245491027832
Regular Plural,tacks,repayment,8.010791301727295,19.220584869384766
Sibilant Singular,size,device,8.983731269836426,13.808172225952148
Sibilant Plural,sizes,device,9.197234153747559,13.950681686401367
Regular Singular,sigh,device,15.202472686767578,11.922586441040039
Regular Plural,sighs,device,8.087578773498535,10.281826972961426
Sibilant Singular,praise,getter,10.77015495300293,22.59608268737793
Sibilant Plural,praises,getter,10.690144777297974,23.756702423095703
Regular Singular,tray,getter,11.720205307006836,22.271821975708008
Regular Plural,trays,getter,10.821500301361084,26.162190437316895
Sibilant Singular,bruise,expert,16.193132400512695,10.542414665222168
Sibilant Plural,bruises,expert,11.271393537521362,9.533912658691406
Regular Singular,brew,expert,9.349190950393677,11.639300346374512
Regular Plural,brews,expert,9.55506944656372,8.737070083618164
Sibilant Singular,raise,seeker,12.675467491149902,15.078125953674316
Sibilant Plural,raises,seeker,10.435927987098694,18.298044204711914
Regular Singular,ray,seeker,7.166130065917969,14.322998046875
Regular Plural,rays,seeker,7.58350133895874,18.750021934509277
Sibilant Singular,blaze,admirer,11.148965239524841,17.407885551452637
Sibilant Plural,blazes,admirer,3.0586365461349487,20.889446258544922
Regular Singular,play,admirer,6.892861843109131,13.992239952087402
Regular Plural,plays,admirer,8.111032485961914,15.211326599121094
Sibilant Singular,vase,steward,7.462160587310791,16.76228141784668
Sibilant Plural,vases,steward,7.736022233963013,18.611708641052246
Regular Singular,bee,steward,7.2472639083862305,13.022391319274902
Regular Plural,bees,steward,5.19659948348999,14.374059677124023
Sibilant Singular,fox,avoiders,6.606261730194092,23.76416826248169
Sibilant Plural,foxes,avoiders,8.752454280853271,22.396872520446777
Regular Singular,shock,avoiders,11.49551773071289,20.098244667053223
Regular Plural,shocks,avoiders,6.831667065620422,19.848780632019043
Sibilant Singular,maze,expert,10.0682692527771,10.895179748535156
Sibilant Plural,mazes,expert,2.2800867557525635,10.987492561340332
Regular Singular,bay,expert,10.217772483825684,10.672991752624512
Regular Plural,bays,expert,6.738640308380127,15.20382308959961
Sibilant Singular,breeze,protector,11.447704792022705,11.913358688354492
Sibilant Plural,breezes,protector,9.48012101650238,11.269920349121094
Regular Singular,tree,protector,6.564825057983398,11.066915512084961
Regular Plural,trees,protector,12.157981872558594,16.90069580078125
Sibilant Singular,cause,evaluator,7.527808666229248,20.6715726852417
Sibilant Plural,causes,evaluator,13.621342658996582,18.462020874023438
Regular Singular,paw,evaluator,6.1824727058410645,16.65493869781494
Regular Plural,paws,evaluator,5.204007387161255,23.49162006378174
Sibilant Singular,phase,fanatic,12.382690221071243,15.115875244140625
Sibilant Plural,phases,fanatic,8.033443927764893,13.604455947875977
Regular Singular,fee,fanatic,16.295734405517578,15.093414306640625
Regular Plural,fees,fanatic,13.279986321926117,17.21818733215332
Sibilant Singular,fax,man,4.5944297313690186,3.199758291244507
Sibilant Plural,faxes,man,8.31501817703247,9.232754707336426
Regular Singular,shack,man,12.257280111312866,6.127386569976807
Regular Plural,shacks,man,16.129413604736328,4.874238967895508
