Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,11.514554977416992,6.253673076629639
Sibilant Plural,blazes,protector,8.512091159820557,6.757937431335449
Regular Singular,spark,protector,7.411957263946533,5.318953990936279
Regular Plural,sparks,protector,9.596138000488281,7.559873104095459
Sibilant Singular,breeze,protector,11.936813354492188,8.18016529083252
Sibilant Plural,breezes,protector,10.785314083099365,8.529599666595459
Regular Singular,storm,protector,8.802885055541992,9.790782928466797
Regular Plural,storms,protector,16.53894805908203,9.713889122009277
Sibilant Singular,tax,receivers,8.009644508361816,10.973264694213867
Sibilant Plural,taxes,receivers,9.437098503112793,12.769979476928711
Regular Singular,toll,receivers,13.412239074707031,12.87378215789795
Regular Plural,tolls,receivers,18.978466033935547,10.158784866333008
Sibilant Singular,sex,disparities,7.926695823669434,22.80892539024353
Sibilant Plural,sexes,disparities,13.58137321472168,23.661638259887695
Regular Singular,gender,disparities,6.3798418045043945,21.70343828201294
Regular Plural,genders,disparities,10.341546416282654,24.37475299835205
Sibilant Singular,vase,maker,16.155000686645508,6.393044471740723
Sibilant Plural,vases,maker,20.618796348571777,5.725205421447754
Regular Singular,pot,maker,4.569154262542725,4.159943580627441
Regular Plural,pots,maker,9.660218238830566,4.394813537597656
Sibilant Singular,hoax,victims,17.92977237701416,9.784797668457031
Sibilant Plural,hoaxes,victims,19.591517448425293,11.528655052185059
Regular Singular,joke,victims,11.260268211364746,3.7178337574005127
Regular Plural,jokes,victims,11.745022773742676,8.254464149475098
Sibilant Singular,phase,classifier,13.407000541687012,19.599323272705078
Sibilant Plural,phases,classifier,10.33158016204834,21.151495933532715
Regular Singular,step,classifier,13.328228950500488,20.520529747009277
Regular Plural,steps,classifier,17.725820541381836,20.68303394317627
Sibilant Singular,hose,installer,8.238569498062134,10.162416458129883
Sibilant Plural,hoses,installer,10.797661304473877,10.466419219970703
Regular Singular,pipe,installer,10.475455284118652,10.986933708190918
Regular Plural,pipes,installer,12.664985179901123,11.078513145446777
Sibilant Singular,fox,chaser,6.823248863220215,10.118624687194824
Sibilant Plural,foxes,chaser,15.093592643737793,10.938454627990723
Regular Singular,wolf,chaser,6.227395057678223,12.294201850891113
Regular Plural,wolves,chaser,13.699419021606445,10.275352478027344
Sibilant Singular,mix,winner,6.9765167236328125,16.140850067138672
Sibilant Plural,mixes,winner,11.226333618164062,16.638219833374023
Regular Singular,blend,winner,8.807416319847107,20.923355102539062
Regular Plural,blends,winner,12.68966817855835,19.95131492614746
Sibilant Singular,nose,rashes,12.838438034057617,5.681657791137695
Sibilant Plural,noses,rashes,14.110884189605713,14.20185375213623
