Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,19.51884913444519,26.697251796722412
Sibilant Plural,blazes,protector,22.66323161125183,26.433560848236084
Regular Singular,spark,protector,17.31984543800354,25.491586446762085
Regular Plural,sparks,protector,19.16691017150879,26.648738384246826
Sibilant Singular,breeze,protector,7.9403674602508545,12.95897912979126
Sibilant Plural,breezes,protector,12.02424931526184,14.797501802444458
Regular Singular,storm,protector,8.553107738494873,14.221775531768799
Regular Plural,storms,protector,12.463587284088135,13.67380690574646
Sibilant Singular,tax,receivers,8.819868087768555,11.679286003112793
Sibilant Plural,taxes,receivers,8.879676818847656,12.04507064819336
Regular Singular,toll,receivers,13.26318097114563,11.60636568069458
Regular Plural,tolls,receivers,15.819273948669434,10.041059970855713
Sibilant Singular,sex,disparities,7.23090386390686,17.174089193344116
Sibilant Plural,sexes,disparities,16.32359743118286,19.77229952812195
Regular Singular,gender,disparities,8.368943691253662,17.549480438232422
Regular Plural,genders,disparities,11.522377014160156,19.769225597381592
Sibilant Singular,vase,maker,9.478139162063599,16.427448749542236
Sibilant Plural,vases,maker,12.732799053192139,17.16816520690918
Regular Singular,pot,maker,5.337718725204468,18.337956428527832
Regular Plural,pots,maker,9.369086503982544,17.969273328781128
Sibilant Singular,hoax,victims,16.0761501789093,24.468281269073486
Sibilant Plural,hoaxes,victims,21.79918122291565,26.38051700592041
Regular Singular,joke,victims,12.006646871566772,23.76734161376953
Regular Plural,jokes,victims,14.679357290267944,26.250728845596313
Sibilant Singular,phase,classifier,14.810336828231812,30.819263458251953
Sibilant Plural,phases,classifier,17.29702091217041,30.858537673950195
Regular Singular,step,classifier,12.117953300476074,32.02859663963318
Regular Plural,steps,classifier,15.291486024856567,30.75333523750305
Sibilant Singular,hose,installer,5.97900390625,7.734940052032471
Sibilant Plural,hoses,installer,6.897465229034424,8.400469779968262
Regular Singular,pipe,installer,9.44222378730774,9.79498815536499
Regular Plural,pipes,installer,11.874398469924927,9.885031938552856
Sibilant Singular,fox,chaser,5.584153652191162,10.8395357131958
Sibilant Plural,foxes,chaser,11.455589771270752,8.414644718170166
Regular Singular,wolf,chaser,3.549992799758911,9.993011951446533
Regular Plural,wolves,chaser,7.912647485733032,11.636081218719482
Sibilant Singular,mix,winner,5.5940399169921875,14.136456966400146
Sibilant Plural,mixes,winner,8.654069900512695,15.916982650756836
Regular Singular,blend,winner,10.492920398712158,17.36710786819458
Regular Plural,blends,winner,15.03588056564331,14.571637392044067
Sibilant Singular,nose,rashes,11.13551115989685,15.320946216583252
Sibilant Plural,noses,rashes,13.906352758407593,17.310491800308228
Regular Singular,thigh,rashes,16.151258945465088,16.270099401474
Regular Plural,thighs,rashes,20.067204236984253,16.82024359703064
Sibilant Singular,cause,evaluators,13.81169867515564,39.66313576698303
Sibilant Plural,causes,evaluators,16.23181676864624,37.95170521736145
Regular Singular,loss,evaluators,4.361585378646851,29.793814659118652
Regular Plural,losses,evaluators,6.0096094608306885,29.503657341003418
Sibilant Singular,gaze,detector,13.2439444065094,23.040639638900757
Sibilant Plural,gazes,detector,15.89875054359436,24.020575046539307
Regular Singular,stare,detector,11.880977392196655,23.249038219451904
Regular Plural,stares,detector,14.430682897567749,24.110153913497925
Sibilant Singular,clause,finder,11.684903860092163,18.56928300857544
Sibilant Plural,clauses,finder,15.312649488449097,17.427122831344604
Regular Singular,article,finder,4.9181413650512695,20.43732261657715
Regular Plural,articles,finder,5.854506492614746,19.253870964050293
Sibilant Singular,maze,decoder,13.962867736816406,15.230646848678589
Sibilant Plural,mazes,decoder,16.29454517364502,17.088642597198486
Regular Singular,web,decoder,9.806081056594849,15.666019439697266
Regular Plural,webs,decoder,13.441618919372559,16.49402356147766
Sibilant Singular,quiz,expert,12.644940376281738,7.907618522644043
Sibilant Plural,quizzes,expert,17.9619402885437,8.641761541366577
Regular Singular,puzzle,expert,4.561647415161133,8.66282606124878
Regular Plural,puzzles,expert,5.35518741607666,8.123735427856445
Sibilant Singular,fax,man,10.821209907531738,5.813779592514038
Sibilant Plural,faxes,man,17.560956716537476,5.207915544509888
Regular Singular,copy,man,12.976651668548584,5.4519734382629395
Regular Plural,copies,man,16.26462745666504,5.127932548522949
Sibilant Singular,size,device,12.531384944915771,15.850238561630249
Sibilant Plural,sizes,device,14.275781154632568,16.999398946762085
Regular Singular,shape,device,13.085663795471191,15.083207845687866
Regular Plural,shapes,device,15.12366509437561,16.236061334609985
Sibilant Singular,praise,getter,4.142223358154297,10.636153221130371
Sibilant Plural,praises,getter,4.628626823425293,13.293941020965576
Regular Singular,compliment,getter,10.639665126800537,13.253401756286621
Regular Plural,compliments,getter,13.310130834579468,14.438370704650879
Sibilant Singular,prize,recipient,6.57216739654541,28.929089307785034
Sibilant Plural,prizes,recipient,8.453373908996582,30.677688598632812
Regular Singular,award,recipient,9.138878345489502,27.860519409179688
